,titles,descriptions,links
0, Vraag naar beademingsapparatuur en monitoren van Philips kwart hoger , Vraag naar beademingsapparatuur en monitoren van Philips kwart hoger ,https://www.nu.nl/economie/6045860/vraag-naar-beademingsapparatuur-en-monitoren-van-philips-kwart-hoger.html
1, Johan Cruijff ArenA wil ook in 2021 EK-gastheer zijn: 'We gaan er vol voor' , Johan Cruijff ArenA wil ook in 2021 EK-gastheer zijn: 'We gaan er vol voor' ,https://www.nu.nl/sport/6045859/johan-cruijff-arena-wil-ook-in-2021-ek-gastheer-zijn-we-gaan-er-vol-voor.html
2, Politie en OM bezorgd over toename aantal schietincidenten in Nederland , Politie en OM bezorgd over toename aantal schietincidenten in Nederland ,https://www.nu.nl/binnenland/6045857/politie-en-om-bezorgd-over-toename-aantal-schietincidenten-in-nederland.html
3,Video Klopjacht in Canada: man maakte minstens zestien slachtoffers ,Video Klopjacht in Canada: man maakte minstens zestien slachtoffers ,https://www.nu.nl/algemeen/6045858/klopjacht-in-canada-man-maakte-minstens-zestien-slachtoffers.html
4,Video Italiaanse tennissters blijven trainen op dak ,Video Italiaanse tennissters blijven trainen op dak ,https://www.nu.nl/sport/6045856/italiaanse-tennissters-blijven-trainen-op-dak.html
5, Australië wil techgiganten dwingen om nieuwsmedia te betalen voor content , Australië wil techgiganten dwingen om nieuwsmedia te betalen voor content ,https://www.nu.nl/tech/6045855/australie-wil-techgiganten-dwingen-om-nieuwsmedia-te-betalen-voor-content.html
6, 'Aparte gamingapp Facebook al vanaf maandag online vanwege coronavirus' , 'Aparte gamingapp Facebook al vanaf maandag online vanwege coronavirus' ,https://www.nu.nl/tech/6045853/aparte-gamingapp-facebook-al-vanaf-maandag-online-vanwege-coronavirus.html
7, Huisartsen hebben door coronacrisis 360.000 minder patiënten doorverwezen , Huisartsen hebben door coronacrisis 360.000 minder patiënten doorverwezen ,https://www.nu.nl/coronavirus/6045852/huisartsen-hebben-door-coronacrisis-360000-minder-patienten-doorverwezen.html
8,"Toen er nog sport was PEC vernedert Ajax, emotionele zege Schumacher ","Toen er nog sport was PEC vernedert Ajax, emotionele zege Schumacher ",https://www.nu.nl/sport-overig/6045756/pec-vernedert-ajax-emotionele-zege-schumacher.html
9,Podcast 'Doemscenario voor musea ondanks noodpakket niet veranderd' ,Podcast 'Doemscenario voor musea ondanks noodpakket niet veranderd' ,https://www.nu.nl/dit-wordt-het-nieuws/6045851/doemscenario-voor-musea-ondanks-noodpakket-niet-veranderd.html
10, Giel de Winter besloot na reacties tot StukTV-actie tegen coronavirus , Giel de Winter besloot na reacties tot StukTV-actie tegen coronavirus ,https://www.nu.nl/media/6045850/giel-de-winter-besloot-na-reacties-tot-stuktv-actie-tegen-coronavirus.html
11, Weerbericht: Zonnig met een stevige oostenwind , Weerbericht: Zonnig met een stevige oostenwind ,https://www.nu.nl/binnenland/6045845/weerbericht-zonnig-met-een-stevige-oostenwind.html
12, Millennials en thuisisolatie: 'Niemand geeft me een schouderklopje' , Millennials en thuisisolatie: 'Niemand geeft me een schouderklopje' ,https://www.nu.nl/gezondheid/6045476/millennials-en-thuisisolatie-niemand-geeft-me-een-schouderklopje.html
13, Trump zet wet uit jaren vijftig in voor productie miljoenen wattenstaafjes , Trump zet wet uit jaren vijftig in voor productie miljoenen wattenstaafjes ,https://www.nu.nl/buitenland/6045849/trump-zet-wet-uit-jaren-vijftig-in-voor-productie-miljoenen-wattenstaafjes.html
14, Harry en Meghan willen Britse tabloids niet meer te woord staan , Harry en Meghan willen Britse tabloids niet meer te woord staan ,https://www.nu.nl/achterklap/6045848/harry-en-meghan-willen-britse-tabloids-niet-meer-te-woord-staan.html
15, 'Minder ouderen met coronavirus worden doorverwezen naar de ic' , 'Minder ouderen met coronavirus worden doorverwezen naar de ic' ,https://www.nu.nl/coronavirus/6045847/minder-ouderen-met-coronavirus-worden-doorverwezen-naar-de-ic.html
16, Recordaantal deelnemers aan Nationale Bijentelling telt ruim 135.000 bijen , Recordaantal deelnemers aan Nationale Bijentelling telt ruim 135.000 bijen ,https://www.nu.nl/dieren/6045846/recordaantal-deelnemers-aan-nationale-bijentelling-telt-ruim-135000-bijen.html
