,titles,descriptions,links
0,Grote lading mondkapjes in Nederland • VS produceert miljoenen wattenstaafjes,Lees hier al het coronanieuws van maandag 20 april.,https://www.nos.nl/liveblog/2331044-grote-lading-mondkapjes-in-nederland-vs-produceert-miljoenen-wattenstaafjes.html
1,Wekdienst 20/4: Denemarken versoepelt regels • OMT bijeen voor advies kabinet,"Nieuws, weer, verkeer: met dit overzicht begin je geïnformeerd aan de dag.",https://www.nos.nl/artikel/2331057-wekdienst-20-4-denemarken-versoepelt-regels-omt-bijeen-voor-advies-kabinet.html
2,Honderdduizenden mondkapjes aangekomen op Schiphol,"De spullen komen uit Shanghai, waar de kwaliteit door Nederland is getest en goed bevonden. ",https://www.nos.nl/artikel/2331056-honderdduizenden-mondkapjes-aangekomen-op-schiphol.html
3,"Aantal schietincidenten toegenomen, politie bezorgd",Ondanks de strengere aanpak van de illegale wapenhandel is het aantal incidenten met vuurwapens vorig jaar gestegen met 12 procent.,https://www.nos.nl/artikel/2331054-aantal-schietincidenten-toegenomen-politie-bezorgd.html
4,360.000 minder reguliere verwijzingen huisartsen door corona,"Bijna 300.000 mensen die wel een verwijzing hebben, wachten nog op een afspraak in het ziekenhuis.",https://www.nos.nl/artikel/2331050-360-000-minder-reguliere-verwijzingen-huisartsen-door-corona.html
5,VWS: 'Perfecte app is er nog niet' •  Tot nu toe 19 miljard voor steunmaatregelen,Lees hier al het coronanieuws van zondag 19 april.,https://www.nos.nl/liveblog/2330944-vws-perfecte-app-is-er-nog-niet-tot-nu-toe-19-miljard-voor-steunmaatregelen.html
6,Ministerie VWS: 'De perfecte corona-app is er nog niet',Dinsdag besluit het kabinet hoe het verder zal gaan met de apps. Eerder vandaag uitten experts al forse kritiek op de ontwikkelaars die dit weekend hun oplossingen presenteerden.,https://www.nos.nl/artikel/2331035-ministerie-vws-de-perfecte-corona-app-is-er-nog-niet.html
7,Arrestatie vanwege dode fietser in Oss,"Het slachtoffer, een man van 18, werd vanochtend vroeg gevonden. Er was sprake van een geweldsmisdrijf. In de loop van de dag werd een verdachte aangehouden. ",https://www.nos.nl/artikel/2331034-arrestatie-vanwege-dode-fietser-in-oss.html
8,Fors meer bijentellers dan vorig jaar,"De honingbij werd, net als in de voorgaande edities, het meest gespot. Op de tweede plaats eindigde de rosse metselbij.",https://www.nos.nl/artikel/2331032-fors-meer-bijentellers-dan-vorig-jaar.html
9,Worden coronamaatregelen versoepeld? Hier kijken de experts van het OMT naar,Morgen gaan de experts die de regering adviseren over het coronabeleid beoordelen of een versoepeling van sommige maatregelen mogelijk is.,https://www.nos.nl/artikel/2331001-worden-coronamaatregelen-versoepeld-hier-kijken-de-experts-van-het-omt-naar.html
10,Deskundigen zeer kritisch over zeven corona-apps: 'Terug naar de tekentafel',"Appmakers, ontwikkelaars en beveiligingsexperts zien weinig in de zeven overgebleven corona-apps, nu meer informatie over de werking bekend is.",https://www.nos.nl/artikel/2330998-deskundigen-zeer-kritisch-over-zeven-corona-apps-terug-naar-de-tekentafel.html
11,'Dat Facebook-bericht over die overleden patiënt heb ik meteen weg geklikt',"De NOS volgt mensen die werken in vitale beroepen tijdens de coronacrisis. Vandaag Rowan Marijnissen, IC-verpleegkundige in het Tilburgse Elisabeth-TweeSteden Ziekenhuis.",https://www.nos.nl/artikel/2330992-dat-facebook-bericht-over-die-overleden-patient-heb-ik-meteen-weg-geklikt.html
12,"Coronacijfers van 19 april: daling opnames zet door, IC's iets minder belast","Er zijn 110 nieuwe coronapatiënten opgenomen in het ziekenhuis, het laagste aantal in een maand tijd.",https://www.nos.nl/artikel/2330990-coronacijfers-van-19-april-daling-opnames-zet-door-ic-s-iets-minder-belast.html
13,"Drukte in Limburgse Heuvelland ondanks afsluiting, politie deelt boetes uit",De Veiligheidsregio Zuid-Limburg roept op om weg te blijven uit het natuurgebied. Vooral fietsers en automobilisten negeren die oproep.,https://www.nos.nl/artikel/2330989-drukte-in-limburgse-heuvelland-ondanks-afsluiting-politie-deelt-boetes-uit.html
14,"Datalek in corona-app: namen, e-mailadressen en wachtwoorden op straat",De app is een van de zeven mogelijke corona-apps die in Nederland gebruikt zou worden. ,https://www.nos.nl/artikel/2330975-datalek-in-corona-app-namen-e-mailadressen-en-wachtwoorden-op-straat.html
15,Lachgas gebruikende automobilist aangehouden na achtervolging,De man reed tijdens de achtervolging een politieauto aan en reed daarna weer door. Hij had al een rijverbod.,https://www.nos.nl/artikel/2330971-lachgas-gebruikende-automobilist-aangehouden-na-achtervolging.html
16,"Brand verwoest loods met boten in Aalsmeer, geen gewonden",De brand brak rond een uur vannacht uit. De hele loods is afgebrand. Rond 03.00 uur had de brandweer de vlammen onder controle.,https://www.nos.nl/artikel/2330970-brand-verwoest-loods-met-boten-in-aalsmeer-geen-gewonden.html
17,Waarom veel bedrijven niet willen dat Euro 2020 een nieuwe naam krijgt,In de Rotterdamse haven staan containers vol EK-merchandise klaar met mogelijk een verkeerd logo.,https://www.nos.nl/artikel/2330969-waarom-veel-bedrijven-niet-willen-dat-euro-2020-een-nieuwe-naam-krijgt.html
18,Wekdienst 19/4: online-herdenking Kamp Amersfoort en terug in de tijd met Studio Sport,"Nieuws, weer, verkeer: met dit overzicht begin je geïnformeerd aan de dag.",https://www.nos.nl/artikel/2330950-wekdienst-19-4-online-herdenking-kamp-amersfoort-en-terug-in-de-tijd-met-studio-sport.html
