,titles,descriptions,links
0,Met deze planten en bloemen zorg je voor een kleurrijke tuin,Een beetje kleur in de tuin kan geen kwaad. Tuinexpert Laurence Machiels geeft een kleurrijk voorzetje.,https://www.ad.nl/wonen/met-deze-planten-en-bloemen-zorg-je-voor-een-kleurrijke-tuin~a0f827eb/
1,"Na een maand lockdown zijn we nog solidair, ‘maar straks wordt het ieder voor zich en god voor ons allen’","‘Samen komen we deze moeilijke periode door’, zei premier Mark Rutte tijdens zijn historische tv-toespraak op maandag 16 maart. Zijn we een maand later nog steeds solidair?",https://www.ad.nl/binnenland/na-een-maand-lockdown-zijn-we-nog-solidair-maar-straks-wordt-het-ieder-voor-zich-en-god-voor-ons-allen~aabbd8d7/
2,Nederlandse websites gehackt om illegale coronamedicijnen aan te bieden,"Internetcriminelen gebruiken verouderde Nederlandse websites om illegaal medicijnen aan te bieden tegen het coronavirus. Het cyberteam van de FIOD dat naar financiële fraude speurt, is inmiddels op ruim 70 domeinnamen gestuit.",https://www.ad.nl/tech/nederlandse-websites-gehackt-om-illegale-coronamedicijnen-aan-te-bieden~ac027b8f/
3,Zwolse buizenfabrikant begint met productie van gezichtsmaskers,"Wavin springt vanwege corona in de bres voor medewerkers in de zorg. Het Zwolse bedrijf, wereldwijd actief in de bouw en infrastructuur, heeft op zijn vestiging in Hardenberg een productielijn ingeruimd om kunststof gezichtsschermers te maken voor zorginstellingen.",https://www.ad.nl/binnenland/zwolse-buizenfabrikant-begint-met-productie-van-gezichtsmaskers~a5272ca0/
4,‘Wilt u een boek van de bieb? Dan komen wij dat brengen’,"Nu de bibliotheken dicht zijn, bezorgt de Openbare Bibliotheek boeken bij ouderen die verstoken zijn van leesvoer. Wat terugkomt, gaat eerst in quarantaine.",https://www.ad.nl/nlblijftthuis/wilt-u-een-boek-van-de-bieb-dan-komen-wij-dat-brengen~ab838744/
5,‘Koop nieuw defensiematerieel vanwege coronacrisis in Nederland’,Regeringspartijen VVD en CDA willen dat het ministerie van Defensie nieuw materieel voor de krijgsmacht zoveel mogelijk bij Nederlandse bedrijven bestelt. Daarmee moet in de economische crisis die door het coronavirus ontstaat ook de Nederlandse economie worden aangejaagd.,https://www.ad.nl/politiek/koop-nieuw-defensiematerieel-vanwege-coronacrisis-in-nederland~a780106c/
6,Recordaantal bijen geteld: bijna 136.000,Bij de derde nationale bijentelling is dit weekend een recordaantal bijen geteld. Ruim 10.000 mensen noteerden zo'n 136.000 bijen. Vorig jaar werden bijna 54.000 bijen geteld door ruim 5000 mensen.,https://www.ad.nl/binnenland/recordaantal-bijen-geteld-bijna-136-000~ad0a3942/
7,"LIVE | Eerste lading mondkapjes is binnen, 360.000 patiënten minder naar ziekenhuis doorverwezen",Wegens het coronavirus hebben huisartsen sinds 12 maart 360.000 patiënten minder dan normaal naar het ziekenhuis doorverwezen. En in Europa is het dodental opgelopen tot meer dan 100.000. Volg alle ontwikkelingen rondom de coronacrisis in ons liveblog. Lees het vorige liveblog hier terug.,https://www.ad.nl/binnenland/live-eerste-lading-mondkapjes-is-binnen-360-000-patienten-minder-naar-ziekenhuis-doorverwezen~af78ff7d/
8,Solidariteit groot: Nederlanders slepen elkaar door de crisis heen,"Nederlanders proberen elkaar door de coronacrisis heen te helpen. We houden het abonnement op de sportschool aan, vragen geen geld terug voor concertkaartjes en betalen (vaak) de schoonmaker door, ook al komt hij of zij niet. Dat blijkt uit een rondgang van deze site langs verschillende branche- en koepelorganisaties.",https://www.ad.nl/binnenland/solidariteit-groot-nederlanders-slepen-elkaar-door-de-crisis-heen~a14e5f89/
9,"Vrouw komt om bij botsing tussen twee auto's, andere bestuurder aangehouden","Bij een botsing tussen twee auto’s op de Vondelingenweg in Rotterdam is zondagavond laat een vrouw om het leven gekomen. Hulpverleners probeerden haar nog te reanimeren, maar dat mocht niet meer baten. De bestuurder van de andere auto is aangehouden.",https://www.ad.nl/binnenland/vrouw-komt-om-bij-botsing-tussen-twee-auto-s-andere-bestuurder-aangehouden~ac84edea/
10,Virus kwam als een sluipmoordenaar dit verpleeghuis binnen en sloeg ongenadig hard toe,Zorggroep Ter Weel in Goes telt in Zeeland voor zover bekend de meeste cliënten die besmet zijn met corona of aan het virus zijn overleden. Een infectiegolf in een van de grotere afdelingen voor mensen met dementie was hiervan de oorzaak.,https://www.ad.nl/binnenland/virus-kwam-als-een-sluipmoordenaar-dit-verpleeghuis-binnen-en-sloeg-ongenadig-hard-toe~aef0bb26/
11,Grapperhaus: ‘Naziboeken bij Bol.com ongewenst en moreel verwerpelijk’,"Het is ‘ongewenst en moreel verwerpelijk’ dat Bol.com jarenlang honderden extreemrechtse en antisemitische boeken te koop heeft aangeboden. Dat laat minister Ferd Grapperhaus (Justitie en Veiligheid) weten in zijn beantwoording op Kamervragen die de PvdA indiende na berichtgeving van deze site. ,,Het nazi-gedachtegoed staat haaks op het uitgangspunt binnen onze samenleving dat iedere burger zich een volwaardig burger moet weten en voelen.”",https://www.ad.nl/binnenland/grapperhaus-naziboeken-bij-bol-com-ongewenst-en-moreel-verwerpelijk~aff52a20/
12,Mogelijke ontvoering: politie achtervolgt spookrijdend busje op A50,Een vermoedelijke ontvoering in het Gelderse Oosterbeek is vanavond uitgelopen op een politie-achtervolging over de A50.,https://www.ad.nl/binnenland/mogelijke-ontvoering-politie-achtervolgt-spookrijdend-busje-op-a50~ae3a5eb9/
13,"Paulien Cornelisse is dol op Japan: ‘Dat alles daar zo anders is, maakt het aantrekkelijk’","Lang voordat bloemschikken, bosbaden en opruimen op z’n Japans een hype werden, was Paulien Cornelisse (44) al liefhebber van het land. Haar nieuwe boek is een handleiding ‘Japan voor beginners’.",https://www.ad.nl/binnenland/paulien-cornelisse-is-dol-op-japan-dat-alles-daar-zo-anders-is-maakt-het-aantrekkelijk~adf834da/
14,Het coronanieuws van zondag 19 april: bijlezen in één minuut,De stroom aan nieuwsberichten over het coronavirus is amper bij te benen. In dit artikel brengen we het belangrijkste nieuws van vandaag in een kort overzicht.,https://www.ad.nl/binnenland/het-coronanieuws-van-zondag-19-april-bijlezen-in-een-minuut~a631fbd2/
15,Zijn mensen niet meer binnen te houden? ‘Lockdown heeft een houdbaarheidsdatum’,"Op straat is het nog steeds rustiger dan normaal. Toch heeft de politie in het weekend weer moeten ingrijpen bij ‘coronafeesten’. Ontstaan er scheurtjes in de intelligente lockdown? ,,Dit viel te verwachten.”",https://www.ad.nl/binnenland/zijn-mensen-niet-meer-binnen-te-houden-lockdown-heeft-een-houdbaarheidsdatum~a4c61d94/
16,Ministerie: corona-app laat nog wel even op zich wachten,"Het duurt nog wel even voor er een corona-opsporingsapp is die klaar is voor gebruik. Onder de zeven app-bouwers die dit weekend hun plannen voorlegden, tekent zich nog geen geschikte kandidaat af, erkent het ministerie van Volksgezondheid.",https://www.ad.nl/tech/ministerie-corona-app-laat-nog-wel-even-op-zich-wachten~aa6bab4f/
17,Arts op de ic doet verslag: ‘Moeten elkaar goed in de gaten blijven houden’,"Zorgverleners op de intensive care staan in de frontlinie om het coronavirus te bestrijden. Michael Frank (53) is intensivist bij het Albert Schweitzer ziekenhuis in Dordrecht en geeft dagelijks een inkijkje in zijn werk. Deel 24: ‘Minder druk, maar nog steeds heel zieke patiënten’.  Lees alle voorgaande afleveringen hier terug.",https://www.ad.nl/binnenland/arts-op-de-ic-doet-verslag-moeten-elkaar-goed-in-de-gaten-blijven-houden~a6142081/
18,En toch wil ik de aanrander van mijn vrouw laten weten hoe kwaad ik ben,"Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.",https://www.ad.nl/binnenland/en-toch-wil-ik-de-aanrander-van-mijn-vrouw-laten-weten-hoe-kwaad-ik-ben~a02e1f8a/
19,Boa’s zien meer incidenten sinds coronacrisis: ze worden bespuugd en uitgescholden,"Bijna 90 procent van de buitengewoon opsporingsambtenaren (boa’s) ziet het aantal geweldsincidenten stijgen sinds de coronacrisis. Zo zien ze meer mensen die in hun richting spugen of hoesten en ervaren ze meer verbaal geweld. Het merendeel vindt dat boa’s meer verdedigingsmiddelen, zoals een wapenstok of pepperspray, moeten krijgen om de coronamaatregelen te handhaven.",https://www.ad.nl/binnenland/boa-s-zien-meer-incidenten-sinds-coronacrisis-ze-worden-bespuugd-en-uitgescholden~a7980864/
20,"Ontstressen in de tuin: hoe meer struiken en bomen, hoe meer vogels je hoort fluiten","In huis creëren we graag ruimtes die rust uitstralen, maar vergeet niet dat je ook de tuin een serene sfeer kan geven. Met paadjes, een wadi en een heleboel krekels bijvoorbeeld.",https://www.ad.nl/wonen/ontstressen-in-de-tuin-hoe-meer-struiken-en-bomen-hoe-meer-vogels-je-hoort-fluiten~a40e841a/
