,titles,descriptions,links
0,Honderdduizenden patiënten niet behandeld wegens uitbraak corona,Wegens het coronavirus hebben huisartsen sinds 12 maart 360.000 patiënten minder dan normaal naar het ziekenhuis doorverwezen. Ook zijn behandelingen van naar schatting 290.500 mensen in het ziekenhuis niet doorgegaan na een doorverwijzing. Dat maakte de Nederlandse Zorgautoriteit (NZa) maandag beke...,https://www.telegraaf.nl/nieuws/224591572/honderdduizenden-patienten-niet-behandeld-wegens-uitbraak-corona
1,LIVE | Eerste mondkapjes via luchtbrug China aangekomen,LIVE | Eerste mondkapjes via luchtbrug China aangekomen,https://www.telegraaf.nl/nieuws/467525817/live-eerste-mondkapjes-via-luchtbrug-china-aangekomen
2,Nederlandse autobedrijven verliezen derde van omzet,Nederlandse autobedrijven verliezen derde van omzet,https://www.telegraaf.nl/financieel/1084841867/nederlandse-autobedrijven-verliezen-derde-van-omzet
3,Bende haalde 700 vuurwapens uit Slowaakse wapenshop naar Nederland,"Het vuurwapengeweld en gebruik van explosieven is het afgelopen jaar flink toegenomen. Zo werd er in 2019 646 keer geschoten, tegen 577 keer in het jaar ervoor. Ondanks inspanningen van politie en justitie neemt de wapenhandel niet af.",https://www.telegraaf.nl/nieuws/529241895/bende-haalde-700-vuurwapens-uit-slowaakse-wapenshop-naar-nederland
4,’Anderhalve meter afstand in ov onhaalbaar’,"De anderhalvemeterbeperkingen zijn in het openbaar vervoer onhaalbaar. Dan kan hooguit 20 tot 25 procent van het normale aantal reizigers mee in trein, bus, tram en metro. Dat zegt voorzitter Pedro Peters van branchevereniging OVNL, waar alle vervoerders bij zijn aangesloten. „Als dat de norm de kom...",https://www.telegraaf.nl/nieuws/34964760/anderhalve-meter-afstand-in-ov-onhaalbaar
5,Vrouw overleden bij verkeersongeval in Rotterdam,In Rotterdam is zondagavond een vrouw om het leven gekomen bij een verkeersongeval. Op de Vondelingenweg bij Hoogvliet kwamen twee auto’s in botsing.,https://www.telegraaf.nl/nieuws/1126958659/vrouw-overleden-bij-verkeersongeval-in-rotterdam
6,Bijna 128.000 bijen geteld: ’Zeker niet slecht’,Bijna 128.000 bijen geteld: ’Zeker niet slecht’,https://www.telegraaf.nl/nieuws/109534214/bijna-128-000-bijen-geteld-zeker-niet-slecht
7,Nederlandse bureaucratie: onrust over weinig testen,"Onrust is er in de politiek ontstaan dat het niet het gebrek aan testmateriaal is dat ervoor zorgt dat Nederland relatief weinig coronatesten uitvoert, maar taaie bureaucratie. Verschillende experts waarschuwen daarvoor, onder wie viroloog Niesters en arts-microbioloog Bonten.",https://www.telegraaf.nl/nieuws/534948368/nederlandse-bureaucratie-onrust-over-weinig-testen
8,Experts: we zitten pas in eerste fase rampenbestrijding,"Heel het land kijkt uit naar de persconferentie van minister-president Rutte van komende dinsdag. Worden de maatregelen die in Nederland genomen zijn om de verspreiding van het coronavirus in te dammen dan al versoepeld, nu we al dagenlang een afname op de ic zien en een minder snelle stijging van h...",https://www.telegraaf.nl/nieuws/1962343586/experts-we-zitten-pas-in-eerste-fase-rampenbestrijding
9,Verdachte opgepakt na dood fietser (18) in Oss,De politie in Oss heeft een persoon aangehouden op verdenking van doodslag op een 18-jarige man uit Nistelrode zondagochtend. Het slachtoffer was zondagochtend rond 7.45 uur zwaargewond naast zijn fiets aangetroffen op de kruising van de Julianasingel en de Dr. Saak van Zwanenbergsingel in Oss. Hulp...,https://www.telegraaf.nl/nieuws/1086311030/verdachte-opgepakt-na-dood-fietser-18-in-oss
10,Restaurant bezorgt bami met racewagen,Het Indonesische restaurant Loro Blonyo in Helmond bezorgt vandaag alleen fastfood. Voor 20 euro extra kreeg je je maaltijd bezorgd in een supersnelle Ariel Atom 3.5 Supercharged-racewagen. De bezorgkosten van deze ludieke actie gaan naar het personeel van het Elkerliek Ziekenhuis.,https://www.telegraaf.nl/video/1649350873/restaurant-bezorgt-bami-met-racewagen
11,Familie Fortuyn bezorgd over vrijheid Van der Graaf,De proeftijd van de moordenaar van Pim Fortuyn loopt af. Voor de nabestaanden is het nog altijd onverteerbaar dat Volkert van der Graaf vanaf volgende maand zonder enige vorm van toezicht weer kan gaan en staan waar hij wil.,https://www.telegraaf.nl/nieuws/341581932/familie-fortuyn-bezorgd-over-vrijheid-van-der-graaf
