,titles,descriptions,links
0,"
                Duizenden patiënten misten zorg: zo moet dat worden ingehaald
                            ",Lijst met diagnoses,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5095841/reguliere-zorg-corona
1,"
                Honderdduizenden Chinese mondkapjes op Schiphol
                            ",Liveblog,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5095836/corona-coronavirus-liveblog-rivm-maatregelen-intelligente-lockdown
2,"
                'Steeds minder ouderen met corona doorverwezen naar ic'
                            ",Vaker thuisbehandeling,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5095831/ouderen-intensive-care-vermindering-bezetting
3,"
                Anderhalvemetersamenleving: 'Aanpassingen ov kosten 1,2 miljard'
                            ",Anders onhaalbaar,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5095821/openbaar-vervoer-capaciteit-kosten-aanpassingen-coronamaatregelen
4,"
                Coronakermis in Apeldoorn:  'Makkelijk gaat het niet worden'
                            ",Coronamaatregelen,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5095766/coronakermis-opgebouwd-apeldoorn-rivm-maatregelen-corona
5,"
                Grapperhaus noemt naziboeken bij Bol.com 'zeer ongewenst'
                            ",Antisemitisme,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5095681/grapperhaus-over-verkoop-naziboeken-bolcom-antisemitische-extreem
6,"
                Staat accepteert verantwoordelijkheid voor vliegramp Faro
                            ",Slecht geïnformeerd,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5095726/staat-accepteert-verantwoordelijkheid-voor-vliegramp-faro
7,"
                Ministerie: 9 euro per mondkapje bij winkel veel te duur
                            ",Het irriteert mensen,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5095576/prijzen-amsterdamse-mondkapjeswinkel-ver-boven-normale-prijs
8,"
                Te druk in de stadsparken: politie en boa's grijpen in
                            ","Feestjes afgeblazen, boetes uitgedeeld",https://www.rtlnieuws.nl/nieuws/video/video/5095626/te-druk-de-stadsparken-politie-en-boas-grijpen
9,"
                Leraren in Actie: scholen moeten dicht blijven
                            ",Coronamaatregelen,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5095606/leraren-actie-scholen-moeten-dicht-blijven
10,"
                Coronaverschijnsel: enorme run op jonge hondjes
                            ",'De puppy's zijn niet aan te slepen' ,https://www.rtlnieuws.nl/nieuws/video/video/5095591/coronaverschijnsel-enorme-run-op-jonge-hondjes
11,"
                Hier werd het te druk, en moest de politie ingrijpen
                            ",Boetes van honderden euro's ,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5095581/hier-werd-het-te-druk-en-moest-de-politie-ingrijpen
