,titles,descriptions,links
0,Rob Jetten mist reuring op coronacongres D66,"Het is nog even wennen en ook de techniek werkt niet altijd mee, bleek bij het eerste digitale partijcongres van D66. Maar door het coronavirus zullen partijen richting de verkiezingen van 2021 vaker voor een online-ledenraadpleging kiezen.",
1,Ministerie: corona-app laat nog wel even op zich wachten,"Het duurt nog wel even voor er een corona-opsporingsapp komt die klaar is voor gebruik. Onder de zeven app-bouwers die dit weekend hun plannen voorlegden, tekent zich nog geen geschikte kandidaat af, erkent het ministerie van Volksgezondheid.",
2,Komende week veel vallende sterren te zien,Door het heldere weer zijn de komende week de vallende sterren van de Lyriden goed te zien. Het hoogtepunt is in de nacht van dinsdag op woensdag. Waarschijnlijk is de lucht dan het helderst.,
3,Clyde B. zou 20 miljoen mondkapjes leveren,Maar liet  niets meer van zich horen.,
4,Plastic scheiden? Dat kan een machine blijkbaar beter,"Amsterdammers hoeven hun plastic niet meer apart aan te bieden. Dat levert te weinig op. Wel komen er aparte bakken voor gft, terwijl dat in het verleden al eens op een mislukking uitliep.",
5,Rob Jetten: ‘Die klimaatmaatregelen zullen er moeten komen’,"Nog maanden in de anderhalvemetersamenleving, dat idee stemt Rob Jetten verdrietig. Op het D66-onlinecongres wil hij studenten zaterdag geruststellen. ‘Digitaal kunnen we toch bij elkaar komen.’",
6,Grootschalig Nederlands onderzoek naar coronamedicijn,Door coronapatiënten te behandelen met het hogebloeddrukmedicijn Valsartan kunnen mogelijk veel ic-opnames en daarmee sterfgevallen bespaard worden. Nederlandse specialisten starten een groot onderzoek waaraan zeshonderdvijftig patiënten in zo’n vijftien ziekenhuizen meedoen.,
7,Politie bekeurt 53 mensen bij illegaal pokertoernooi Zaandam,Een illegaal pokertoernooi in Zaandam is in de nacht van vrijdag op zaterdag stopgezet door de politie. In het pand waren - tegen de coronaregels in - 53 mensen aanwezig.,
8,RIVM: ‘Versoepeling regels alleen heel voorzichtig’,"Het coronavirus is zo snel en ongrijpbaar dat versoepeling van restricties alleen heel voorzichtig kan. Scholen kunnen slechts onder ‘strikte voorwaarden’ open. Opties hierbij zijn basisscholen eerst, of oefenen in een regio.",
9,Schipholbaas: na crisis niet gelijk maximale aantal vluchten,"Schipholbaas Dick Benschop wil niet dat het aantal vliegbewegingen na de coronacrisis in mum van tijd weer aan het huidige maximum van 500.000 zit. Volgens Benschop zal het herstel van de luchtvaart sowieso tot 2023 duren, zegt hij tegen Trouw.",
10,"NS breidt rooster weer wat uit: meer intercity’s, IC Direct rijdt weer","De Nederlandse Spoorwegen breiden de sinds 21 maart geldende basisdienstregeling iets uit. Alle stations waar normaliter intercity's stoppen, krijgen vanaf 29 april minstens eens per uur een intercity. Ook het Randstad-nachtnet en de IC Direct gaan weer rijden.",
11,"Zeven corona-apps in de race, privacy-experts kritisch: ‘Dit is een janboel’",Dit weekend worden de inzendingen getoetst door het publiek.,
12,Ouders krijgen in juni of juli geld voor onbenutte opvang,Kabinet heeft 175 miljoen voor de regeling uitgetrokken.,
13,"Kwart ontvangt geen thuiszorg meer:
‘Wat moet je nu?’","Bijna een kwart van de mensen die voor de corona-uitbraak thuiszorg of begeleiding door een wijkverpleegkundige ontving, krijgt dat nu helemaal niet meer. Nog eens 18 procent ontvangt minder zorg dan voorheen.",
14,Mondkapjes: verpleeghuizen genegeerd,"Verpleeghuizen en thuiszorgorganisaties stonden wekenlang achteraan bij de verdeling van mondkapjes. Dat was een bewuste keuze van het kabinet, blijkt uit een reconstructie. Klachten en waarschuwende woorden drongen niet door.",
15,Druk op ic’s neemt af: kan economie weer op stoom komen?,"Als de maatregelen worden versoepeld, kan de schade aan de economie  worden beperkt.",
16,"Experts koersen af op advies: basisscholen open, middelbare niet","Basisscholen en kinderdagverblijven kunnen mogelijk na de meivakantie weer open. Middelbare scholen moeten de deuren misschien langer gesloten houden, omdat hun rol bij de verspreiding van het coronavirus groter lijkt.",
17,Storm van kritiek op minister: ‘Zonder kunstenaars geen kunst’,De cultuursector is teleurgesteld in het kabinet. De 300 miljoen euro steun is te weinig en het geld wordt verkeerd verdeeld. ‘De urgentie ontbreekt simpelweg bij de minister.’,
18,Boze Kamerleden 50Plus slaan verzoeningspoging Dales af,Drie Tweede Kamerleden van 50Plus zegden het vertrouwen op in voorzitter Geert Dales.,
19,Metro keert niet terug als papieren krant,"De uitgave Metro stopt definitief als papieren krant. De krant verschijnt momenteel door de coronacrisis alleen maar online, maar de printeditie keert ook in de toekomst niet meer terug op de stations.",
