,titles,descriptions,links
0,Lerarenvakbond Leraren in Actie: houd de scholen dicht,Lerarenvakbond Leraren in Actie: houd de scholen dicht,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/lerarenvakbond-leraren-in-actie-houd-scholen-dicht/
1,Politie pakt 27 mensen op na inval in Rotterdams gokpand,Politie pakt 27 mensen op na inval in Rotterdams gokpand,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/rotterdam-inval-gokpand-arrestatie/
2,Tattoo-artiest Dennis 'tattoeÃ«ert' schoenen van zorgmedewerkers,Tattoo-artiest Dennis 'tattoeÃ«ert' schoenen van zorgmedewerkers,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/tattoo-artiest-zorg-schoenen/
3,Van kraaienpootjes tot wallen: dit zeggen verschillende soorten rimpels over jou,Van kraaienpootjes tot wallen: dit zeggen verschillende soorten rimpels over jou,https://www.linda.nl/nieuws/binnenland//advertorial/rimpels-betekenis-nivea-q10-power/
4,Omdat je je dit vÃ¡st weleens hebt afgevraagd: hoe kan dubbelvla dubbelvla blijven?,Omdat je je dit vÃ¡st weleens hebt afgevraagd: hoe kan dubbelvla dubbelvla blijven?,https://www.linda.nl/nieuws/binnenland//nieuws/dubbelvla-nrc-antwoord-schudden/
5,Inge haalde haar demente moeder uit het verpleeghuis na de eerste coronabesmetting,Inge haalde haar demente moeder uit het verpleeghuis na de eerste coronabesmetting,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/verpleeghuis-corona-eindhoven-moeder-dement/
6,Jaap begint videocafÃ© voor mannen in de coronastrijd: 'Doe jezelf niet tekort',Jaap begint videocafÃ© voor mannen in de coronastrijd: 'Doe jezelf niet tekort',https://www.linda.nl/nieuws/binnenland//nieuws/jaap-herforth-videocafe-mannen-zorgpersoneel/
7,"Asperges, ze zijn er weer: 5 x recepten waar je van uit je plaat(pizza) gaat","Asperges, ze zijn er weer: 5 x recepten waar je van uit je plaat(pizza) gaat",https://www.linda.nl/nieuws/binnenland//advertorial/asperges-5-x-recepten-maggi/
8,Nationale Opera & Ballet maakt prÃ¡chtige dansclip in uitgestorven Amsterdam,Nationale Opera & Ballet maakt prÃ¡chtige dansclip in uitgestorven Amsterdam,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/kunst-in-coronatijd-nationale-opera-en-ballet-dansclip-amsterdam/
9,KLM ziet af van hogere bonus voor directeur,KLM ziet af van hogere bonus voor directeur,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/klm-hogere-bonus-directeur/
10,In blijde verwachting: Blijdorp krijgt zeldzame zwarte neushoornbaby,In blijde verwachting: Blijdorp krijgt zeldzame zwarte neushoornbaby,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/blijde-verwachting-blijdorp-krijgt-neushoornbaby/
11,Nooit (nÃ³Ã³it) meer ongewenste haargroei? Test de Philips Lumea Prestige,Nooit (nÃ³Ã³it) meer ongewenste haargroei? Test de Philips Lumea Prestige,https://www.linda.nl/nieuws/binnenland//advertorial/nooit-meer-ongewenste-haargroei-test-lumea-prestige-philps/
12,Ouders verdeeld over wegwerken leerachterstanden in schoolvakanties,Ouders verdeeld over wegwerken leerachterstanden in schoolvakanties,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/ouders-verdeeld-wegwerken-leerachterstanden-schoolvakanties/
13,Verkeerd gegokt: politie maakt einde aan illegaal pokertoernooi in Zaandam,Verkeerd gegokt: politie maakt einde aan illegaal pokertoernooi in Zaandam,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/politie-illegaal-pokertoernooi-zaandam/
14,Seyfullah (23) ontwikkelt app tegen verkeerd medicijngebruik,Seyfullah (23) ontwikkelt app tegen verkeerd medicijngebruik,https://www.linda.nl/nieuws/binnenland//nieuws/interview/verkeerd-medicijngebruik-app-medicinx/
15,Het 'Irma-effect': opleiding tot gebarentolk verwacht meer aanmeldingen,Het 'Irma-effect': opleiding tot gebarentolk verwacht meer aanmeldingen,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/gebarentolk-opleiding-irma-effect/
16,Eigen bijdrage kinderopvang wordt uiterlijk in juli vergoed,Eigen bijdrage kinderopvang wordt uiterlijk in juli vergoed,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/kinderopvang-eigen-bijdrage-compensatie/
