,titles,descriptions,links
0,"Na een maand lockdown zijn we nog solidair, ‘maar straks wordt het ieder voor zich en god voor ons allen’","‘Samen komen we deze moeilijke periode door’, zei premier Mark Rutte tijdens zijn historische tv-toespraak op maandag 16 maart. Zijn we een maand later nog steeds solidair?",
1,Zwolse buizenfabrikant begint met productie van gezichtsmaskers,"Wavin springt vanwege corona in de bres voor medewerkers in de zorg. Het Zwolse bedrijf, wereldwijd actief in de bouw en infrastructuur, heeft op zijn vestiging in Hardenberg een productielijn ingeruimd om kunststof gezichtsschermers te maken voor zorginstellingen.",
2,Recordaantal bijen geteld: bijna 136.000,Bij de derde nationale bijentelling is dit weekend een recordaantal bijen geteld. Ruim 10.000 mensen noteerden zo'n 136.000 bijen. Vorig jaar werden bijna 54.000 bijen geteld door ruim 5000 mensen.,
3,Utrechtse politie zoekt vermiste Lina (13),"De Utrechtse politie maakt zich zorgen om de 13-jarige Lina Balilou uit Utrecht. Ze wordt sinds zondagmorgen vermist, toen ze zonder pinpas, ov- of identiteitskaart van huis is gegaan.",
4,"LIVE | Eerste lading mondkapjes is binnen, 360.000 patiënten minder naar ziekenhuis doorverwezen",Wegens het coronavirus hebben huisartsen sinds 12 maart 360.000 patiënten minder dan normaal naar het ziekenhuis doorverwezen. En in Europa is het dodental opgelopen tot meer dan 100.000. Volg alle ontwikkelingen rondom de coronacrisis in ons liveblog. Lees het vorige liveblog hier terug.,
5,Solidariteit groot: Nederlanders slepen elkaar door de crisis heen,"Nederlanders proberen elkaar door de coronacrisis heen te helpen. We houden het abonnement op de sportschool aan, vragen geen geld terug voor concertkaartjes en betalen (vaak) de schoonmaker door, ook al komt hij of zij niet. Dat blijkt uit een rondgang van deze site langs verschillende branche- en koepelorganisaties.",
6,"Vrouw komt om bij botsing tussen twee auto's, andere bestuurder aangehouden","Bij een botsing tussen twee auto’s op de Vondelingenweg in Rotterdam is zondagavond laat een vrouw om het leven gekomen. Hulpverleners probeerden haar nog te reanimeren, maar dat mocht niet meer baten. De bestuurder van de andere auto is aangehouden.",
7,Virus kwam als een sluipmoordenaar dit verpleeghuis binnen en sloeg ongenadig hard toe,Zorggroep Ter Weel in Goes telt in Zeeland voor zover bekend de meeste cliënten die besmet zijn met corona of aan het virus zijn overleden. Een infectiegolf in een van de grotere afdelingen voor mensen met dementie was hiervan de oorzaak.,
8,Het quarantaineleven blijkt vermoeiender dan gedacht,Nynke de Jong schrijft drie keer per week over wat haar bezighoudt.,
9,Grapperhaus: ‘Naziboeken bij Bol.com ongewenst en moreel verwerpelijk’,"Het is ‘ongewenst en moreel verwerpelijk’ dat Bol.com jarenlang honderden extreemrechtse en antisemitische boeken te koop heeft aangeboden. Dat laat minister Ferd Grapperhaus (Justitie en Veiligheid) weten in zijn beantwoording op Kamervragen die de PvdA indiende na berichtgeving van deze site. ,,Het nazi-gedachtegoed staat haaks op het uitgangspunt binnen onze samenleving dat iedere burger zich een volwaardig burger moet weten en voelen.”",
10,"Paulien Cornelisse is dol op Japan: ‘Dat alles daar zo anders is, maakt het aantrekkelijk’","Lang voordat bloemschikken, bosbaden en opruimen op z’n Japans een hype werden, was Paulien Cornelisse (44) al liefhebber van het land. Haar nieuwe boek is een handleiding ‘Japan voor beginners’.",
11,Het coronanieuws van zondag 19 april: bijlezen in één minuut,De stroom aan nieuwsberichten over het coronavirus is amper bij te benen. In dit artikel brengen we het belangrijkste nieuws van vandaag in een kort overzicht.,
12,Zijn mensen niet meer binnen te houden? ‘Lockdown heeft een houdbaarheidsdatum’,"Op straat is het nog steeds rustiger dan normaal. Toch heeft de politie in het weekend weer moeten ingrijpen bij ‘coronafeesten’. Ontstaan er scheurtjes in de intelligente lockdown? ,,Dit viel te verwachten.”",
13,Arts op de ic doet verslag: ‘Moeten elkaar goed in de gaten blijven houden’,"Zorgverleners op de intensive care staan in de frontlinie om het coronavirus te bestrijden. Michael Frank (53) is intensivist bij het Albert Schweitzer ziekenhuis in Dordrecht en geeft dagelijks een inkijkje in zijn werk. Deel 24: ‘Minder druk, maar nog steeds heel zieke patiënten’.  Lees alle voorgaande afleveringen hier terug.",
14,En toch wil ik de aanrander van mijn vrouw laten weten hoe kwaad ik ben,"Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.",
15,Boa’s zien meer incidenten sinds coronacrisis: ze worden bespuugd en uitgescholden,"Bijna 90 procent van de buitengewoon opsporingsambtenaren (boa’s) ziet het aantal geweldsincidenten stijgen sinds de coronacrisis. Zo zien ze meer mensen die in hun richting spugen of hoesten en ervaren ze meer verbaal geweld. Het merendeel vindt dat boa’s meer verdedigingsmiddelen, zoals een wapenstok of pepperspray, moeten krijgen om de coronamaatregelen te handhaven.",
16,Dorp neemt met imposant eerbetoon afscheid van 83-jarige Arnold: ‘Wie had dit een jaar geleden kunnen bedenken?’,"Toen bekend Dalfsenaar Arnold Mosterman (83) overleed aan corona, twijfelde de familie geen moment. Virus of niet, het dorp moest afscheid kunnen nemen. Een ‘drive through condoleance’ bood uitkomst. Iets waar steeds meer families gebruik van maken, zien uitvaartondernemers. ,,Wie had dit een jaar geleden kunnen bedenken?”",
17,"NL-Alert voor grote heidebrand in Brabant, recreanten moeten gebied verlaten",In een stuk droge heide in het Brabantse Son en Breugel is vanmiddag een natuurbrand uitgebroken. Voor recreanten in het gebied is een NL-Alert afgegeven. Zij worden verzocht het gebied zo snel mogelijk te verlaten.,
18,Daling zet door: aantal coronapatiënten op de intensive care onder de 1200,"Het aantal Nederlandse coronapatiënten op de intensive care is gedaald tot onder de 1200. Het zijn er nu nog 1176, meldt het Landelijk Coördinatiecentrum Patiënten Spreiding (LCPS). Dat zijn er 25 minder dan zaterdag. Vrijdag stond de teller nog op 1235.",
19,"Zo ziet Nederland eruit in 2022, volgens zeven deskundigen","Hopelijk zijn we over twee jaar coronavrij. Maar hoe ziet ons leven er dan uit op straat, werk, school en tijdens het uitgaan? We vroegen het aan zeven deskundigen.",
20,"Nog drieduizend landgenoten vast in Marokko, ‘Nederland ligt onder op de stapel’","Zo’n drieduizend Nederlanders zitten al weken vast in Marokko, dat de lockdown zaterdag tot 20 mei verlengde. Zangeres Anouk, toeristen, maar ook Marokkaanse Nederlanders die op familiebezoek waren. De gespannen diplomatieke verhouding tussen beide landen staat repatriëring vooralsnog in de weg.",
21,Staat niet in beroep tegen vonnis vliegramp Faro:  eindelijk rust voor slachtoffers doofpotzaak,"De Nederlandse staat heeft geen hoger beroep aangetekend tegen het vonnis waarin de rechtbank in Den Haag oordeelde dat het gedeeltelijk aansprakelijk is voor de vliegramp in het Portugese Faro, eind 1992. Dat bevestigt de advocaat van 27 slachtoffers tegenover deze site. ,,Mijn cliënten krijgen ruim 27 jaar na het drama eindelijk erkenning’’, zegt Veeru Mewa.",
22,Frank zit in quarantaine: duizendmaal meer emoties dankzij het lange telefoongesprek,Net als veel Nederlanders blijft redacteur Frank Poorthuis thuis. Frank zit in de risicogroep. Verslag van dag 38. Lees alle eerdere afleveringen hier terug.,
23,"RIVM: 83 sterfgevallen in de afgelopen 24 uur, 110 nieuwe ziekenhuisopnames","Het aantal meldingen van personen die als gevolg van het coronavirus zijn overleden is de afgelopen 24 uur gestegen met 83. Ten opzichte van 142 coronadoden gisteren, is dat een flinke daling. Het officiële dodenaantal in ons land komt daarmee op 3.684.",
24,Ambulancepersoneel stuit op ander coronaleed: verwaarloosde en verwarde patiënten,"Nu de ergste piek van ziekenhuisopnames voorbij lijkt, stuit ambulancepersoneel op andere ellende: verwaarlozing en verward gedrag bij niet-coronapatiënten. ,,Ze had al dagen niet gedoucht en goed gegeten.”",
25,Man overleden na steekincident in Amsterdam-Zuidoost,Een 53-jarige man uit Ouderkerk aan de Amstel is overleden nadat hij gisteravond was neergestoken in Amsterdam-Zuidoost. Afgelopen nacht is een 48-jarige verdachte uit Hilversum aangehouden.,
26,‘Coronabeperkingen lijken op de oorlogstijd’,Voor het eerst sinds 1945 is de vrijheid van Nederlanders om overal te gaan en staan waar we willen serieus ingeperkt. Volgens experts is de vergelijking tussen deze coronaperiode en de Tweede Wereldoorlog helemaal niet zo vergezocht.,
27,Dodental Heerde loopt op tot 47: ‘We betalen een hoge tol voor de hechte gemeenschap die we zijn’,"Het dodental in de gemeente Heerde loopt in rap tempo op, volgens de laatste schattingen zijn inmiddels 47 mensen aan corona overleden.",
28,Plofkraak op geldstortautomaat Amsterdam-Noord: twee verdachten vast,"Op het Buikslotermeerplein in Amsterdam-Noord is vannacht een plofkraak gepleegd op een geldstortautomaat van de Rabobank. De automaat raakte zwaar beschadigd, de twee daders gingen er zonder buit vandoor. De politie wist hen in de buurt aan te houden.",
29,"‘Ik weet niet waarom, maar ik heb altijd gedacht dat er rond mijn 50ste iets ernstigs zou gebeuren’","Annemarie Haverkamp praat met mensen over hun leven en het einde dat nadert. Sanny leidt aan een vorm van ALS. Ze wist één ding zeker: ze wilde absoluut niet alleen zijn. Haar man stopte met werken en ook haar dochters zijn weer thuis. ‘In principe kan ik alles nog, alleen word ik wel steeds benauwder.’",
