,titles,descriptions,links,site_name
0, KNVB vraagt overheid om hulp; vrees voor schade van 400 miljoen , KNVB vraagt overheid om hulp; vrees voor schade van 400 miljoen ,https://www.nu.nl/voetbal/6047355/knvb-vraagt-overheid-om-hulp-vrees-voor-schade-van-400-miljoen.html,www.nu.nl
1, Boa-bond over drukte dit weekend: 'Handhaven in winkelstraten is moeilijk' , Boa-bond over drukte dit weekend: 'Handhaven in winkelstraten is moeilijk' ,https://www.nu.nl/binnenland/6047349/boa-bond-over-drukte-dit-weekend-handhaven-in-winkelstraten-is-moeilijk.html,www.nu.nl
2, RIVM meldt minder opnames (75) en doden (66) dan week eerder , RIVM meldt minder opnames (75) en doden (66) dan week eerder ,https://www.nu.nl/coronavirus/6047341/rivm-meldt-minder-opnames-75-en-doden-66-dan-week-eerder.html,www.nu.nl
3, Kleermaker viert stunt op PDC Home Tour alleen op kamer: 'Gekke ervaring' , Kleermaker viert stunt op PDC Home Tour alleen op kamer: 'Gekke ervaring' ,https://www.nu.nl/darts/6047344/kleermaker-viert-stunt-op-pdc-home-tour-alleen-op-kamer-gekke-ervaring.html,www.nu.nl
4, Bestuur 50Plus stapt op na conflict rondom voorzitter Dales , Bestuur 50Plus stapt op na conflict rondom voorzitter Dales ,https://www.nu.nl/politiek/6047340/bestuur-50plus-stapt-op-na-conflict-rondom-voorzitter-dales.html,www.nu.nl
5, Dortmund-directeur verdedigt herstart: 'Gaat om redding van voetbal' , Dortmund-directeur verdedigt herstart: 'Gaat om redding van voetbal' ,https://www.nu.nl/voetbal/6047338/dortmund-directeur-verdedigt-herstart-gaat-om-redding-van-voetbal.html,www.nu.nl
6," Kijktips in mei op Ziggo, Disney+, Pathé Thuis en Amazon Prime "," Kijktips in mei op Ziggo, Disney+, Pathé Thuis en Amazon Prime ",https://www.nu.nl/uit/6047011/kijktips-in-mei-op-ziggo-disney-pathe-thuis-en-amazon-prime.html,www.nu.nl
7,Beste NUjij-reacties Bill Gates en corona | Euthanasie bij alzheimer ,Beste NUjij-reacties Bill Gates en corona | Euthanasie bij alzheimer ,https://www.nu.nl/algemeen/6047088/bill-gates-en-corona-euthanasie-bij-alzheimer.html,www.nu.nl
8,Video Jonas Brothers delen hun work-out op het nummer Baby Shark ,Video Jonas Brothers delen hun work-out op het nummer Baby Shark ,https://www.nu.nl/achterklap/6047329/jonas-brothers-delen-hun-work-out-op-het-nummer-baby-shark.html,www.nu.nl
9, Nertsen ziek door coronavirus bij twee bedrijven in Noord-Brabant , Nertsen ziek door coronavirus bij twee bedrijven in Noord-Brabant ,https://www.nu.nl/binnenland/6047326/nertsen-ziek-door-coronavirus-bij-twee-bedrijven-in-noord-brabant.html,www.nu.nl
10, Getest: Dit is de beste grote systeem- en spiegelreflexcamera , Getest: Dit is de beste grote systeem- en spiegelreflexcamera ,https://www.nu.nl/tech/6047033/getest-dit-is-de-beste-grote-systeem-en-spiegelreflexcamera.html,www.nu.nl
11,Video Memphis Depay brengt ode aan Virgil van Dijk in rap ,Video Memphis Depay brengt ode aan Virgil van Dijk in rap ,https://www.nu.nl/sport/6047322/memphis-depay-brengt-ode-aan-virgil-van-dijk-in-rap.html,www.nu.nl
12," Geruchten te over, maar niemand weet hoe het echt gaat met Kim Jong-un "," Geruchten te over, maar niemand weet hoe het echt gaat met Kim Jong-un ",https://www.nu.nl/buitenland/6047319/geruchten-te-over-maar-niemand-weet-hoe-het-echt-gaat-met-kim-jong-un.html,www.nu.nl
13, Vakantiehuisverhuurders zien stijging in aantal boekingen in eigen land , Vakantiehuisverhuurders zien stijging in aantal boekingen in eigen land ,https://www.nu.nl/coronavirus/6047318/vakantiehuisverhuurders-zien-stijging-in-aantal-boekingen-in-eigen-land.html,www.nu.nl
14, China: 'Geen coronapatiënten meer in ziekenhuizen van Wuhan' , China: 'Geen coronapatiënten meer in ziekenhuizen van Wuhan' ,https://www.nu.nl/coronavirus/6047314/china-geen-coronapatienten-meer-in-ziekenhuizen-van-wuhan.html,www.nu.nl
15, 'Eigenaar TikTok moet van China zakelijke chatapp offline halen' , 'Eigenaar TikTok moet van China zakelijke chatapp offline halen' ,https://www.nu.nl/tech/6047307/eigenaar-tiktok-moet-van-china-zakelijke-chatapp-offline-halen.html,www.nu.nl
16, ADO-coach Pardew: 'We dachten echt dat we het konden gaan redden' , ADO-coach Pardew: 'We dachten echt dat we het konden gaan redden' ,https://www.nu.nl/voetbal/6047308/ado-coach-pardew-we-dachten-echt-dat-we-het-konden-gaan-redden.html,www.nu.nl
17, Zweedse schrijver Per Olov Enquist (85) overleden , Zweedse schrijver Per Olov Enquist (85) overleden ,https://www.nu.nl/cultuur-overig/6047306/zweedse-schrijver-per-olov-enquist-85-overleden.html,www.nu.nl
18, Kean haalt zich woede van Everton op de hals met 'lockdownparty' , Kean haalt zich woede van Everton op de hals met 'lockdownparty' ,https://www.nu.nl/voetbal/6047303/kean-haalt-zich-woede-van-everton-op-de-hals-met-lockdownparty.html,www.nu.nl
19, Chris Pratt en Katherine Schwarzenegger verwachten hun eerste kind , Chris Pratt en Katherine Schwarzenegger verwachten hun eerste kind ,https://www.nu.nl/achterklap/6047300/chris-pratt-en-katherine-schwarzenegger-verwachten-hun-eerste-kind.html,www.nu.nl
20," Nieuw seizoen Even tot hier gaat van start met 1,2 miljoen kijkers "," Nieuw seizoen Even tot hier gaat van start met 1,2 miljoen kijkers ",https://www.nu.nl/media/6047299/nieuw-seizoen-even-tot-hier-gaat-van-start-met-12-miljoen-kijkers.html,www.nu.nl
21,"Toen er nog sport was PSV verliest bij AC Milan, octopus voorspelt 'Clásico' ","Toen er nog sport was PSV verliest bij AC Milan, octopus voorspelt 'Clásico' ",https://www.nu.nl/sport-overig/6047237/psv-verliest-bij-ac-milan-octopus-voorspelt-clasico.html,www.nu.nl
22, Tom Hanks en Rita Wilson doneren bloed voor ontwikkeling coronavaccin , Tom Hanks en Rita Wilson doneren bloed voor ontwikkeling coronavaccin ,https://www.nu.nl/achterklap/6047296/tom-hanks-en-rita-wilson-doneren-bloed-voor-ontwikkeling-coronavaccin.html,www.nu.nl
23, Peter Pannekoek vindt show over tweede kansen 'nu nog relevanter' , Peter Pannekoek vindt show over tweede kansen 'nu nog relevanter' ,https://www.nu.nl/cultuur-overig/6046526/peter-pannekoek-vindt-show-over-tweede-kansen-nu-nog-relevanter.html,www.nu.nl
