,titles,descriptions,links,site_name
0,Asus introduceert twee ProArt-monitoren met miniledpanelen,"Asus heeft twee nieuwe ProArt-monitoren voor professioneel gebruik gepresenteerd. De PA32UCX-P en PA27UCX zijn 4k-monitoren met miniledpanelen en ondersteuning voor meerdere hdr-standaarden. Het is nog niet bekend wat de schermen kosten.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/jmuQh8waSxA"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166432,www.tweakers.nl
1,OnePlus 8 krijgt update die scherm- en touchproblemen moet verhelpen,"OnePlus heeft een software-update uitgebracht voor zijn nieuwste serie smartphones. De OnePlus 8 en OnePlus 8 Pro krijgen nieuwe software om een aantal problemen te verhelpen, waardoor groentinten op lagere helderheid en de aanraakgevoeligheid van het touchscreen aan de randen.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/npCJpFVV9lQ"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166426,www.tweakers.nl
2,Tesla brengt Autopilot-update uit voor stoplichten en stoptekens,"Tesla heeft een update uitgebracht voor zijn Autopilot-software. Daarmee moet de auto nu slim genoeg zijn om te functioneren met stoplichten en stoptekens op de weg. Vooralsnog is de functie alleen in de Verenigde Staten beschikbaar.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/UUvBT0fLf1k"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166428,www.tweakers.nl
3,HiSense brengt tablet uit met monochroom lcd,"HiSense heeft een tablet aangekondigd met een 10,5""-scherm, waarvan het scherm alleen grijstinten kan weergeven. Het gaat om een monochroom lcd dat werkt door het reflecteren van natuurlijk licht, wat de accuduur moet verbeteren.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/TGptE_lhHlE"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166424,www.tweakers.nl
4,Franse uitgever gaat nieuwe Kuifje-game uitbrengen,"Er is een nieuwe Kuifje-game in de maak die voor pc en consoles moet uitkomen. De Franse uitgever Microids gaat de game uitgeven, maar de precieze titel is nog niet bekend. De vorige Kuifje-game kwam in 2011 uit.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/8Lif5gbyZ2M"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166422,www.tweakers.nl
5,OnePlus ontslaat groot deel van Europees personeel,"OnePlus gaat zijn aanwezigheid in Europa afbouwen, door in verscheidene landen werknemers te ontslaan. De bedoeling is om de focus te verleggen naar de meest belangrijke landen. Nederland en België lijken niet getroffen te zijn door de ontslagen.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/ikLZaYHULUY"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166410,www.tweakers.nl
6,Octrooien: beschermingsmiddel of verdienmodel?,"Bedrijven die iets uitvinden vragen geregeld octrooien aan om hun investeringen en eventuele producten te beschermen. Wat is de achtergrond van de vele octrooizaken, wat voor soort octrooien zijn er, wat zijn patenttrollen en wat voor gevolgen kan een inbreuk op octrooien hebben voor techbedrijven?<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/k-SW2MX27q4"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/reviews/7568,www.tweakers.nl
7,Vermoedelijke Intel Ponte Vecchio Xe-gpu's verschijnen bij handelscommissie,"Er is een drietal Ponte Vecchio-gpu's van Intel verschenen op de website van de Euraziatische Economische Commissie. Hieronder zouden twee gpu's met add-in-card-formaat vallen. De gpu's bevinden zich alle drie vooralsnog in een testfase.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/yZGldBNypMs"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166420,www.tweakers.nl
8,Nvidia houdt 14 mei alsnog een online GTC 2020-keynote,"Nvidia houdt in mei alsnog een keynote voor GTC 2020. Deze presentatie stond in eerste instantie gepland in maart, maar werd opgeschort wegens de coronapandemie. De keynote wordt live uitgezonden via YouTube op 14 mei.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/rKgZF2WUvj0"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166416,www.tweakers.nl
9,Bungie geeft toe dat valsspelen in Destiny 2 aanzienlijk is toegenomen,"Bungie heeft beloofd dat het valsspelen in Destiny 2 harder gaat aanpakken, waarmee het tegemoet komt aan klachten van spelers. Volgens de ontwikkelaar is het aantal valsspelers sinds januari met 50 procent toegenomen.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/49nzjL-z7dM"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166408,www.tweakers.nl
10,KPN kampt met e-mailstoring bij verzenden en ontvangen,"KPN heeft dit weekend te maken met een storing, waardoor klanten hinder kunnen ondervinden bij het versturen en ontvangen van e-mails. De provider hoopt de problemen snel te kunnen oplossen, maar een oorzaak werd niet gegeven.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/qsSM8rDVFls"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166412,www.tweakers.nl
11,Rechter keurt overeenkomst Facebook en FTC met boete van 5 miljard dollar goed,"Een Amerikaanse rechter heeft de overeenkomst goedgekeurd die vorig jaar door Facebook en de FTC is bereikt. Het ging daarbij om een boete van 5 miljard dollar voor Facebook en de belofte voor hervormingen na privacyschendingen.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/CWH7v_jbLsI"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166406,www.tweakers.nl
12,Wine 5.7,"Er is met versienummer 5.7 een nieuwe ontwikkelbuild van Wine verschenen. Wine is een opensource-implementatie van de Windows-api en maakt het mogelijk om DOS- en Windows-programma's op Linux, FreeBSD, Solaris en macOS te draaien. Een grote groep ontwikkelaars draagt bij aan Wine en er is voor gekozen om elke twee weken een nieuwe zogeheten ontwikkelversie uit te brengen in plaats van te wachten tot er een aantal nieuwe functies klaar is. Een paar keer per jaar verschijnt er een stabiele uitgave. De database met applicaties die onder Wine werken, al dan niet met behulp van kleine aanpassingen, bevat op het moment van schrijven 27.073 titels. In deze uitgave zijn de volgende veranderingen en verbeteringen aangebracht: What's new in this release:<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/YKJ1kBY9FFc"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51530,www.tweakers.nl
13,qBittorrent 4.2.5,"Enkele dagen geleden is versie 4.2.4 van qBittorrent verschenen en wegen enkele problemen is er nu alweer een opvolger verschenen. Deze opensource-torrentclient heeft versies voor Windows, Linux, macOS en FreeBSD, en toont geen advertenties. Het programma wordt met Qt ontwikkeld en is gebaseerd op libtorrent (rasterbar) en Boost. Het programma is het geesteskind van de Franse student Christophe Dumez, die er sinds begin 2006 aan werkt. Tegenwoordig wordt het door de community onderhouden. In versie 4.2.5 zijn de volgende veranderingen en verbeteringen aangebracht: qBittorrent v4.2.5 release<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/-zcTfpZE8ZY"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51528,www.tweakers.nl
14,Rainmeter 4.4 r3349 bèta,"Versie 4.4 van Rainmeter is in ontwikkeling en inmiddels is er een achtste testversie uitgekomen. Met dit programma kan in real time allerlei zinvolle, maar ook minder zinnige informatie op de desktop worden weergegeven, zoals vrije ruimte op de harde schijf, netwerkactiviteit en of er nieuwe e-mail is. Ook kunnen functionele applets worden gebruikt om bijvoorbeeld notities te maken of om tweets mee te versturen. De release notes sinds revisie 3333 zien er als volgt uit: Revision 3349<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/L07VbDmt10o"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51526,www.tweakers.nl
15,Apple en Google beloven 'coronatracker'-api uit te zetten na de pandemie,"Apple en Google hebben beloofd dat de api waarmee contactonderzoek gedaan kan worden op iOS en Android wordt uitgezet zodra de pandemie voorbij is. Een harde einddatum voor het niet langer beschikbaar maken van de api werd echter niet gegeven.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/yUAXsv0DdxY"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166404,www.tweakers.nl
16,Veelbelovende technologie voor de emissieloze economie,"Een emissieloze economie: van fossiel naar hernieuwbaar. Dat vraagt om serieuze en economisch haalbare alternatieven voor de fossiele brandstoffen waarop de economie nu draait.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/g3429gqXN0E"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/reviews/7696,www.tweakers.nl
17,Facebook laat Messenger- en WhatsApp-gebruikers onderling bellen met 50 personen,"Facebook voegt een nieuwe functie toe aan Messenger waarmee gebruikers in groepen kunnen videochatten. Met Messenger Rooms kunnen gebruikers uiteindelijk met vijftig mensen tegelijk een videogesprek beginnen, waaronder WhatsApp- en Instagram-gebruikers.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/EacuvNXcyKU"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166402,www.tweakers.nl
18,Hubble Space Telescope werd dertig jaar geleden gelanceerd,"De Hubble-telescoop viert zijn dertigste verjaardag. De astronomische publiekslieveling werd precies 30 jaar geleden, op 24 april 1990, gelanceerd. Hoewel de sterrenkijker veel opstartproblemen kende veranderde hij onze kijk op het heelal definitief.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/fveP_wxK0QI"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/geek/166400,www.tweakers.nl
19,'Horizon: Zero Dawn krijgt sequel met co-opmodus en wordt PS5-exclusive',"Er komt een opvolger van Horizon: Zero Dawn, met een co-opmodus. Bronnen vertellen aan VideogamesChronicle dat de plannen voor het origineel worden doorgezet in de sequel. De tweede Horizon-game zou bovendien een PS5-exclusive worden.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/awZyMQhe2m4"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166398,www.tweakers.nl
20,WinSCP 5.17.4,"Versie 5.17.4 van WinSCP is verschenen. Met dit opensourceprogramma kunnen op een veilige manier bestanden tussen twee computers worden gekopieerd. Het programma ondersteunt ftp, secure ftp en het oudere scp-protocol. WinSCP is niet alleen als een opzichzelfstaand programma beschikbaar, maar ook als plug-in voor de programma's FAR en Altap Salamander. In deze uitgave zijn de volgende veranderingen en verbeteringen aangebracht: Changes in version 5.17.4:<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/pYhRMhT-7eE"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51524,www.tweakers.nl
