,titles,descriptions,links,site_name
0,Provincies positief over rijksmiddelen aanpak stikstof,Het kabinet neemt maatregelen om de stikstofuitstoot te verminderen en de natuur een noodzakelijke impuls te geven. ,https://www.brabant.nl/actueel/nieuws/aanpak-stikstof/2020/provincies-positief-over-rijksmiddelen-aanpak-stikstof,www.brabant.nl
1,Extra onderhoudswerkzaamheden N279 Veghel-Asten,Komend jaar wordt op de N279 tussen Veghel en Asten levensduurverlengend onderhoud uitgevoerd. ,https://www.brabant.nl/actueel/nieuws/verkeer-en-vervoer/2020/extra-onderhoudswerkzaamheden-n279-veghel-asten,www.brabant.nl
2,Chris Spooren voor 50PLUS benoemd als Statenlid,Op woensdag 22 april is de heer Chris Spooren benoemd als Statenlid voor 50PLUS,https://www.brabant.nl/actueel/nieuws/provinciale-staten/2020/april/statenlid-en-burgerlid-benoemd,www.brabant.nl
3,Aanpak eikenprocessierups: van bestrijden naar beheersen,Bij de aanpak van de eikenprocessierups verlegt de provincie Noord-Brabant de nadruk van bestrijden naar beheersen. ,https://www.brabant.nl/actueel/nieuws/verkeer-en-vervoer/2020/aanpak-eikenprocessierups-van-bestrijden-naar-beheersen,www.brabant.nl
4,Noord-Brabant zoekt nieuwe commissaris,De vacature voor de functie van commissaris van de Koning staat open. Reageren kan tot uiterlijk 14 mei.,https://www.brabant.nl/actueel/nieuws/provinciale-staten/2020/april/noord-brabant-zoekt-nieuwe-commissaris,www.brabant.nl
5,Innoveren met economische en maatschappelijke impact,De 3 zuidelijke provincies hebben onlangs de Regionale Innovatie Strategie (RIS3) gezamenlijk vastgesteld.,https://www.brabant.nl/actueel/nieuws/economie-en-werk/2020/innoveren-met-economische-en-maatschappelijke-impact,www.brabant.nl
6,Besluitenlijst Provinciale Staten 22 april 2020,Een overzicht van de besluiten die Provinciale Staten op 22 april genomen hebben,https://www.brabant.nl/actueel/nieuws/provinciale-staten/2020/april/besluitenlijst-ps-22-april-2020,www.brabant.nl
7,Eerste resultaten provinciale corona-maatregelen,De eerste resultaten van de (versnelde) corona-maatregelen zijn zichtbaar.,https://www.brabant.nl/actueel/nieuws/economie-en-werk/2020/eerste-resultaten-provinciale-coronamaatregelen,www.brabant.nl
8,Brabant zet kanjers in het licht,Het provinciebestuur toont haar steun aan alle helden die in deze bijzondere tijd een bewonderingswaardige rol spelen.,https://www.brabant.nl/actueel/nieuws/bestuur/2020/brabant-zet-kanjers-in-het-licht,www.brabant.nl
9,Minister Ollongren neemt profielschets nieuwe commissaris in ontvangst,Minister Ollongren heeft de profielschets voor de functie van commissaris van de Koning  in ontvangst genomen,https://www.brabant.nl/actueel/nieuws/provinciale-staten/2020/april/minister-neemt-profielschets-in-ontvangst,www.brabant.nl
