,titles,descriptions,links,site_name
0,"Kunnen de scholen eigenlijk wel veilig open, of worden het ‘superverspreiders’?",Heel Europa worstelt met een van de belangrijkste onderdelen van het heropstarten van de maatschappij: de scholen. Is het veilig of worden de scholen de nieuwe ‘superverspreiders’ van de coronacrisis?,https://www.ad.nl/binnenland/kunnen-de-scholen-eigenlijk-wel-veilig-open-of-worden-het-superverspreiders~a5876910/,www.ad.nl
1,Kans van 1 op 100.000: eeneiige drieling geboren in Putten,"Het is voor Barunka (28) en David (29) Knul uit Putten nog steeds moeilijk te bevatten. Op 22 maart zijn ze de trotse ouders geworden van een eeneiige drieling. Een kans van 1 op 100.000. En dat terwijl ze al twee jonge kinderen hebben. ,,Eigenlijk besef ik het nog steeds niet.”",https://www.ad.nl/binnenland/kans-van-1-op-100-000-eeneiige-drieling-geboren-in-putten~a8e7d1287/,www.ad.nl
2,Marcouch: Feestgangers op illegale party hadden bekeuring moeten krijgen,"De bezoekers van een illegaal feest in Arnhem dat in de nacht van zaterdag op zondag door de politie werd stilgelegd, hadden allemaal een bekeuring moeten krijgen. Dat vindt burgemeester Ahmed Marcouch.",https://www.ad.nl/arnhem/marcouch-feestgangers-op-illegale-party-hadden-bekeuring-moeten-krijgen~a992271a/,www.ad.nl
3,Politiemol Mark M. krijgt in hoger beroep opnieuw vijf jaar cel,"DEN BOSCH Mark M., alias de Weerter politiemol, krijgt in hoger beroep jaar opnieuw vijf jaar cel. Het gerechtshof vindt hem, net als de rechtbank, schuldig aan het doorgeven van geheime info aan criminelen. Het Openbaar ministerie, dat die straf eiste, is tevreden. Mark M gaat dor naar de Hoge Raad, verwacht zijn advocaat Jan-Hein Kuijpers",https://www.ad.nl/eindhoven/politiemol-mark-m-krijgt-in-hoger-beroep-opnieuw-vijf-jaar-cel~a29d0a83/,www.ad.nl
4,Hoe een straatarm meisje uit Dalfsen kampbewaakster werd in Auschwitz,"Dit is het verhaal van Ria Jorink, een straatarm meisje uit Dalfsen dat tijdens de Tweede Wereldoorlog als kampbewaakster in vernietigingskamp Auschwitz-Birkenau belandt. Ze wordt veroordeeld, maar tot de doodstraf of een jarenlange gevangenisstraf komt het niet. Wel tot een geruisloos leven in Zwolle, waar ze in 2002 op 82-jarige leeftijd overlijdt.",https://www.ad.nl/binnenland/hoe-een-straatarm-meisje-uit-dalfsen-kampbewaakster-werd-in-auschwitz~a96cc881/,www.ad.nl
5,"Slachtoffer van Haagse steker Malek F. vecht terug: ‘Zijn doel was moorden, hij moet het land uit’","Nooit vertelden de slachtoffers van de ‘Haagse steker’ Malek F. hun verhaal. Tot nu. Fazal Amin (37) werd 5 mei 2018 elf keer gestoken en zag tot zijn verbijstering dat ‘de jihadist’ er met tbs vanaf kwam. ,,Ik heb nooit iets kunnen doen, nu wil ik terugvechten.’’",https://www.ad.nl/binnenland/slachtoffer-van-haagse-steker-malek-f-vecht-terug-zijn-doel-was-moorden-hij-moet-het-land-uit~a75e583d/,www.ad.nl
6,Ondanks aanhouding toch weer een autobrand in Arnhem,"Ondanks de aanhouding afgelopen weekend voor de serie autobranden in Arnhem, heeft er afgelopen nacht opnieuw een autobrand gewoed. Hulpdiensten gaan uit van brandstichting.",https://www.ad.nl/binnenland/ondanks-aanhouding-toch-weer-een-autobrand-in-arnhem~a4fd640c/,www.ad.nl
7,Geredde ooievaartjes uit De Lutte groeien als kool: ‘Eerste nacht was wel spannend’,"De vier geredde ooievaartjes uit De Lutte groeien als kool. Vorige week zijn ze overgebracht naar de ooievaarsopvang in Herwijnen en daar doen ze het zo goed, dat de twee grootsten al niet meer samen in een voerbak passen.",https://www.ad.nl/binnenland/geredde-ooievaartjes-uit-de-lutte-groeien-als-kool-eerste-nacht-was-wel-spannend~abc5d6d8/,www.ad.nl
8,Gevluchte bestuurder kilometers verder opgepakt na crash op A50,"Een automobilist heeft de politie afgelopen nacht flink beziggehouden tussen Hattemerbroek en Zwolle. De man crashte op de A50, maar in plaats van te wachten op de hulpdiensten ging hij er te voet vandoor. En dat bleek niet zonder reden.",https://www.ad.nl/auto/gevluchte-bestuurder-kilometers-verder-opgepakt-na-crash-op-a50~a9320fe91/,www.ad.nl
9,"Een 4 mei om nooit te vergeten: vlaggen de hele dag halfstok, koning speecht op lege Dam","De Nationale Herdenking zou vanwege het 75-jarige jubileum al bijzonder zijn. Door de coronacrisis belooft deze 4 mei een extra speciale editie te worden. De koning spreekt een lege Dam toe, voor het oog van miljoenen tv-kijkers. Het Nationaal Comité 4 en 5 mei roept iedereen op om de vlag de hele dag halfstok te hangen.",https://www.ad.nl/binnenland/een-4-mei-om-nooit-te-vergeten-vlaggen-de-hele-dag-halfstok-koning-speecht-op-lege-dam~a39c4551/,www.ad.nl
