,titles,descriptions,links,site_name
0,Man rent A58 op om aan agenten te ontkomen,"Een 22-jarige man die drugs op zak had, is zondag rond 16.00 uur de A58 bij Middelburg op gerend in een poging te vluchten van agenten.",https://www.telegraaf.nl/nieuws/1208229185/man-rent-a58-op-om-aan-agenten-te-ontkomen,www.telegraaf.nl
1,‘Snelheid in handelen heeft Koeman enorm geholpen’,‘Snelheid in handelen heeft Koeman enorm geholpen’,https://www.telegraaf.nl/video/1724294093/snelheid-in-handelen-heeft-koeman-enorm-geholpen,www.telegraaf.nl
2,"Veiligheidsberaad: ’Politieagentje spelen zinloos, beboeten alleen bij grote groep'","Veiligheidsberaad: ’Politieagentje spelen zinloos, beboeten alleen bij grote groep'",https://www.telegraaf.nl/nieuws/267751048/veiligheidsberaad-politieagentje-spelen-zinloos-beboeten-alleen-bij-grote-groep,www.telegraaf.nl
3,Oproep minister Grapperhaus: hang de vlag uit,"Bevrijdingsdag vieren kan niet zonder stil te staan bij de slachtoffers op dodenherdenking, vindt minister Ferdinand Grapperhaus (Justitie en Veiligheid). Hij roept iedereen op om maandag zowel aan de herdenking als dinsdag aan het vrijheidsfeest mee te doen, door de vlag uit te steken. Of door de v...",https://www.telegraaf.nl/nieuws/709652379/oproep-minister-grapperhaus-hang-de-vlag-uit,www.telegraaf.nl
4,Oorlogsfotograaf Chas Gerretsen vast op zeilschip,Het Nederlands Fotomuseum in Rotterdam bereidt een groot overzicht voor van het werk van Chas Gerretsen (76) voor de zomer van 2021.,https://www.telegraaf.nl/entertainment/1125072048/oorlogsfotograaf-chas-gerretsen-vast-op-zeilschip,www.telegraaf.nl
5,Uitgebreide reisgids voor de herdenkingstoerist,In het voorwoord van de lijvige reisgids Bevrijdingsroute Europa vertelt ANWB-directeur Frits van Bruggen hoe hij jaren geleden met zijn gezin de stranden van Normandië bezocht en danig onder de indruk was. Vorig jaar juni startte daar de 75-jarige jubileumviering van de bevrijding van Nederland. De...,https://www.telegraaf.nl/entertainment/850856895/uitgebreide-reisgids-voor-de-herdenkingstoerist,www.telegraaf.nl
6,Marcouch: ‘Vrijheid is onze zuurstof’,Marcouch: ‘Vrijheid is onze zuurstof’,https://www.telegraaf.nl/video/1584220554/marcouch-vrijheid-is-onze-zuurstof,www.telegraaf.nl
7,Politiemol krijgt ook in hoger beroep vijf jaar cel,Politiemol Mark M. (33) uit Weert heeft maandag ook in hoger beroep vijf jaar cel gekregen. Het gerechtshof in Den Bosch veroordeelde hem voor witwassen en het verkopen van geheime politie-informatie aan criminelen.,https://www.telegraaf.nl/nieuws/2123049999/politiemol-krijgt-ook-in-hoger-beroep-vijf-jaar-cel,www.telegraaf.nl
8,Gewonde bij woningoverval Den Haag,"Bij een woningoverval aan de Paviljoensgracht in het centrum van Den Haag is maandagochtend geschoten en een gewonde gevallen, meldt de politie. Het slachtoffer is naar het ziekenhuis gebracht voor behandeling.",https://www.telegraaf.nl/nieuws/1865904350/gewonde-bij-woningoverval-den-haag,www.telegraaf.nl
9,"’Ik kan verleden niet loslaten, ik herleef het steeds weer’",Deze week precies 75 jaar geleden kwam een einde aan de Tweede Wereldoorlog. Heel Nederland had naar dit moment toegeleefd. Na de eerste euforie moest iedereen zijn leven weer oppakken. Hoe was dat en op wat voor manier bleef het oorlogsverleden een rol spelen in het bestaan? Vandaag in de laatste a...,https://www.telegraaf.nl/nieuws/1721176594/ik-kan-verleden-niet-loslaten-ik-herleef-het-steeds-weer,www.telegraaf.nl
10,Arib deelt komische anekdotes videobellende Kamerleden,Ook de leden van de Tweede Kamer moeten een deel van hun vergaderingen digitaal beleggen. Voorzitter Khadija Arib deelt in Op1 een aantal komische anekdotes.,https://www.telegraaf.nl/video/1699929112/arib-deelt-komische-anekdotes-videobellende-kamerleden,www.telegraaf.nl
11,Maakt de auto een wedergeboorte?,"Hoe zal het met de auto gaan na de coronacrisis? Zal onze heilige koe een wedergeboorte doormaken, als veilig transportmiddel waarin de kans op besmetting met het virus wel heel klein is, zoals verkeersexpert Henk van Zuylen afgelopen vrijdag in De Telegraaf voorspelde? Of krijgen de verkeersoptimis...",https://www.telegraaf.nl/nieuws/1054003785/maakt-de-auto-een-wedergeboorte,www.telegraaf.nl
