,titles,descriptions,links,site_name
0,4 mei anders dan anders dit jaar: koning speecht op lege Dam,4 mei anders dan anders dit jaar: koning speecht op lege Dam,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/4-mei-koning-dam-5-mei-initiatieven/,www.linda.nl
1,Een derde van de leraren vindt opengaan basisscholen niet verantwoord,Een derde van de leraren vindt opengaan basisscholen niet verantwoord,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/opengaan-basisscholen-niet-verantwoord/,www.linda.nl
2,Meldanur (23) maakt voedselpakketten met heel Soest: 'We doen dit met liefde',Meldanur (23) maakt voedselpakketten met heel Soest: 'We doen dit met liefde',https://www.linda.nl/nieuws/binnenland//nieuws/meldanur-soest-voedselpakketten/,www.linda.nl
3,Dat zit wel snor: zo houd je je kroost weer een paar uur van de straat,Dat zit wel snor: zo houd je je kroost weer een paar uur van de straat,https://www.linda.nl/nieuws/binnenland//advertorial/the-willoughbys-netflix-knutselen-snor/,www.linda.nl
4,Nieuwe poging dolfijn Zafar uit Amsterdamse haven weg te loodsen,Nieuwe poging dolfijn Zafar uit Amsterdamse haven weg te loodsen,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/nieuwe-poging-dolfijn-zafar-amsterdamse-haven-zee-tuimelaar/,www.linda.nl
5,Zomer 2020 wordt met verwachte hittegolven opnieuw heet en droog,Zomer 2020 wordt met verwachte hittegolven opnieuw heet en droog,https://www.linda.nl/nieuws/binnenland//nieuws/weer/zomer-2020-hittegolven-warm-droog/,www.linda.nl
6,Twee jongens vinden explosief uit Tweede Wereldoorlog en nemen het mee naar huis,Twee jongens vinden explosief uit Tweede Wereldoorlog en nemen het mee naar huis,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/jongens-vinden-explosief-tweede-wereldoorlog/,www.linda.nl
7,'The Willoughbys'-cast laat zien: zo vermaak je je kroost zÃ³nder je snor te drukken,'The Willoughbys'-cast laat zien: zo vermaak je je kroost zÃ³nder je snor te drukken,https://www.linda.nl/nieuws/binnenland//advertorial/snor-knutselen-the-willoughbys-netflix/,www.linda.nl
8,Tientallen schademeldingen na aardbeving in Gronings dorp Zijldijk,Tientallen schademeldingen na aardbeving in Gronings dorp Zijldijk,https://www.linda.nl/nieuws/binnenland//nieuws/aardbeving-groningen-zijldijk/,www.linda.nl
9,Grote belangstelling voor meeblazen met taptoesignaal op 4 mei,Grote belangstelling voor meeblazen met taptoesignaal op 4 mei,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/meeblazen-taptoesignaal-dodenherdenking/,www.linda.nl
10,Recordaantal mensen dient belastingaangifte op allerlaatste dag in,Recordaantal mensen dient belastingaangifte op allerlaatste dag in,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/recordaantal-belastingaangifte-laatste-dag/,www.linda.nl
11,Als je Ã©ven een momentje voor jezelf hebt: 3 x tips voor de fijnste podcasts,Als je Ã©ven een momentje voor jezelf hebt: 3 x tips voor de fijnste podcasts,https://www.linda.nl/nieuws/binnenland//advertorial/podcast-tips-nestle-atelier-luisteren/,www.linda.nl
12,Politie pakt 24 verdachten op voor WhatsAppfraude,Politie pakt 24 verdachten op voor WhatsAppfraude,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/politie-verdachten-whatsappfraude/,www.linda.nl
13,Wil (82) wacht buiten voor verpleeghuis tot ze haar man mag bezoeken,Wil (82) wacht buiten voor verpleeghuis tot ze haar man mag bezoeken,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/vrouw-verpleeghuis-buiten-man-dementie-bezoeken/,www.linda.nl
14,Liveblog coronavirus vrijdag 1 mei: buurt klaagt over optredens bij zorgcentrum,Liveblog coronavirus vrijdag 1 mei: buurt klaagt over optredens bij zorgcentrum,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/liveblog-coronavirus-vrijdag-1-mei/,www.linda.nl
15,Gas erop: rijlessen voor motor en bromfiets mogen weer,Gas erop: rijlessen voor motor en bromfiets mogen weer,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/rijlessen-motor-bromfiets-coronamaatregelen/,www.linda.nl
16,Stichting Beschermde Wieg geeft gratis zwangerschapstesten aan vrouwen in nood,Stichting Beschermde Wieg geeft gratis zwangerschapstesten aan vrouwen in nood,https://www.linda.nl/nieuws/binnenland//nieuws/stichting-beschermde-zwangerschapstesten-vrouwen-nood/,www.linda.nl
