,titles,descriptions,links
0,15-jarige verdachte meldt zich na uitschelden en bespugen homokoppel,De politie laat via Twitter weten dat het onderzoek naar andere betrokkenen doorgaat. Verder worden de betrokkenen opgeroepen om zich te melden. ,https://www.nos.nl/artikel/2330388-15-jarige-verdachte-meldt-zich-na-uitschelden-en-bespugen-homokoppel.html
1,Huisartsen gaan 'verborgen' coronadoden registreren,De cijfers komen naast de dagelijkse update van het RIVM. Dat moet een completer beeld geven van het aantal mensen dat overlijdt aan een coronabesmetting.,https://www.nos.nl/artikel/2330364-huisartsen-gaan-verborgen-coronadoden-registreren.html
2,"'De eerste weken waren echt zwaar, maar gelukkig gaat het nu beter'",De NOS volgt zorgmedewerkers die werken in de frontlinie van de coronacrisis.,https://www.nos.nl/artikel/2330356-de-eerste-weken-waren-echt-zwaar-maar-gelukkig-gaat-het-nu-beter.html
3,De coronacijfers van 13 april: nu minstens 2823 Nederlandse doden,Er kwamen tot vanmorgen 86 overledenen bij. Waarschijnlijk waren dit er in werkelijkheid meer; in het weekend ontstaat er een vertraging in de meldingen.,https://www.nos.nl/artikel/2330355-de-coronacijfers-van-13-april-nu-minstens-2823-nederlandse-doden.html
4,Tevredenheid over paasgedrag Nederlanders,"Mensen gaven gehoor aan de oproep om thuis te blijven. Zo was het bij meubelboulevards, tuincentra en bouwmarkten veel rustiger dan normaal op Tweede Paasdag.",https://www.nos.nl/artikel/2330354-tevredenheid-over-paasgedrag-nederlanders.html
5,Corona belemmert rouwproces: zonder afscheid geen verwerking,"Fysiek afscheid nemen van een dierbare, is de eerste stap in een rouwproces. Door corona kan dit niet en dat veroorzaakt veel leed. Hoe rouw je op afstand?",https://www.nos.nl/artikel/2330335-corona-belemmert-rouwproces-zonder-afscheid-geen-verwerking.html
6,"'Een ommetje in de buurt is prima, maar blijf weg van woonboulevards'",Veel mensen volgen de instructies om zoveel mogelijk thuis te blijven goed op. Ook vandaag geldt de oproep om er niet op uit te gaan.,https://www.nos.nl/artikel/2330325-een-ommetje-in-de-buurt-is-prima-maar-blijf-weg-van-woonboulevards.html
7,Marokkaanse uitleg over vastzittende Nederlanders is 'wankel verhaal',Het Samenwerkingsverband Marokkaanse Nederlanders houdt er rekening mee dat honderden Nederlanders vastzitten in Marokko door de diplomatieke spanningen tussen de twee landen.,https://www.nos.nl/artikel/2330324-marokkaanse-uitleg-over-vastzittende-nederlanders-is-wankel-verhaal.html
8,"Bewoners vrijstaand huis Zundert overvallen, drie daders gevlucht","De politie is op zoek naar de daders, die te voet op de vlucht sloegen. ",https://www.nos.nl/artikel/2330320-bewoners-vrijstaand-huis-zundert-overvallen-drie-daders-gevlucht.html
9,Plofkraak en poging tot plofkraak in Amsterdam,"Criminelen sloegen toe op twee verschillende plekken in de stad. Of er geld is buitgemaakt, is nog niet bekend.",https://www.nos.nl/artikel/2330318-plofkraak-en-poging-tot-plofkraak-in-amsterdam.html
10,Wekdienst 13/4: Karel Doorman naar Cariben • Serious Request zamelt geld in,"Nieuws, weer, verkeer: met dit overzicht begin je geïnformeerd aan de dag.",https://www.nos.nl/artikel/2330317-wekdienst-13-4-karel-doorman-naar-cariben-serious-request-zamelt-geld-in.html
11,Gevallen trapezeartiest loopt weer,"De Russische acrobate kan eind deze maand het revalidatiecentrum verlaten, zegt haar fysiotherapeut.",https://www.nos.nl/artikel/2330308-gevallen-trapezeartiest-loopt-weer.html
