,titles,descriptions,links
0,Minister Ollongren na half jaar afwezigheid weer aan het werk,"Minister Kajsa Ollongren (Binnenlandse Zaken) gaat deze week weer aan het werk. Dat bevestigt het ministerie maandagavond. Ollongren was maanden uit de roulatie, in verband met complicaties na een operatie.",
1,Zestig wetenschappers sturen brandbrief aan kabinet over corona-app,Ze willen dat het kabinet kritisch kijkt naar het nut en de noodzaak van de app.,
2,Noodpakket uitgebreid: ook coronaregeling voor flexwerkers,De speciale regeling zal honderden miljoenen euro’s gaan kosten.,
3,"RIVM: 86 nieuwe sterfgevallen, 147 nieuwe ziekenhuisopnames",Het totale dodental komt daarmee op 2823.,
4,Pepperspray ingezet bij onrust in gevangenis Lelystad,Tijdens een incident in de Penitentiaire Inrichting Lelystad hebben bewakers zondagmiddag pepperspray ingezet.,
5,Pakketbezorgers slepen PostNL voor de rechter om coronadrukte,"Pakketbezorgers slepen PostNL voor de rechter wegens de grote werkdruk die is ontstaan door maatregelen tegen het nieuwe coronavirus. Dat meldde de Belangenvereniging voor Pakket Distributie (BVPD), die namens pakketondernemers een rechtszaak aanspant, tegen het ANP.",
6,Econome Baarsma: ‘Je gaat straks echt niet zes keer per week uit eten’,"De coronamaatregelen gaan ten koste van de economie, stelt econome Barbara Baarsma. ‘Mijn oproep: wees daar transparant over.’",
7,De Poolse ‘Engel’ die Joodse kinderen redde,"De soldaten die in april 1945 het kamp Bergen-Belsen bevrijdden, troffen daar ook een groep Amsterdamse kinderen. Luba Tryszynska, de Engel van Bergen-Belsen, had hen voor de dood behoed.",
8,Meerdere geweldsincidenten tegen politie en conductrice,Een conductrice en een aantal agenten zijn onder meer in hun gezicht gespuugd.,
9,"Dodenherdenking op de Dam met koningspaar, zonder publiek","De Nationale Herdenking op de Dam op 4 mei vindt dit jaar vanwege de maatregelen tegen het coronavirus in klein gezelschap plaats. Koning Willem-Alexander en koningin Máxima zijn er onder anderen, publiek wordt opgeroepen thuis te blijven.",
10,"Niet eerder zo warm op 12 april, maar koeler weer is op komst","Opnieuw is een warmterecord verbroken. Zondag tikte de thermometer in het Limburgse Ell 24,5 graden aan. Niet eerder werd het op een weerstation in Nederland zo warm op 12 april, meldt Weeronline.",
11,Job Cohen: ‘Een lege Dam op 4 mei zal ons verbinden',"Oud-burgemeester Job Cohen (72), voorzitter van het Amsterdams 4 en 5 mei comité, hoopt dat de wereld na de coronacrisis anders wordt ingericht. ‘Een totaal lege Dam op 4 mei zal ons opnieuw, hoe raar dat ook klinkt, een vorm van verbondenheid geven.’",
12,Opnieuw brandstichting in zendmasten,In het Brabantse Oudenbosch heeft afgelopen nacht brand gewoed in twee zendmasten. Volgens de politie gaat het vermoedelijk om brandstichting. In Groningen werd geprobeerd brand te stichten in een zendmast.,
13,"Stel, je bent immuun voor het coronavirus. En dan?",Ook volgens gezondheidsminister Hugo de Jonge zijn immuniteitstests nodig om straks te kunnen bepalen wie weer aan het werk kan. Alleen: hoe ziet een wereld met immunen en niet-immunen eruit?,
14,Oproep aan muzikanten: taptoe vanaf het balkon op 4 mei,"Het Amsterdamse 4 en 5 comité roept professionele en amateur­muzikanten op om overal in de stad op de avond van 4 mei, om één minuut voor acht, met de ramen open of op hun balkon het traditionele taptoe­signaal te spelen. Daarna volgen twee minuten stilte.",
15,Bloedbanken onderzoeken immuniteit: ‘Er is nog zo veel onzeker’,Deze week is het bloed van duizenden donoren onderzocht.,
16,"Staatssecretaris Van Ark: ‘Ondernemer,
pak de hulp’","Voor staatssecretaris Tamara van Ark is 240.000 aanvragen van zzp’ers om steun een mooi begin. Voel geen gêne om aan te kloppen in deze crisis, houdt zij door corona in de knel gekomen ondernemers voor.",
17,Deze experts adviseren het kabinet in deze crisistijd,"Het Outbreak Management Team dat het kabinet adviseert, bepaalt hoe ons leven er nu uitziet. Premier Mark Rutte noemt de adviezen ‘heilig’.",
18,Worstelen met de afstandsregels: ouders mogelijk geweerd van schoolplein,Achter de schermen wordt nagedacht hoe scholen weer open zouden kunnen.,
19,Dit was het belangrijkste coronanieuws van vrijdag 10 april,"Het aantal patiënten op de intensive care nam met 33 af en wereldwijd zijn er nu officieel 100.000 doden gemeld. Dit was het belangrijkste coronanieuws van vrijdag 10 april, de dag dat het RIVM 115 nieuwe sterfgevallen meldde.",
