,titles,descriptions,links
0,Minister Schouten (Ladbouw) trekt knip om ’verloren jaar’ te overleven,"Om te voorkomen dat bedrijven in de sierteeltsector ten onder gaan,  trekt het kabinet 600 miljoen euro uit. De enorme omzetschade bij de oer-Hollandse bollenboeren en bloemenkwekers wordt voor een groot deel gecompenseerd.",https://www.telegraaf.nl/nieuws/500414251/minister-schouten-ladbouw-trekt-knip-om-verloren-jaar-te-overleven
1,Kabinet trekt 600 miljoen uit voor sierteelt,Kabinet trekt 600 miljoen uit voor sierteelt,https://www.telegraaf.nl/nieuws/2005911457/kabinet-trekt-600-miljoen-uit-voor-sierteelt
2,Oranjefan: 'Niet klagen dat Koningsdag niet doorgaat',Oranjefan: 'Niet klagen dat Koningsdag niet doorgaat',https://www.telegraaf.nl/video/1685178823/oranjefan-niet-klagen-dat-koningsdag-niet-doorgaat
3,Eikenprocessierups aanpakken: ’Door de jeuk niet meer in de tuin zitten’,De eikenprocessierups staat in de startblokken om het de mens weer lastig te maken. Inwoners van het Brabantse Moergestel binden de strijd met de jeukrups aan door de stammen van eikenbomen te omwikkelen met landbouwplastic en huishoudfolie.,https://www.telegraaf.nl/nieuws/1861535417/eikenprocessierups-aanpakken-door-de-jeuk-niet-meer-in-de-tuin-zitten
4,Extra controles tegen dagjesmens in Zuid-Limburgs heuvelland,De Veiligheidsregio Zuid Limburg vermindert het aantal controleposten op toegangswegen naar het Limburgse heuvelland. Maar de regio waarschuwt wel dat komend weekend extra controles worden uitgevoerd bij de toegangswegen tot het heuvelland. Die moeten voorkomen dat het gebied weer volloopt met dagje...,https://www.telegraaf.nl/nieuws/836963545/extra-controles-tegen-dagjesmens-in-zuid-limburgs-heuvelland
5,LIVE | Dodental coronavirus in Frankrijk nu boven de 17.000,Wereldwijd zijn ruim 130.000 mensen overleden aan de gevolgen van een besmetting met het coronavirus. Het dodental is in een periode van twee weken ruim verdubbeld. Meer dan 2 miljoen mensen zijn besmet. Dat meldt de Johns Hopkins University. Volg de laatste mondiale ontwikkelingen over het coronavi...,https://www.telegraaf.nl/nieuws/2029892713/live-dodental-coronavirus-in-frankrijk-nu-boven-de-17-000
6,'Dit zijn de stappen naar het nieuwe normaal','Dit zijn de stappen naar het nieuwe normaal',https://www.telegraaf.nl/video/966995826/dit-zijn-de-stappen-naar-het-nieuwe-normaal
7,Kabinet trekt 300 miljoen euro uit voor cultuursector,"Het kabinet trekt 300 miljoen euro extra uit om de cultuursector te ondersteunen. Dat maakt het ministerie van Onderwijs woensdag bekend. Met het geld worden onder meer subsidies voor instellingen en festivals verhoogd die door het Rijk worden bekostigd, maar ook voor private instellingen en organis...",https://www.telegraaf.nl/nieuws/2006098597/kabinet-trekt-300-miljoen-euro-uit-voor-cultuursector
8,’Anderhalve meter vakantie’ rukt op,"De ’anderhalve meter vakantie’ is aan een opmars bezig. Reisorganisaties spelen slim in op het 2020-sentiment van de doorsnee Nederlander met ’anti-coronareisjes’. Hollandse glorie krijgt daarbij voorrang, omdat veel toeristen in deze tijd niet ver weg durven te gaan en bang zijn voor volle vliegtui...",https://www.telegraaf.nl/nieuws/273110468/anderhalve-meter-vakantie-rukt-op
9,Kabinet vindt mondkapjes voor bevolking onnodig,"De belangrijkste boodschap voor de Nederlandse bevolking blijft voorlopig: „Hou vol.” Het dragen van mondkapjes door iedereen, vindt het kabinet onnodig en onverstandig.",https://www.telegraaf.nl/nieuws/1773802335/kabinet-vindt-mondkapjes-voor-bevolking-onnodig
10,Blij met zeldzame zwijntjes: ’Ze waren er ineens’,"Grote vreugde in het Dierenrijk in het Brabantse Mierlo. Daar zijn twee zeer zeldzame Visaya wrattenzwijntjes geboren. „Er zijn er in het wild nog maar tweehonderd van, dus elk exemplaar dat er bij komt is er een”, zegt een verheugde dierenverzorger Stephan Rijnen.",https://www.telegraaf.nl/nieuws/1551442254/blij-met-zeldzame-zwijntjes-ze-waren-er-ineens
11,’Verkeersdrukte lijkt iets aan te trekken buiten spitsuren’,"Door de coronamaatregelen is het al voor de vijfde week op rij rustig op de Nederlandse wegen. De laatste twee weken lijkt het wel langzaam iets drukker te worden, vooral buiten spitsuren. Dat meldt de Nationale Databank Wegverkeersgegevens (NDW).",https://www.telegraaf.nl/nieuws/1641037503/verkeersdrukte-lijkt-iets-aan-te-trekken-buiten-spitsuren
