,titles,descriptions,links
0,Livestream Rutte spreekt na ministerraad pers toe over coronacrisis ,Livestream Rutte spreekt na ministerraad pers toe over coronacrisis ,https://www.nu.nl/algemeen/6045486/rutte-spreekt-na-ministerraad-pers-toe-over-coronacrisis.html
1," Coronacrisis kost horeca-uitzendbureau van Hilton, ArenA en RAI de kop "," Coronacrisis kost horeca-uitzendbureau van Hilton, ArenA en RAI de kop ",https://www.nu.nl/economie/6045477/coronacrisis-kost-horeca-uitzendbureau-van-hilton-arena-en-rai-de-kop.html
2, Nieuwe muziek op vrijdag: Duetten van Tabitha & Nielson en MEROL & Lubach , Nieuwe muziek op vrijdag: Duetten van Tabitha & Nielson en MEROL & Lubach ,https://www.nu.nl/muziek/6045466/nieuwe-muziek-op-vrijdag-duetten-van-tabitha-nielson-en-merol-lubach.html
3, Verkoop Volkswagen Group bijna een kwart lager in eerste kwartaal , Verkoop Volkswagen Group bijna een kwart lager in eerste kwartaal ,https://www.nu.nl/auto/6045480/verkoop-volkswagen-group-bijna-een-kwart-lager-in-eerste-kwartaal.html
4, Ellen van Dijk teleurgesteld in UCI: 'Worden totaal niet serieus genomen' , Ellen van Dijk teleurgesteld in UCI: 'Worden totaal niet serieus genomen' ,https://www.nu.nl/wielrennen/6045475/ellen-van-dijk-teleurgesteld-in-uci-worden-totaal-niet-serieus-genomen.html
5, Burgemeesters: Verbied evenementen en betaald voetbal tot zeker 1 september , Burgemeesters: Verbied evenementen en betaald voetbal tot zeker 1 september ,https://www.nu.nl/coronavirus/6045470/burgemeesters-verbied-evenementen-en-betaald-voetbal-tot-zeker-1-september.html
6, Automobilist sleurt politieagent meters mee na aanhouding op A2 , Automobilist sleurt politieagent meters mee na aanhouding op A2 ,https://www.nu.nl/binnenland/6045458/automobilist-sleurt-politieagent-meters-mee-na-aanhouding-op-a2.html
7," Corona-apps van zeven bedrijven geselecteerd, test volgt dit weekend "," Corona-apps van zeven bedrijven geselecteerd, test volgt dit weekend ",https://www.nu.nl/tech/6045441/corona-apps-van-zeven-bedrijven-geselecteerd-test-volgt-dit-weekend.html
8, Halle Berry denkt voorlopig vrijgezel te blijven , Halle Berry denkt voorlopig vrijgezel te blijven ,https://www.nu.nl/achterklap/6045460/halle-berry-denkt-voorlopig-vrijgezel-te-blijven.html
9, RIVM meldt minder ziekenhuisopnames (156) dan week eerder , RIVM meldt minder ziekenhuisopnames (156) dan week eerder ,https://www.nu.nl/coronavirus/6045428/rivm-meldt-minder-ziekenhuisopnames-156-dan-week-eerder.html
10, Olympisch kampioen Achtereekte en Beune verlengen contract bij Jumbo-Visma , Olympisch kampioen Achtereekte en Beune verlengen contract bij Jumbo-Visma ,https://www.nu.nl/schaatsen/6045456/olympisch-kampioen-achtereekte-en-beune-verlengen-contract-bij-jumbo-visma.html
