,titles,descriptions,links
0,Druk op ic’s neemt af: kan economie weer op stoom komen?,"Als de maatregelen worden versoepeld, kan de schade aan de economie  worden beperkt.",
1,"Experts koersen af op advies: basisscholen open, middelbare scholen niet","Basisscholen en kinderdagverblijven kunnen mogelijk na de meivakantie weer open. Middelbare scholen moeten de deuren misschien langer gesloten houden, omdat hun rol bij de verspreiding van het coronavirus groter lijkt.",
2,Storm van kritiek op minister: ‘Zonder kunstenaars geen kunst’,De cultuursector is teleurgesteld in het kabinet. De 300 miljoen euro steun is te weinig en het geld wordt verkeerd verdeeld. ‘De urgentie ontbreekt simpelweg bij de minister.’,
3,Boze Kamerleden 50Plus slaan verzoeningspoging Dales af,Drie Tweede Kamerleden van 50Plus zegden het vertrouwen op in voorzitter Geert Dales.,
4,Metro keert niet terug als papieren krant,"De uitgave Metro stopt definitief als papieren krant. De krant verschijnt momenteel door de coronacrisis alleen maar online, maar de printeditie keert ook in de toekomst niet meer terug op de stations.",
5,Experts: leraren lopen nauwelijks risico als scholen opengaan,"Als kinderdagverblijven en basisscholen opengaan, lopen leraren en medewerkers een uiterst klein gezondheidsrisico. Het leidt tot nauwelijks meer ic-opnames, zo concludeert het Outbreak Management Team.",
6,Waarom Nederland (nog) niet aan de mondkapjes wil,In steeds meer landen worden burgers door de autoriteiten geadviseerd om een mondkapje te dragen. Toch blijft de Nederlandse regering bij het advies dat het niet nodig is. Waarom? En wat zijn de voor- en nadelen van mondkapjes?,
7,"Rutte: mondkapjes geen alternatief voor 1,5 metersamenleving","Het kabinet vraagt de experts van het Outbreak Management Team (OMT) om te bekijken of mondkapjes ingezet kunnen worden in sectoren waarbij geen 1,5 meter afstand gehouden kan worden. Het gaat dan bijvoorbeeld over kappers of nagelstylisten.",
8,Patiënten ontwaken angstig. En dan kan nog een klap komen,"Grote kans dat coronapatiënten meer klachten overhouden aan hun verblijf op de ic dan anderen, zegt lector revalidatie acute zorg Marike van der Schaaf. ‘Hoe langer beademd, hoe meer klachten.’",
9,Bespuugde agent en boa mogen zich bij klachten laten testen,"Politieagenten en buitengewoon opsporingsambtenaren (boa’s) die zijn bespuugd of in hun gezicht gehoest, mogen zich laten testen. Ze moeten dan wel klachten hebben die doen denken aan het coronavirus.",
10,Duizenden Nederlanders verliezen baan door coronacrisis,"Door de coronacrisis zijn vorige maand per saldo 17.000 Nederlanders zonder werk komen te zitten, meldt het Centraal Bureau voor de Statistiek (CBS). Ook klopten mensen massaal aan bij uitkeringsinstantie UWV voor een WW-uitkering.",
11,Zomervakantie mogelijk korter om achterstanden weg te werken,Zomerscholen voor leerlingen die na de meivakantie niet naar school kunnen.,
12,Mark Rutte: ‘Het loket gaat zeker niet in één keer open’,"Het kabinet wil niet in één keer, maar ‘stap voor stap’ naar versoepeling van de getroffen corona-maatregelen. ‘Het loket gaat zeker niet in één keer open. Er zal maatwerk nodig zijn om aan de 1,5 meter-samenleving te voldoen.’",
13,650 miljoen euro voor sierteelt en voedingstuinbouw,"Het kabinet trekt 650 miljoen euro uit voor de sierteeltsector, de voedingstuinbouw en de fritesaardappelsector.",
14,"Viroloog: ‘Agressieve virussen waaraan mensen snel doodgaan, sterven snel uit’",Lia van der Hoek doet volop onderzoek naar een antiviraal middel tegen Covid-19.,
15,"Kabinet maakt vaart met corona-apps, 750 voorstellen binnen",Minister De Jonge: 'Volgende week moet er een goed voorstel liggen',
16,Kabinet trekt 300 miljoen euro extra uit voor cultuur,Het kabinet schiet bepaalde culturele instellingen financieel te hulp om hen door de eerste maanden van de coronacrisis te helpen. Ook moeten ze met het geld weer kunnen investeren in het komende culturele seizoen. In totaal wordt daarvoor 300 miljoen euro uitgetrokken.,
17,Adviescommissie: ‘Einde aan belastingontwijking levert 600 miljoen op’,Er moet flink worden gewied in aftrekposten multinationals.,
18,Mag het noorden als eerste uit de lockdown?,"Met een opvallend lage infectiegraad en zonder overbelaste ziekenhuizen kan het noorden mogelijk eerder uit de ‘lockdown’ dan de rest van het land, stellen experts. Het RIVM en het kabinet houden regionale exit-opties open, een Groningse hoogleraar noemt de variant ‘interessant'.",
19,Dit was het belangrijkste coronanieuws van woensdag 15 april,"Het kabinet wil stapsgewijs naar versoepeling van de maatregelen; Nederland krijgt 2,7 miljoen testen toegezegd; de VS zet de financiering van de WHO stop. Dit was het belangrijkste coronanieuws van woensdag 15 april.",
