,titles,descriptions,links
0,Vergaderen zonder Statenleden,Een vergadering beleggen waarbij niemand op komt dagen. Dat gebeurde vandaag bij Provinciale Staten.,https://www.brabant.nl/actueel/nieuws/provinciale-staten/2020/april/vergaderen-zonder-statenleden
1,Brabant zet kanjers in het licht,Het provinciebestuur toont haar steun aan alle helden die in deze bijzondere tijd een bewonderingswaardige rol spelen.,https://www.brabant.nl/actueel/nieuws/bestuur/2020/brabant-zet-kanjers-in-het-licht
2,Veel duurzame stalconcepten in ontwikkeling in Brabant,Met hulp van de provincie zijn momenteel 51 nieuwe duurzame stalconcepten in ontwikkeling.,https://www.brabant.nl/actueel/nieuws/platteland/2020/veel-duurzame-stalconcepten-in-ontwikkeling-in-brabant
3,Wegwijzer voor veehouders beschikbaar,Wegwijzer voor veehouders geeft een praktisch overzicht van de regelgeving bij de keuzes die veehouders moeten maken.,https://www.brabant.nl/actueel/nieuws/platteland/2020/wegwijzer-voor-veehouders-beschikbaar
4,Vuelta niet in augustus,La Vuelta vindt niet in augustus van dit jaar plaats.,https://www.brabant.nl/actueel/nieuws/bestuur/2020/vuelta-niet-in-augustus
5,Koe in de wei blijft vergunningvrij,Boeren die hun koeien in de wei laten grazen hebben daar geen aparte vergunning voor nodig.,https://www.brabant.nl/actueel/nieuws/aanpak-stikstof/2020/koe-in-de-wei-blijft-vergunningvrij
6,Lancering online leeromgeving 'Brabant Leert',Via het platform 'Brabant Leert' zijn verschillende online cursussen beschikbaar. ,https://www.brabant.nl/actueel/nieuws/economie-en-werk/2020/lancering-online-leeromgeving-brabant-leert
7,Wegwijzer voor veehouders beschikbaar,Wegwijzer voor veehouders geeft een praktisch overzicht van de regelgeving bij de keuzes die veehouders moeten maken.,https://www.brabant.nl/actueel/nieuws/platteland/2020/wegwijzer-voor-veehouders-beschikbaar
8,"Wederom veel Brabantse verkeersdoden: ""Dit is flink schrikken""",Het aantal verkeersdoden in Noord-Brabant is volgens het CBS dit jaar licht gedaald van 150 naar 142. ,https://www.brabant.nl/actueel/nieuws/verkeer-en-vervoer/2020/wederom-veel-brabantse-verkeersdoden
9,Cultuurfonds Noord-Brabant ondersteunt 61 projecten,61 projecten voor cultuur en natuur ontvangen een bedrag van in totaal € 270.000.,https://www.brabant.nl/actueel/nieuws/kunst-cultuur-en-erfgoed/2020/cultuurfonds-noord-brabant-ondersteunt-projecten
