,titles,descriptions,links
0,"Nog drieduizend landgenoten vast in Marokko, ‘Nederland ligt onder op de stapel’","Zo’n drieduizend Nederlanders zitten al weken vast in Marokko, dat de lockdown zaterdag tot 20 mei verlengde. Zangeres Anouk, toeristen, maar ook Marokkaanse Nederlanders die op familiebezoek waren. De gespannen diplomatieke verhouding tussen beide landen staat repatriëring vooralsnog in de weg.",https://www.ad.nl/binnenland/nog-drieduizend-landgenoten-vast-in-marokko-nederland-ligt-onder-op-de-stapel~a9c36a5c/
1,"Een grijnzende vrachtwagen, een lachend stopcontact: zie jij ook overal gezichten in?","Een vrachtwagen die naar je grijnst, een stopcontact dat je toelacht. Soms zie je gezichten waar ze niet zijn. Grafisch vormgever Irene Schampaert verzamelde een boek vol. En psycholoog en tv-presentator Pieter Hulst keek ernaar.",https://www.ad.nl/nlblijftthuis/een-grijnzende-vrachtwagen-een-lachend-stopcontact-zie-jij-ook-overal-gezichten-in~a0879ca1/
2,Herman den Blijker over nieuwe tv-show: ‘Best lastig met die anderhalve meter’,Met z’n allen binnenblijven biedt de mogelijkheid om uitgebreid te koken. Maar wat als je een vitaal beroep uitoefent en helemaal geen tijd hebt? Herman den Blijker verrast in Herman helpt een handje mensen – op verantwoorde afstand – vanuit zijn foodtruck met een lekkere maaltijd.,https://www.ad.nl/koken-en-eten/herman-den-blijker-over-nieuwe-tv-show-best-lastig-met-die-anderhalve-meter~a7890f29/
3,Staat niet in beroep tegen vonnis vliegramp Faro:  eindelijk rust voor slachtoffers doofpotzaak,"De Nederlandse staat heeft geen hoger beroep aangetekend tegen het vonnis waarin de rechtbank in Den Haag oordeelde dat het gedeeltelijk aansprakelijk is voor de vliegramp in het Portugese Faro, eind 1992. Dat bevestigt de advocaat van 27 slachtoffers tegenover deze site. ,,Mijn cliënten krijgen ruim 27 jaar na het drama eindelijk erkenning’’, zegt Veeru Mewa.",https://www.ad.nl/binnenland/staat-niet-in-beroep-tegen-vonnis-vliegramp-faro-eindelijk-rust-voor-slachtoffers-doofpotzaak~afbe8db7/
4,Frank zit in quarantaine: duizendmaal meer emoties dankzij het lange telefoongesprek,Net als veel Nederlanders blijft redacteur Frank Poorthuis thuis. Frank zit in de risicogroep. Verslag van dag 38. Lees alle eerdere afleveringen hier terug.,https://www.ad.nl/binnenland/frank-zit-in-quarantaine-duizendmaal-meer-emoties-dankzij-het-lange-telefoongesprek~a634cd6f/
5,Ambulancepersoneel stuit op ander coronaleed: verwaarloosde en verwarde patiënten,"Nu de ergste piek van ziekenhuisopnames voorbij lijkt, stuit ambulancepersoneel op andere ellende: verwaarlozing en verward gedrag bij niet-coronapatiënten. ,,Ze had al dagen niet gedoucht en goed gegeten.”",https://www.ad.nl/binnenland/ambulancepersoneel-stuit-op-ander-coronaleed-verwaarloosde-en-verwarde-patienten~a3068eec/
6,Vrouw (65) ligt drie maanden dood in haar flatwoning in Den Bosch,"Een 65-jarige vrouw uit Den Bosch heeft drie maanden dood in haar flat gelegen aan de Commissaris de Quaylaan in Den Bosch. De vrouw leefde een erg teruggetrokken leven, had een psychiatrische achtergrond en geen familie. Uiteindelijk trok haar bewindvoerder aan de bel.",https://www.ad.nl/binnenland/vrouw-65-ligt-drie-maanden-dood-in-haar-flatwoning-in-den-bosch~ace2834d/
7,Het nut van spijt: een ezel stoot zich geen twee keer aan dezelfde steen,Spijtmomenten kennen we allemaal. En we weten ook dat het vaak een pijnlijke emotie is. Maar het gevoel van spijt kan ook uiterst nuttig zijn.,https://www.ad.nl/wetenschap/het-nut-van-spijt-een-ezel-stoot-zich-geen-twee-keer-aan-dezelfde-steen~aaa4a92a/
8,Familie verkeersslachtoffer Mustafa (17) rouwt in eenzaamheid: ‘Zó pijnlijk!’,"De coronacrisis is voor iedereen zwaar, maar voor de Turkse gemeenschap in Druten is het wel een bijzonder bittere tijd. Want hoe rouw je samen om de dood van een 17-jarige jongen als je elkaar niet mag opzoeken?",https://www.ad.nl/binnenland/familie-verkeersslachtoffer-mustafa-17-rouwt-in-eenzaamheid-zo-pijnlijk~ada3c6e4/
9,Zelf verse kruiden telen: zo doe je dat,"Verse kruiden vind je in de supermarkt, maar kun je natuurlijk ook zelf zaaien. Houd ze binnen tot begin mei, daarna kunnen ze naar buiten.",https://www.ad.nl/nlblijftthuis/zelf-verse-kruiden-telen-zo-doe-je-dat~a62c58349/
10,Man overleden na steekincident in Amsterdam-Zuidoost,Een 53-jarige man uit Ouderkerk aan de Amstel is overleden nadat hij gisteravond was neergestoken in Amsterdam-Zuidoost. Afgelopen nacht is een 48-jarige verdachte uit Hilversum aangehouden.,https://www.ad.nl/binnenland/man-overleden-na-steekincident-in-amsterdam-zuidoost~aabfdf4b/
11,‘Coronabeperkingen lijken op de oorlogstijd’,Voor het eerst sinds 1945 is de vrijheid van Nederlanders om overal te gaan en staan waar we willen serieus ingeperkt. Volgens experts is de vergelijking tussen deze coronaperiode en de Tweede Wereldoorlog helemaal niet zo vergezocht.,https://www.ad.nl/binnenland/coronabeperkingen-lijken-op-de-oorlogstijd~acef1abd/
12,Plofkraak op geldstortautomaat Amsterdam-Noord: twee verdachten vast,"Op het Buikslotermeerplein in Amsterdam-Noord is vannacht een plofkraak gepleegd op een geldstortautomaat van de Rabobank. De automaat raakte zwaar beschadigd, de twee daders gingen er zonder buit vandoor. De politie wist hen in de buurt aan te houden.",https://www.ad.nl/binnenland/plofkraak-op-geldstortautomaat-amsterdam-noord-twee-verdachten-vast~a469e90e/
13,"‘Ik weet niet waarom, maar ik heb altijd gedacht dat er rond mijn 50ste iets ernstigs zou gebeuren’","Annemarie Haverkamp praat met mensen over hun leven en het einde dat nadert. Sanny leidt aan een vorm van ALS. Ze wist één ding zeker: ze wilde absoluut niet alleen zijn. Haar man stopte met werken en ook haar dochters zijn weer thuis. ‘In principe kan ik alles nog, alleen word ik wel steeds benauwder.’",https://www.ad.nl/binnenland/ik-weet-niet-waarom-maar-ik-heb-altijd-gedacht-dat-er-rond-mijn-50ste-iets-ernstigs-zou-gebeuren~a15e5fe1/
14,Lachgasrijder (19) vast voor poging doodslag na inrijden op politieauto,"Een 19-jarige man uit Gennep zit vast op verdenking van poging tot doodslag voor het inrijden op een politieauto op de A73 bij Boxmeer. De man was bovendien onder de invloed van lachgas, zo meldt de politie.",https://www.ad.nl/binnenland/lachgasrijder-19-vast-voor-poging-doodslag-na-inrijden-op-politieauto~ae5bbebc/
15,Arrestatieteam overmeestert bewapende jongeren in bos Noordoostpolder,"In het Kuinderbos bij Kuinre heeft een arrestatieteam vrijdagavond vier twintigers overmeesterd. Het viertal, drie jongemannen en een minderjarig meisje uit de gemeente De Friese Meren, kreeg alvast een boete voor samenscholing zonder de afstandsregel in acht te nemen, meldt de Leeuwarder Courant.",https://www.ad.nl/binnenland/arrestatieteam-overmeestert-bewapende-jongeren-in-bos-noordoostpolder~a3b39103/
16,"Jan Cremer: ‘Ik heb in de goot gelegen, ben verguisd, maar heb ook het allerhoogste bereikt’","Wereldberoemd werd Jan Cremer in 1964. Vooral de spetterende seksscènes in Ik, Jan Cremer zorgden voor grote opschudding. Inmiddels is het 56 jaar later, en de kunstenaar wordt morgen 80. Een gesprek over zijn werk van nu. En een beetje over toen.",https://www.ad.nl/show/jan-cremer-ik-heb-in-de-goot-gelegen-ben-verguisd-maar-heb-ook-het-allerhoogste-bereikt~a2ef8317/
17,Rookoverlast in noorden van Nederland door Duitse natuurbrand,In Drenthe en Groningen kunnen inwoners te maken hebben met rookoverlast. Daarvoor waarschuwt de Meldkamer Noord-Nederland. De rook komt uit Duitsland. Daar is zaterdagmiddag een grote brand uitgebroken in een natuurgebied.,https://www.ad.nl/binnenland/rookoverlast-in-noorden-van-nederland-door-duitse-natuurbrand~ab8135b4/
18,"LIVE | Politie deelt boetes uit in Limburgse Heuvelland, dalende tendens coronadoden in Spanje","Het aantal nieuwe besmettingen en ic-opnames in ons land blijft dalen. Ook het aantal dagelijkse coronadoden lijkt stabiel. De afgelopen 24 uur kwamen er 83 sterfgevallen bij, in totaal zijn er tot nu toe in Nederland 3684 mensen aan de gevolgen van de virusinfectie overleden, onder wie ten minste één tiener. Het ministerie van VWS houdt vandaag voor de tweede dag op rij een zogenoemde appathon om een keuze te maken voor een geschikte corona-app. Aanstaande dinsdag maakt het kabinet bekend of de coronamaatregelen versoepeld kunnen worden na 28 april. Lees het vorige liveblog hier terug.",https://www.ad.nl/binnenland/live-politie-deelt-boetes-uit-in-limburgse-heuvelland-dalende-tendens-coronadoden-in-spanje~af78ff7d/
