,titles,descriptions,links
0,"
                Kun je mondkapjes veilig hergebruiken?
                            ","Corona-update, stel je vraag",https://www.rtlnieuws.nl/nieuws/nederland/artikel/5094226/corona-update-coronavirus-mondkapjes-hergebruiken-rivm
1,"
                Vrouw ligt drie maanden dood in haar woning in Den Bosch
                            ",Gevonden door politie,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5095476/dood-vrouw-woning-psychiatrie-bewindvoerder-den-bosch
2,"
                Bevriend op de covidafdeling, ondanks het grote leeftijdsverschil
                            ",'Vriendin voor het leven',https://www.rtlnieuws.nl/nieuws/nederland/artikel/5094061/coronavirus-covid-afdeling-hagaziekenhuis-goed-nieuws-mooi
3,"
                Sporten in coronatijd: 'Al een keer een riek in mijn rug'
                            ",Tafeltennis in een krappe schuur,https://www.rtlnieuws.nl/nieuws/video/video/5095461/sporten-coronatijd-al-een-keer-een-riek-mijn-rug
4,"
                ""Hij was op, huilde en zei: 'Het gaat niet meer, mijn meisje.'""
                            ",Zij stierven door corona,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5095056/eerbetoon-jan-gijsbers-kessel-eik-corona-covid19-virus-overleden
5,"
                Christina heeft levenslang in de VS, Jan vecht voor haar vrijheid
                            ",Zondaginterview,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5093781/christina-boyer-gevangenis-fotograaf-jan-banning
6,"
                Rookoverlast in Groningen en Drenthe door natuurbrand Duitsland
                            ",Net over de grens,https://www.rtlnieuws.nl/nieuws/artikel/5095286/drenthe-groningen-brand-natuur-duitsland-brandweer-rook-stank-aschendorfer
7,"
                RIVM: 83 nieuwe doden door coronavirus, totaal nu 3684
                            ",Liveblog,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5095281/corona-coronavirus-liveblog-rivm-maatregelen-intelligente-lockdown
8,"
                Mondkapjeswinkel geopend in Amsterdam: 'Er is geen schaarste'
                            ",9 euro per stuk,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5095161/mondkapjes-mondmaskers-te-koop-amsterdam-winkel-euro-ijssalon
9,"
                Herstellen na ic? Dit ziekenhuis heeft een speciale afdeling
                            ",Revalideren,https://www.rtlnieuws.nl/nieuws/video/video/5095141/herstellen-na-ic-dit-ziekenhuis-heeft-een-speciale-afdeling
10,"
                Alternatieve training: polsstokhoogspringen in eigen tuin
                            ",Trainen tijdens coronacrisis,https://www.rtlnieuws.nl/nieuws/video/video/5095086/polsstokhoogspringen-de-tuin-topsporters-trainen-op-alternatieve
11,"
                Chris werkt als buddy op de ic: 'Alles is anders'
                            ","Coronacrisis, werken in de frontlinie ",https://www.rtlnieuws.nl/nieuws/nederland/artikel/5094276/verpleegkundige-ic-corona-intensive-care-covid-19
