,titles,descriptions,links
0,TSMC deelt eerste details over 3nm-procedé en wil testproductie in 2021 starten,"TSMC heeft voor het eerst details over zijn N3-node gedeeld. In 2021 begint de fabrikant met risk production van 3nm-chips. Meer grootschalige productie volgt in de tweede helft van 2022. Daarnaast verwacht het bedrijf dit jaar een toename van de productie van 5nm-chips.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/00QVjPKDvpc"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166074
1,Blizzard verlengt 'dubbele xp-buff' WoW tot pre-patch Shadowlands-expansion,"Oorspronkelijk zouden World of Warcraft-spelers tot 20 april dubbele xp krijgen als beloning voor het binnenblijven tijdens de coronapandemie. 'Wegens de populariteit van het evenement' wordt deze nu verlengd totdat de pre-patch voor de aankomende Shadowlands-expansion uitkomt.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/u5nUj9oRUyk"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166080
2,Overheidsfunctionarissen in India mogen Zoom niet meer gebruiken,"Het Indiase overheidsorgaan Cyber Coordination Centre heeft een negatief advies gegeven over het gebruik van videobelapp Zoom door overheidsfunctionarissen. Het land voegt zich daarmee in een groeiend rijtje landen en organisaties die Zoom afraden of verbieden.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/BLOcttQGuo8"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166078
3,Paranoid Android op basis van Android 10 komt uit,"Paranoid Android, een van de populairdere custom roms voor Andoid-telefoons, heeft nu meerdere releaseversies op basis van Android 10 beschikbaar. Onder andere OnePlus-telefoons, de Xiaomi Mi 6 en 9 en de Essential Phone zijn compatibel.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/dqBoHDsKNzc"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166070
4,Database van corona-app lekt uit tijdens appathon,"In een van de zeven corona-apps die dit weekend verder worden ontwikkeld is een datalek aangetroffen. RTL Nieuws wist via de code van de app een database te achterhalen met namen, e-mailadressen en versleutelde wachtwoorden. De database was afkomstig van een gekoppelde app.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/QzSAQTfNcdI"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166072
5,Riot Games verhoogt bugbounties voor anticheatsoftware op kernelniveau,"Riot Games poogt critici van zijn nieuwe anticheatsoftware Vanguard gerust te stellen door bugbounties hiervoor te verhogen tot maximaal 100.000 dollar. De anticheat draait op kernelniveau en is altijd actief. De software wordt meegeleverd met zijn nieuwe shooter Valorant.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/aIEj9ipLzw8"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166068
6,OpenVPN 2.4.9,"OpenVPN is een robuuste en gemakkelijk in te stellen opensource-vpn-daemon waarmee verschillende private networks aan elkaar geknoopt kunnen worden door middel van een encrypted tunnel via internet. Voor de beveiliging wordt gebruikgemaakt van de OpenSSL-library, waarmee alle encryptie, authenticatie en certificatie kunnen worden afgehandeld. De ontwikkelaars hebben versie 2.4.9 uitgebracht, met de volgende veranderingen: New features<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/4l97fidfQ70"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51460
7,Asus RT-AC88U 3.0.0.4.385.20457,"Asus heeft nieuwe firmware voor de RT-AC88U beschikbaar gesteld. Deze dualbandrouter kan clients zowel bedraad als draadloos van netwerktoegang voorzien op basis van 802.11ac (Wi-Fi 5) met vier antennes. Verder zijn twee usb-poorten aanwezig, waarvan een 2.0 en een 3.1, zodat een printer of externe opslag over het netwerk kan worden gedeeld. De nieuwe firmware heeft versienummer 3.0.0.4.385.20457 en de download is iets meer dan 38MB groot. In deze uitgave zijn onder meer de problemen met de draadloze verbinding verholpen: ASUS RT-AC88U Firmware version 3.0.0.4.385.20457<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/xDElM2e5FOc"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51462
8,Asus zette tijdelijk afbeeldingen van Intel Z490-moederborden online,"Asus heeft tijdelijk afbeeldingen van twee Z490-moederborden voor Intels aankomende Comet Lake-desktopprocessors gepubliceerd. Het gaat hierbij om de Prime Z490-A en Prime Z490-P. Adviesprijzen en releasedata van de moederborden zijn nog niet bekend.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/w52IQNDxDBk"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166066
9,Gerucht: moederborden met AMD B550-chipset komen 16 juni uit,"Volgens geruchten zullen de eerste B550-moederborden voor AMD-cpu's op 16 juni op de markt verschijnen. AMD zou van plan zijn de chipset op 21 mei te presenteren. De B550-chipset zou onder andere pci-e 4.0 en native usb 3.1 gen 2 ondersteunen.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/OqgLUYX9p-M"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166062
10,The Bat! 9.1.16,"Ritlabs heeft versie 9.1.16 van zijn e-mailprogramma The Bat uitgebracht. Het programma biedt ondersteuning voor verschillende pop3- en imap4-accounts, en heeft een Bayesiaans spamfilter en uitgebreide zoek- en filtermogelijkheden. Verder is er ondersteuning voor pgp, end-to-end encryption en de e-mails kunnen versleuteld op de harde schijf worden opgeslagen. Verder zijn er geen minimumsysteemeisen. Het werkt op de oudste hardware, maar kan ook overweg met de AVX-512-instruction set, die in de Intel's Xeon Phi x200 Knights Landing gevonden kan worden. De changelog voor deze uitgave ziet er als volgt uit: New features<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/OMKoMNhLn_E"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51458
11,SystemRescueCd 6.1.3,"Versie 6.1.3 van SystemRescueCd is uitgekomen. SystemRescueCd is een zelfstartende Linux-omgeving voor het beheren of repareren van een systeem en gegevens na een crash. Het is bedoeld om op een eenvoudige manier admin-taken uit te voeren, zoals het maken en bewerken van de hardeschijfpartities. Het wordt geleverd met diverse programma's zoals GParted, fsarchiver, bestandssysteemtools, editors, Midnight Commander en netwerktools. Het kan worden gebruikt voor zowel Linux- en Windows-computers en vereist geen installatie, maar dit is wel mogelijk. De kernel ondersteunt alle belangrijke bestandssystemen zoals ext3/ext4, xfs, btrfs, reiserfs, jfs, vfat, ntfs, en netwerkbestandssystemen zoals SMB en NFS. In deze uitgave zijn de volgende veranderingen en verbeteringen aangebracht: Changes in version 6.1.3:<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/J9ayevWC-9g"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51456
12,Google begint met tonen van testcentra voor coronavirus in zoekresultaten,"Google heeft locaties voor het doen van een coronavirustest toegevoegd aan zijn zoekresultaten, wat het voor mensen gemakkelijker moet maken om een testcentrum in de buurt te vinden. De nieuwe optie is vooralsnog alleen in de Verenigde Staten beschikbaar.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/9Hk7_OIo9DA"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166064
13,Onderzoekers maken buigbaar zonnepaneel voor smartwatches,"Australische onderzoekers hebben een licht en buigzaam zonnepaneel ontwikkeld dat klein genoeg gemaakt kan worden om voor allerlei wearables te gebruiken. Daarmee zouden onder andere smartwatches via de zon oplaadbaar kunnen worden.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/UAgM4aawcfQ"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166060
14,ExifTool 11.94,"Phil Harvey heeft versie 11.94 van ExifTool uitgebracht. ExifTool is een gratis en cross-platform programma waarmee de metadata van een groot aantal bestanden kan worden beheerd en bewerkt. Het werkt vanaf de commandline, maar er zijn oplossingen van derden beschikbaar, waardoor het ook met een grafische gebruikersinterface kan worden gebuikt. Deze update wordt als ontwikkelversie aangeduid, de laatste stabiele uitgave is versie 11.85. Sinds versie 11.92 zijn de volgende veranderingen en verbeteringen aangebracht: Changes in version 11.94<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/mhn05t24Gyo"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51452
15,Apple brengt definitieve versie van Music-webspeler uit,"Apple is gestopt met het bètaprogramma voor de webspeler van zijn muziekdienst Music. Dat betekent dat de versie voor het web nu definitief is. De webspeler maakt het mogelijk om zonder applicatie van Apple Music gebruik te maken.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/DnMSfh4uAsA"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166058
16,Nederlandse start-up maakt stoeptegel voor draadloos laden e-bikes,"Het Nederlandse bedrijf Tiler komt met een stoeptegel die kan worden gebruikt om draadloos elektrische fietsen op te laden. De start-up heeft een investering ontvangen om het product verder te ontwikkelen en op de markt te brengen.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/RVcXTkY6d00"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166056
17,Xiaomi start verkoop van zijn eerste wifi 6-router,"Xiaomi is begonnen met de verkoop van zijn AX3600-router, de eerste van het merk die ondersteuning biedt voor de wifi 6-standaard. De router biedt ook een manier om automatisch verbinding te maken met internet-of-things-apparaten.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/KhLZ76oUjqw"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166054
18,Radeon Software For Linux 20.10,"AMD heeft een nieuwe versie van zijn Radeon Software voor Linux vrijgegeven. Versie 20.10 is de opvolger van 19.50 en pas de eerste uitgave dit jaar. Ondanks dat het een tijd geleden is sinds de vorige uitgave, is de changelog kort. Zo is er ondersteuning voor de kaarten uit de RX 5600-familie en voor RHEL 7.8 en Ubuntu 18.04.4 LTS, maar helaas niet voor de volgende week verwachte uitgave van Ubuntu 20.04. Radeon Software for Linux 20.10 Highlights<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/lEfF3A1N5o0"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51454
19,Darktable 3.0.2,"Versie 3.0.2 van Darktable is uitgekomen. Darktable is een opensource-raw-fotobewerkings­programma, een virtuele lichtbak en donkere kamer voor fotobewerking. Het beheert digitale negatieven via een database. Het ontwikkelen van de ruwe fotobestanden gebeurt door middel van zogenaamde sidecar files, waarbij de foto's op niet-destructieve wijze worden bewerkt. De software is beschikbaar voor diverse Linux-distributies, macOS en Windows. De belangrijkste veranderingen en verbeteringen zijn hieronder voor je op een rijtje gezet: New Features And Changes<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/B9es5EMQL7g"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51446
20,OpenRCT2 0.2.6,"Versie 0.2.6 van OpenRCT2 uitgekomen, de opensource-versie van RollerCoaster Tycoon 2. Het project probeert zo veel mogelijk op het origineel te lijken, maar is in een moderne taal geschreven wat uitbreidingen en verbeteringen mogelijk maakt. Het is hiermee vergelijkbaar met bijvoorbeeld OpenTTD. Om het te kunnen spelen is het overigens wel noodzakelijk om het originele spel te hebben, want het heeft onder meer geluidsbestanden en de afbeeldingen nodig. De changelog voor deze uitgave laat de volgende veranderingen en verbeteringen zien: New features:<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/2z1xi4Z6_ec"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51448
21,Huawei P40 Pro - Een smartphone is meer dan een camera,"Geen Google-diensten, maar wel prachtige hardware en een zeer interessante camera. Compenseert dat het gebrek aan apps als YouTube, Maps, Agenda en Googles wachtwoordmanager?<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/YxY9LpbiyqE"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/reviews/7786
22,PhpStorm 2020.1,"JetBrains brengt verschillende ontwikkelomgevingen uit, zoals IntelliJ Idea gericht op Java, CLion gericht op C en C++, DataGrip gericht op sql en PhpStorm gericht op php. PhpStorm biedt on-the-fly-errorpreventie, autocompletion, coderefactoring en debugging, en kan ook overweg met html, css, Coffee- en JavaScript. Voor een overzicht van de mogelijkheden verwijzen we naar deze pagina. Voor het gebruik van PhpStorm is wel een licentie nodig. Voor zakelijk en thuisgebruik zul je daarvoor moeten betalen, maar als de software wordt gebruikt voor onderwijs of niet-commerciële opensourceprojecten, is de licentie gratis. JetBrains heeft PhpStorm 2020.1 en uitgebreide informatie daarover is op deze pagina te vinden. Dit is de aankondiging van die versie: PhpStorm 2020.1 is now available!<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/3amICTJW2L0"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51450
23,Mark Rutte: Corona-apps worden niet verplicht,"Het gebruik van corona-apps wordt niet verplicht, zegt premier Mark Rutte. Eerder liet het kabinet de mogelijkheid nog open dat de contact-tracing-apps verplicht konden worden gesteld, maar de minister-president sluit dat nu uit.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/3Ny_ptF8UEw"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166052
