,titles,descriptions,links
0,Tattoo-artiest Dennis 'tattoeÃ«ert' schoenen van zorgmedewerkers,Tattoo-artiest Dennis 'tattoeÃ«ert' schoenen van zorgmedewerkers,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/tattoo-artiest-zorg-schoenen/
1,Omdat je je dit vÃ¡st weleens hebt afgevraagd: hoe kan dubbelvla dubbelvla blijven?,Omdat je je dit vÃ¡st weleens hebt afgevraagd: hoe kan dubbelvla dubbelvla blijven?,https://www.linda.nl/nieuws/binnenland//nieuws/dubbelvla-nrc-antwoord-schudden/
2,Inge haalde haar demente moeder uit het verpleeghuis na de eerste coronabesmetting,Inge haalde haar demente moeder uit het verpleeghuis na de eerste coronabesmetting,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/verpleeghuis-corona-eindhoven-moeder-dement/
3,"Asperges, ze zijn er weer: 5 x recepten waar je van uit je plaat(pizza) gaat","Asperges, ze zijn er weer: 5 x recepten waar je van uit je plaat(pizza) gaat",https://www.linda.nl/nieuws/binnenland//advertorial/asperges-5-x-recepten-maggi/
4,Nationale Opera & Ballet maakt prÃ¡chtige dansclip in uitgestorven Amsterdam,Nationale Opera & Ballet maakt prÃ¡chtige dansclip in uitgestorven Amsterdam,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/kunst-in-coronatijd-nationale-opera-en-ballet-dansclip-amsterdam/
5,KLM ziet af van hogere bonus voor directeur,KLM ziet af van hogere bonus voor directeur,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/klm-hogere-bonus-directeur/
6,In blijde verwachting: Blijdorp krijgt zeldzame zwarte neushoornbaby,In blijde verwachting: Blijdorp krijgt zeldzame zwarte neushoornbaby,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/blijde-verwachting-blijdorp-krijgt-neushoornbaby/
7,Van samen koken tot samen quizzen: 3 x tips om op afstand lÃ©kker bezig te blijven,Van samen koken tot samen quizzen: 3 x tips om op afstand lÃ©kker bezig te blijven,https://www.linda.nl/nieuws/binnenland//advertorial/tips-samen-dingen-doen-afstand/
8,Ouders verdeeld over wegwerken leerachterstanden in schoolvakanties,Ouders verdeeld over wegwerken leerachterstanden in schoolvakanties,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/ouders-verdeeld-wegwerken-leerachterstanden-schoolvakanties/
9,Verkeerd gegokt: politie maakt einde aan illegaal pokertoernooi in Zaandam,Verkeerd gegokt: politie maakt einde aan illegaal pokertoernooi in Zaandam,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/politie-illegaal-pokertoernooi-zaandam/
10,Seyfullah (23) ontwikkelt app tegen verkeerd medicijngebruik,Seyfullah (23) ontwikkelt app tegen verkeerd medicijngebruik,https://www.linda.nl/nieuws/binnenland//nieuws/interview/verkeerd-medicijngebruik-app-medicinx/
11,Hoogste tijd om goed voor jezelf te zorgen? Pak dat geluksmoment met Goodiebox,Hoogste tijd om goed voor jezelf te zorgen? Pak dat geluksmoment met Goodiebox,https://www.linda.nl/nieuws/binnenland//advertorial/cadeautje-voor-jezelf-trakteer-een-goodiebox/
12,Het 'Irma-effect': opleiding tot gebarentolk verwacht meer aanmeldingen,Het 'Irma-effect': opleiding tot gebarentolk verwacht meer aanmeldingen,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/gebarentolk-opleiding-irma-effect/
13,Eigen bijdrage kinderopvang wordt uiterlijk in juli vergoed,Eigen bijdrage kinderopvang wordt uiterlijk in juli vergoed,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/kinderopvang-eigen-bijdrage-compensatie/
14,Burgemeesters willen verbod evenementen verlengen tot minimaal 1 september,Burgemeesters willen verbod evenementen verlengen tot minimaal 1 september,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/verbod-evenementen-burgemeesters-maatregelen/
15,Meer zelfverminking en agressie in zorginstellingen door coronastress,Meer zelfverminking en agressie in zorginstellingen door coronastress,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/zelfverminking-agressie-zorginstellingen-coronastress/
16,Mensen met beperking voelen zich veel vaker eenzaam,Mensen met beperking voelen zich veel vaker eenzaam,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/mensen-met-beperking-eenzaam/
