,titles,descriptions,links
0,"Nog drieduizend landgenoten vast in Marokko, ‘Nederland ligt onder op de stapel’","Zo’n drieduizend Nederlanders zitten al weken vast in Marokko, dat de lockdown zaterdag tot 20 mei verlengde. Zangeres Anouk, toeristen, maar ook Marokkaanse Nederlanders die op familiebezoek waren. De gespannen diplomatieke verhouding tussen beide landen staat repatriëring vooralsnog in de weg.",
1,Staat niet in beroep tegen vonnis vliegramp Faro:  eindelijk rust voor slachtoffers doofpotzaak,"De Nederlandse staat heeft geen hoger beroep aangetekend tegen het vonnis waarin de rechtbank in Den Haag oordeelde dat het gedeeltelijk aansprakelijk is voor de vliegramp in het Portugese Faro, eind 1992. Dat bevestigt de advocaat van 27 slachtoffers tegenover deze site. ,,Mijn cliënten krijgen ruim 27 jaar na het drama eindelijk erkenning’’, zegt Veeru Mewa.",
2,Frank zit in quarantaine: duizendmaal meer emoties dankzij het lange telefoongesprek,Net als veel Nederlanders blijft redacteur Frank Poorthuis thuis. Frank zit in de risicogroep. Verslag van dag 38. Lees alle eerdere afleveringen hier terug.,
3,"RIVM: 83 sterfgevallen in de afgelopen 24 uur, 110 nieuwe ziekenhuisopnames","Het aantal meldingen van personen die als gevolg van het coronavirus zijn overleden is de afgelopen 24 uur gestegen met 83. Ten opzichte van 142 coronadoden gisteren, is dat een flinke daling. Het officiële dodenaantal in ons land komt daarmee op 3.684.",
4,Ambulancepersoneel stuit op ander coronaleed: verwaarloosde en verwarde patiënten,"Nu de ergste piek van ziekenhuisopnames voorbij lijkt, stuit ambulancepersoneel op andere ellende: verwaarlozing en verward gedrag bij niet-coronapatiënten. ,,Ze had al dagen niet gedoucht en goed gegeten.”",
5,Man overleden na steekincident in Amsterdam-Zuidoost,Een 53-jarige man uit Ouderkerk aan de Amstel is overleden nadat hij gisteravond was neergestoken in Amsterdam-Zuidoost. Afgelopen nacht is een 48-jarige verdachte uit Hilversum aangehouden.,
6,‘Coronabeperkingen lijken op de oorlogstijd’,Voor het eerst sinds 1945 is de vrijheid van Nederlanders om overal te gaan en staan waar we willen serieus ingeperkt. Volgens experts is de vergelijking tussen deze coronaperiode en de Tweede Wereldoorlog helemaal niet zo vergezocht.,
7,Dodental Heerde loopt op tot 47: ‘We betalen een hoge tol voor de hechte gemeenschap die we zijn’,"Het dodental in de gemeente Heerde loopt in rap tempo op, volgens de laatste schattingen zijn inmiddels 47 mensen aan corona overleden.",
8,Plofkraak op geldstortautomaat Amsterdam-Noord: twee verdachten vast,"Op het Buikslotermeerplein in Amsterdam-Noord is vannacht een plofkraak gepleegd op een geldstortautomaat van de Rabobank. De automaat raakte zwaar beschadigd, de twee daders gingen er zonder buit vandoor. De politie wist hen in de buurt aan te houden.",
9,"‘Ik weet niet waarom, maar ik heb altijd gedacht dat er rond mijn 50ste iets ernstigs zou gebeuren’","Annemarie Haverkamp praat met mensen over hun leven en het einde dat nadert. Sanny leidt aan een vorm van ALS. Ze wist één ding zeker: ze wilde absoluut niet alleen zijn. Haar man stopte met werken en ook haar dochters zijn weer thuis. ‘In principe kan ik alles nog, alleen word ik wel steeds benauwder.’",
10,Arrestatieteam overmeestert bewapende jongeren in bos Noordoostpolder,"In het Kuinderbos bij Kuinre heeft een arrestatieteam vrijdagavond vier twintigers overmeesterd. Het viertal, drie jongemannen en een minderjarig meisje uit de gemeente De Friese Meren, kreeg alvast een boete voor samenscholing zonder de afstandsregel in acht te nemen, meldt de Leeuwarder Courant.",
11,Rookoverlast in noorden van Nederland door Duitse natuurbrand,In Drenthe en Groningen kunnen inwoners te maken hebben met rookoverlast. Daarvoor waarschuwt de Meldkamer Noord-Nederland. De rook komt uit Duitsland. Daar is zaterdagmiddag een grote brand uitgebroken in een natuurgebied.,
12,"LIVE | Politie deelt boetes uit in Limburgse Heuvelland, dalende tendens coronadoden in Spanje","Het aantal nieuwe besmettingen en ic-opnames in ons land blijft dalen. Ook het aantal dagelijkse coronadoden lijkt stabiel. De afgelopen 24 uur kwamen er 83 sterfgevallen bij, in totaal zijn er tot nu toe in Nederland 3684 mensen aan de gevolgen van de virusinfectie overleden, onder wie ten minste één tiener. Het ministerie van VWS houdt vandaag voor de tweede dag op rij een zogenoemde appathon om een keuze te maken voor een geschikte corona-app. Aanstaande dinsdag maakt het kabinet bekend of de coronamaatregelen versoepeld kunnen worden na 28 april. Lees het vorige liveblog hier terug.",
13,Rosenmöller: school tijdens zomer alleen voor kwetsbare groepen,"Paul Rosenmöller is er geen voorstander van de zomervakantie in te korten en in die periode lessen in te halen die leerlingen nu missen vanwege het coronavirus. Die periode kan wel worden gebruikt voor de meest kwetsbare groep, leerlingen met een grote achterstand. Dat zei de voorzitter van de VO-raad, die schoolbesturen in het voortgezet onderwijs vertegenwoordigt, in het televisieprogramma Kassa.",
14,Ophef na opening mondkapjeswinkel in Amsterdam: ‘Cash only’,"De opening van een mondkapjeswinkel in het centrum van Amsterdam levert veel kritiek op. Bij de winkel kan alleen met contant geld worden betaald, zo staat geschreven op een bord voor het pand. GroenLinks gaat het college van de hoofdstad vragen om na te gaan of er ingegrepen kan worden, zo meldt AT5. Ook op Twitter regent het negatieve reacties over de verdienformule.",
15,Urenlang in gesprek met een Whatsapp-oplichter: ‘Mijn digitale zoon kreeg steeds meer stress’,Elke week probeert het team van Omdenken ons op een andere manier naar ongemakkelijke situaties in het dagelijks leven te laten kijken.,
16,"Eindelijk een oplossing voor thuiszitter Tobias, die op geen enkele school paste","Een tafel vol professionals, een rugzak vol indicaties en een kind van 8 jaar oud dat niet meer wil leven. Hoe Tobias uit Nederweert een van de vele thuiszittende kinderen werd en hoe een organisatie licht aan de horizon bracht.",
17,Het coronanieuws van zaterdag 18 april: bijlezen in één minuut,De stroom aan nieuwsberichten over het coronavirus is amper bij te benen. In dit artikel brengen we het belangrijkste nieuws van vandaag in een kort overzicht.,
18,"De kinderen van mijn ex willen niets meer met mij te maken hebben, wat te doen?","Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.",
19,‘Meer wantrouwen en scepsis in digitale wereld’,"Hopelijk zijn we over twee jaar coronavrij. Maar hoe ziet ons leven er dan uit op straat, werk, school en tijdens het uitgaan? We vroegen het aan zeven deskundigen. Marietje Schaake: ‘We zijn teruggeworpen op intensieve communicatie via internet. Dat heeft ook zo zijn schaduwkanten’.",
20,‘Personeel in zorg moet meedoen aan beleidstafel’,"Hopelijk zijn we over twee jaar coronavrij. Maar hoe ziet ons leven er dan uit op straat, werk, school en tijdens het uitgaan? We vroegen het aan zeven deskundigen: Het personeel in de zorg moet in de toekomst niet alleen uitvoeren, maar ook meedenken en meepraten, vindt Bianca Buurman. Ze vindt dit hét moment om vragen te stellen. Wat hebben andere deskundigen te zeggen over 2022? Je leest het hier",
21,‘Sociale crisis en nieuwe groep kwetsbaren’,"Hopelijk zijn we over twee jaar coronavrij. Maar hoe ziet ons leven er dan uit op straat, werk, school en tijdens het uitgaan? We vroegen het aan zeven deskundigen. Weeffouten in de arbeidsmarkt en een nieuwe groep kwetsbaren schreeuwen om visie, zegt SCP-directeur Kim Putters. Wat hebben andere deskundigen te zeggen over 2022? Je leest het hier",
22,‘Elektrische fiets rukt op in forensisch verkeer’,"Hopelijk zijn we over twee jaar coronavrij. Maar hoe ziet ons leven er dan uit op straat, werk, school en tijdens het uitgaan? We vroegen het aan zeven deskundigen. Er komt meer ruimte in vliegtuigen en touringcars, maar daar gaan we wel voor betalen, zegt professor Joseph Evers. Wat hebben andere deskundigen te zeggen over 2022? Je leest het hier",
23,"‘We waren ook wel doorgeschoten, zaten soms érg dicht op elkaar’","Hopelijk zijn we over twee jaar coronavrij. Maar hoe ziet ons leven er dan uit op straat, werk, school en tijdens het uitgaan? We vroegen het aan zeven deskundigen.  We krijgen nieuwe regels bij festivals en in stadions. En de drie zoenen staan ook onder druk, zegt sociaal psycholoog Paul van Lange. Wat hebben andere deskundigen te zeggen over 2022? Je leest het hier.",
24,‘Thuiswerken is een blijvertje’,"Hopelijk zijn we over twee jaar coronavrij. Maar hoe ziet ons leven er dan uit op straat, werk, school en tijdens het uitgaan? We vroegen het aan zeven deskundigen. ‘In 2022 maken we zelf beademingsapparaten en werken we vaker thuis.’ SER-voorzitter Mariëtte Hamer hecht aan solidariteit. Wat hebben andere deskundigen te zeggen over 2022? Je leest het hier.",
25,‘Geen hoorcolleges meer voor 400 man’,"Hopelijk zijn we over twee jaar coronavrij. Maar hoe ziet ons leven er dan uit op straat, werk, school en tijdens het uitgaan? We vroegen het aan zeven deskundigen. Nederland krijgt les via internet. En we bekijken het nut van centraal toetsen. Maar het basisonderwijs blijft in het lokaal, denkt Rob Martens, hoogleraar onderwijswetenschappen. Wat hebben andere deskundigen te zeggen over 2022? Je leest het hier.",
26,"Zo ziet Nederland eruit in 2022, volgens zeven deskundigen","Hopelijk zijn we over twee jaar coronavrij. Maar hoe ziet ons leven er dan uit op straat, werk, school en tijdens het uitgaan? We vroegen het aan zeven deskundigen.",
27,Opgewonden vogelaars: Johnny spot zeldzame havikarend in Zeeland,"Vogelaar Johnny du Burck uit Oostburg wist even niet wat hij zag. Tijdens veldwerk bij Sint-Kruis, in het onderste puntje van Zeeland, spotte hij een havikarend; een roofvogel die in Nederland slechts drie keer eerder is waargenomen.",
28,Spectaculaire beelden van aanhouding verdachten Tubbergse ramkraak,"Met getrokken wapen staan ze voor de loods, de politiemannen van het arrestatieteam dat vanmorgen een loods aan de Sibculoseweg in Westerhaar-Vriezenveensewijk binnenviel. Daar werden vijf personen gearresteerd die worden verdacht van de ramkraak eerder vandaag bij een juwelier uit Tubbergen.",
