,titles,descriptions,links,site_name
0,Blokhuis: ’Nu is het tijd om te vieren dat we in vrijheid leven’,„Nu is het tijd om te vieren dat wij in vrijheid leven. Alleen in vrijheid kan dit vuur branden.” Dat heeft staatssecretaris Paul Blokhuis (Welzijn) in Wageningen gezegd bij het aansteken van het Vrijheidsvuur op het 5 Mei Plein in Wageningen. Op dezelfde tijd is in dertien andere Nederlandse steden...,https://www.telegraaf.nl/nieuws/463053933/blokhuis-nu-is-het-tijd-om-te-vieren-dat-we-in-vrijheid-leven,www.telegraaf.nl
1,Telegraaf begint actie: Groet aan onze Zorghelden,Telegraaf begint actie: Groet aan onze Zorghelden,https://www.telegraaf.nl/nieuws/1427534434/telegraaf-begint-actie-groet-aan-onze-zorghelden,www.telegraaf.nl
2,Kransleggers: 'Waren hier niet voor koning en koningin',Kransleggers: 'Waren hier niet voor koning en koningin',https://www.telegraaf.nl/video/1880682614/kransleggers-waren-hier-niet-voor-koning-en-koningin,www.telegraaf.nl
3,Terrassen mogelijk op 1 juni weer open,"Het kabinet praat over heropening van kapperszaken en wil ook andere contactberoepen op korte termijn weer mogelijk maken. In de coronacrisis staan die beroepen ’als eerste in de rij’ om weer uitgeoefend te kunnen worden, melden ingewijden aan De Telegraaf.",https://www.telegraaf.nl/nieuws/963608661/terrassen-mogelijk-op-1-juni-weer-open,www.telegraaf.nl
4,Familie Jules Schelvis verrast door toespraak koning,De familie van Jules Schelvis die tijdens de Dodenherdenking door koning Willem-Alexander werd geciteerd in diens toespraak was blij verrast en geroerd wegens dit „prachtig eerbetoon.”,https://www.telegraaf.nl/nieuws/1723758188/familie-jules-schelvis-verrast-door-toespraak-koning,www.telegraaf.nl
5,Johan haalt uit naar Sylvie: 'Heel eng meisje geworden',In het programma Veronica Inside hebben de heren geen goed woord over voor Sylvie Meis.,https://www.telegraaf.nl/video/1541928185/johan-haalt-uit-naar-sylvie-heel-eng-meisje-geworden,www.telegraaf.nl
6,Brandweer rukt zeven keer uit voor onbekende stank in Honselersdijk,Brandweer rukt zeven keer uit voor onbekende stank in Honselersdijk,https://www.telegraaf.nl/nieuws/1869526644/brandweer-rukt-zeven-keer-uit-voor-onbekende-stank-in-honselersdijk,www.telegraaf.nl
7,Arts: ’Hamsterwoede was niet mijn intentie’,Drogisterijen signaleren een stormloop op capsules met resveratrol. Consumenten slaan het voedingssupplement massaal in nadat een Groningse arts vrijdagavond in het tv-programma Jinek stelde dat het mogelijk helpt tegen het corona-virus.,https://www.telegraaf.nl/nieuws/245408007/arts-hamsterwoede-was-niet-mijn-intentie,www.telegraaf.nl
8,Nederland speelt taptoe mee bij dodenherdenking,Op veel plekken in Nederland werd de taptoe meegespeeld bij de Nationale Dodenherdenking.,https://www.telegraaf.nl/video/1402815902/nederland-speelt-taptoe-mee-bij-dodenherdenking,www.telegraaf.nl
9,Een aanhouding rond ’waardige herdenking’ op de Dam,"De Nationale Herdenking op de Dam in Amsterdam is maandagavond „waardig, veilig en ongestoord” verlopen. Dat meldt de politie. Wel werd rond 20.15 uur een man aangehouden in de omgeving van de Dam voor het verstoren van de openbare orde. Wat hij precies heeft gedaan, is niet bekendgemaakt.",https://www.telegraaf.nl/nieuws/2137818476/een-aanhouding-rond-waardige-herdenking-op-de-dam,www.telegraaf.nl
10,"Koning wil niet wegkijken, ook niet van rol eigen familie","„Niet wegkijken. Niet goedpraten. Niet uitwissen”, zei koning Willem-Alexander op de Dam in Amsterdam. Tijdens de dodenherdenking in de muisstille hoofdstad sprak hij maandagavond een beklemmende leegte toe.",https://www.telegraaf.nl/nieuws/1149335955/koning-wil-niet-wegkijken-ook-niet-van-rol-eigen-familie,www.telegraaf.nl
11,Nederland speelt massaal de taptoe tijdens dodenherdenking,"Veel Nederlanders hebben maandag twee minuten voor acht de taptoe gespeeld. Dit gebeurde op dwarsfluit, trompet en schuiftrombone vanuit de voortuin of vanaf het balkon.",https://www.telegraaf.nl/nieuws/2055198277/nederland-speelt-massaal-de-taptoe-tijdens-dodenherdenking,www.telegraaf.nl
