,titles,descriptions,links,site_name
0,"
                Kabinet overweegt terrassen te openen op 1 juni
                            ",Voorstel ligt op tafel,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5111816/kabinet-overweegt-terrassen-te-openen-op-1-juni,www.rtlnieuws.nl
1,"
                Familie Jules Schelvis verrast door toespraak koning
                            ",Historische toespraak,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5111796/familie-jules-schelvis-verrast-door-toespraak-koning,www.rtlnieuws.nl
2,"
                Koning kritisch over rol Wilhelmina in indrukwekkende speech
                            ",'Elk woord was raak',https://www.rtlnieuws.nl/nieuws/nederland/artikel/5111756/koning-open-rol-wilhelmina-indrukkwekkende-speech,www.rtlnieuws.nl
3,"
                FunX stopt per direct met ramadanshow na doodsbedreigingen
                            ",Dj Morad El Ouakili ,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5111726/funx-stopt-direct-met-het-uitzenden-programma-ramadan-late-night,www.rtlnieuws.nl
4,"
                Koning: 'Alleen rechtsstaat biedt bescherming tegen waanzin'
                            ",Historische Dodenherdenking,https://www.rtlnieuws.nl/nieuws/video/video/5111696/koning-spreekt-op-lege-dam-de-oorlog-zit-nog-steeds-ons,www.rtlnieuws.nl
5,"
                Lees hier de historische toespraak van de koning terug
                            ",Vanwege 75 jaar bevrijding,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5111671/lees-hier-de-historische-toespraak-van-de-koning-terug,www.rtlnieuws.nl
6,"
                Kijk mee naar de dodenherdenking op de Waalsdorpervlakte
                            ",Nederland,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5111671/lees-hier-de-historische-toespraak-van-de-koning-terug,www.rtlnieuws.nl
7,"
                Coronacrisis nekslag voor Vapiano: faillissement uitgesproken
                            ",Elf vestigingen,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5111586/nederlandse-restaurantketen-vapiano,www.rtlnieuws.nl
8,"
                'We wisten nooit waar mijn oom gebleven was, tot dat bezoek'
                            ",Gefusilleerd in de oorlog,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5111286/dodenherdenking-4-mei-tweede-wereldoorlog-waalsdorpervlakte-verzet,www.rtlnieuws.nl
9,"
                Wél samen sporten, niet samen naar school: waarom is dat?
                            ","Corona-update, stel je vraag",https://www.rtlnieuws.nl/nieuws/artikel/5111246/coronavraag-update-iedereen-naar-school-wel-samen-sporten-waarom,www.rtlnieuws.nl
10,"
                KLM stelt mondkapjes verplicht per 11 mei
                            ",Weer meer vluchten,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5111401/klm-stelt-gebruik-mondkapjes-aan-boord-verplicht-11-mei,www.rtlnieuws.nl
11,"
                Run op resveratrol: is dit hét middel tegen corona?
                            ",Voedingssupplement,https://www.rtlnieuws.nl/editienl/artikel/5111221/run-op-resveratrol-coronavirus-voedingssupplement-dit-het-middel-tegen,www.rtlnieuws.nl
