,titles,descriptions,links,site_name
0,"Nog eens 3,8 miljoen euro voor laptops en tablets voor arme kinderen","Nog eens 3,8 miljoen euro voor laptops en tablets voor arme kinderen",https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/laptops-tablets-thuisonderwijs-kinderen/,www.linda.nl
1,75e Nationale Dodenherdenking in beeld: 'historisch' en 'indrukwekkend' zonder publiek,75e Nationale Dodenherdenking in beeld: 'historisch' en 'indrukwekkend' zonder publiek,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/75e-nationale-dodenherdenking-in-beeld/,www.linda.nl
2,82-jarige vrouw bestolen van sieraden na 'ramadan-babbeltruc',82-jarige vrouw bestolen van sieraden na 'ramadan-babbeltruc',https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/ramadan-babbeltruc-vrouw-82-gouden-sieraden/,www.linda.nl
3,Marlieke en Aimee (2) maken eiersalade van (o)ma met een geheim ingrediÃ«nt Ã©n asperges,Marlieke en Aimee (2) maken eiersalade van (o)ma met een geheim ingrediÃ«nt Ã©n asperges,https://www.linda.nl/nieuws/binnenland//advertorial/eiersalade-asperges-maggi-aspergesaus/,www.linda.nl
4,Nederlandse restaurants Vapiano failliet verklaard,Nederlandse restaurants Vapiano failliet verklaard,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/vapiano-restaurants-nederland-failliet/,www.linda.nl
5,Groningen opgeschrikt door achtste aardbeving in week tijd,Groningen opgeschrikt door achtste aardbeving in week tijd,https://www.linda.nl/nieuws/binnenland//nieuws/natuurgeweld/siddeburen-aardbeving-groningen/,www.linda.nl
6,Sterke toename van dierenmishandeling tijdens coronacrisis,Sterke toename van dierenmishandeling tijdens coronacrisis,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/toename-dierenmishandeling-coronacrisis/,www.linda.nl
7,Dat zit wel snor: zo houd je je kroost weer een paar uur van de straat,Dat zit wel snor: zo houd je je kroost weer een paar uur van de straat,https://www.linda.nl/nieuws/binnenland//advertorial/the-willoughbys-netflix-knutselen-snor/,www.linda.nl
8,"Volop zon tot zondag, vanaf dan is het weer m(et jas)aandag","Volop zon tot zondag, vanaf dan is het weer m(et jas)aandag",https://www.linda.nl/nieuws/binnenland//nieuws/weer/weerbericht-bevrijdingsdag-moederdag-lente/,www.linda.nl
9,Waarom videovergaderen doodvermoeiend is,Waarom videovergaderen doodvermoeiend is,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/videovergaderen-doodvermoeiend/,www.linda.nl
10,Geen sirenes: luchtalarm deze en komende maand niet getest,Geen sirenes: luchtalarm deze en komende maand niet getest,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/geen-luchtalarm-maandelijks/,www.linda.nl
11,Hulde aan de gekrulde: dit vindt ons testpanel van John Frieda's Dream Curls-lijn,Hulde aan de gekrulde: dit vindt ons testpanel van John Frieda's Dream Curls-lijn,https://www.linda.nl/nieuws/binnenland//advertorial/test-resultaten-john-frieda-dream-curls/,www.linda.nl
12,Politiemol Mark M. gaat na hoger beroep de cel in,Politiemol Mark M. gaat na hoger beroep de cel in,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/politiemol-mark-m-cel-in/,www.linda.nl
13,4 mei anders dan anders dit jaar: koning speecht op lege Dam,4 mei anders dan anders dit jaar: koning speecht op lege Dam,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/4-mei-koning-dam-5-mei-initiatieven/,www.linda.nl
14,Een derde van de leraren vindt opengaan basisscholen niet verantwoord,Een derde van de leraren vindt opengaan basisscholen niet verantwoord,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/opengaan-basisscholen-niet-verantwoord/,www.linda.nl
15,Meldanur (23) maakt voedselpakketten met heel Soest: 'We doen dit met liefde',Meldanur (23) maakt voedselpakketten met heel Soest: 'We doen dit met liefde',https://www.linda.nl/nieuws/binnenland//nieuws/meldanur-soest-voedselpakketten/,www.linda.nl
16,Nieuwe poging dolfijn Zafar uit Amsterdamse haven weg te loodsen,Nieuwe poging dolfijn Zafar uit Amsterdamse haven weg te loodsen,https://www.linda.nl/nieuws/binnenland//nieuws/binnenland/nieuwe-poging-dolfijn-zafar-amsterdamse-haven-zee-tuimelaar/,www.linda.nl
