,titles,descriptions,links,site_name
0,Onderzoek naar kunstmestvrij telen van aardappelen,De provincie Noord-Brabant ondersteunt een onderzoek naar het kunstmestvrij telen van aardappelen. ,https://www.brabant.nl/actueel/nieuws/platteland/2020/onderzoek-naar-kunstmestvrij-telen-van-aardappelen,www.brabant.nl
1,Toespraak commissaris Wim van de Donk: 'We zullen ook deze crisis overwinnen',"De commissaris vraagt aan de vooravond van 4 en 5 mei aandacht voor de vrijheid, de rechtsstaat en democratie.",https://www.brabant.nl/actueel/nieuws/bestuur/2020/toespraak-commissaris-wim-van-de-donk,www.brabant.nl
2,Statendag 8 mei 2020,Op de agenda van de Statendag van 8 mei 2020,https://www.brabant.nl/actueel/nieuws/provinciale-staten/2020/mei/statendag-8-mei-2020,www.brabant.nl
3,Steunmaatregelen corona voor cultuur in Brabant,De provincie ontwikkelt samen met de vijf grote steden een steunpakket voor de regionale culturele infrastructuur.,https://www.brabant.nl/actueel/nieuws/kunst-cultuur-en-erfgoed/2020/steunmaatregelen-corona-voor-cultuur-in-brabant,www.brabant.nl
4,Twee extra steunmaatregelen voor bedrijven,Twee extra steunmaatregelen van start voor kleine bedrijven in Brabant.,https://www.brabant.nl/actueel/nieuws/economie-en-werk/2020/twee-extra-steunmaatregelen-voor-bedrijven,www.brabant.nl
5,Brabant presenteert een nieuwe coalitie,"VVD, Forum voor Democratie, CDA en Lokaal Brabant gaan hun nieuwe coalitieakkoord presenteren.",https://www.brabant.nl/actueel/nieuws/bestuur/2020/brabant-presenteert-een-nieuwe-coalitie,www.brabant.nl
6,Natuurherstel Natte Natuurparel Kromhurken,Doel van het herstelplan voor Kromhurken is om de zeldzame habitattypen te behouden en te stimuleren. ,https://www.brabant.nl/actueel/nieuws/aanpak-stikstof/2020/natuurherstel-natte-natuurparel-kromhurken,www.brabant.nl
7,Provincie wil lening verstrekken aan Enexis,Gedeputeerde Staten willen een lening van € 150 miljoen verstrekken aan regionaal netbeheerder Enexis.,https://www.brabant.nl/actueel/nieuws/bestuur/2020/provincie-wil-lening-verstrekken-aan-enexis,www.brabant.nl
8,La Vuelta start definitief niet in Nederland dit jaar,Organisatie onderzoekt opties voor 2022.,https://www.brabant.nl/actueel/nieuws/bestuur/2020/la-vuelta-start-definitief-niet-in-nederland-dit-jaar,www.brabant.nl
9,Brabant investeert in monumenten en molens,Vouchers voor herbestemming van monumenten en eco-archeologisch onderzoek.,https://www.brabant.nl/actueel/nieuws/kunst-cultuur-en-erfgoed/2020/brabant-investeert-in-monumenten-en-molens,www.brabant.nl
