,titles,descriptions,links,site_name
0, 'Politie ontvangt sinds coronauitbraak meer meldingen van overlast' , 'Politie ontvangt sinds coronauitbraak meer meldingen van overlast' ,https://www.nu.nl/coronavirus/6050386/politie-ontvangt-sinds-coronauitbraak-meer-meldingen-van-overlast.html,www.nu.nl
1, 'Belastingdienst controleerde mensen met dubbele nationaliteit strenger' , 'Belastingdienst controleerde mensen met dubbele nationaliteit strenger' ,https://www.nu.nl/politiek/6050385/belastingdienst-controleerde-mensen-met-dubbele-nationaliteit-strenger.html,www.nu.nl
2," Nederlandse gaswinning daalt, maar verbruik neemt juist toe "," Nederlandse gaswinning daalt, maar verbruik neemt juist toe ",https://www.nu.nl/economie/6050089/nederlandse-gaswinning-daalt-maar-verbruik-neemt-juist-toe.html,www.nu.nl
3, Van Gaal vindt dat KNVB 'belachelijke' beslissingen heeft genomen , Van Gaal vindt dat KNVB 'belachelijke' beslissingen heeft genomen ,https://www.nu.nl/voetbal/6050384/van-gaal-vindt-dat-knvb-belachelijke-beslissingen-heeft-genomen.html,www.nu.nl
4," Dode bij schietpartij in Rotterdam, twee verdachten op de vlucht "," Dode bij schietpartij in Rotterdam, twee verdachten op de vlucht ",https://www.nu.nl/binnenland/6050383/dode-bij-schietpartij-in-rotterdam-twee-verdachten-op-de-vlucht.html,www.nu.nl
5, Russell houdt Leclerc van derde zege af in virtuele Spaanse Grand Prix , Russell houdt Leclerc van derde zege af in virtuele Spaanse Grand Prix ,https://www.nu.nl/formule-1/6050377/russell-houdt-leclerc-van-derde-zege-af-in-virtuele-spaanse-grand-prix.html,www.nu.nl
6," Britten mogen naar het park en buiten sporten, maar moeten 'alert blijven' "," Britten mogen naar het park en buiten sporten, maar moeten 'alert blijven' ",https://www.nu.nl/coronavirus/6050376/britten-mogen-naar-het-park-en-buiten-sporten-maar-moeten-alert-blijven.html,www.nu.nl
7, Amerikaanse soullegende Betty Wright (66) overleden , Amerikaanse soullegende Betty Wright (66) overleden ,https://www.nu.nl/muziek/6050375/amerikaanse-soullegende-betty-wright-66-overleden.html,www.nu.nl
8, Anna van der Breggen gaat stoppen: haar grootste successen tot dusver , Anna van der Breggen gaat stoppen: haar grootste successen tot dusver ,https://www.nu.nl/wielrennen/6050374/anna-van-der-breggen-gaat-stoppen-haar-grootste-successen-tot-dusver.html,www.nu.nl
9, Schuldpraat: 'Na de pilotenopleiding had ik een schuld van 135.000 euro' , Schuldpraat: 'Na de pilotenopleiding had ik een schuld van 135.000 euro' ,https://www.nu.nl/geldzaken/6050370/schuldpraat-na-de-pilotenopleiding-had-ik-een-schuld-van-135000-euro.html,www.nu.nl
10, Nieuwe aanhouding in onderzoek naar autobranden in Arnhem , Nieuwe aanhouding in onderzoek naar autobranden in Arnhem ,https://www.nu.nl/binnenland/6050369/nieuwe-aanhouding-in-onderzoek-naar-autobranden-in-arnhem.html,www.nu.nl
11, Hypotheekverhoging voor een verbouwing: let op deze vijf aandachtspunten , Hypotheekverhoging voor een verbouwing: let op deze vijf aandachtspunten ,https://www.nu.nl/geldzaken/6050003/hypotheekverhoging-voor-een-verbouwing-let-op-deze-vijf-aandachtspunten.html,www.nu.nl
12, Arrestatieteam redt gegijzelde vrouw uit woning in Zutphen , Arrestatieteam redt gegijzelde vrouw uit woning in Zutphen ,https://www.nu.nl/binnenland/6050368/arrestatieteam-redt-gegijzelde-vrouw-uit-woning-in-zutphen.html,www.nu.nl
13, Vuelta-directeur voorziet geen verdere wijzigingen in parcours , Vuelta-directeur voorziet geen verdere wijzigingen in parcours ,https://www.nu.nl/wielrennen/6050366/vuelta-directeur-voorziet-geen-verdere-wijzigingen-in-parcours.html,www.nu.nl
14, Waarom de staatsgreep in Venezuela al voor het begin mislukt was , Waarom de staatsgreep in Venezuela al voor het begin mislukt was ,https://www.nu.nl/buitenland/6050365/waarom-de-staatsgreep-in-venezuela-al-voor-het-begin-mislukt-was.html,www.nu.nl
15, De Graafschap-coach Snoei stuurt mail naar Gudde: 'Ik herken hem niet meer' , De Graafschap-coach Snoei stuurt mail naar Gudde: 'Ik herken hem niet meer' ,https://www.nu.nl/voetbal/6050363/de-graafschap-coach-snoei-stuurt-mail-naar-gudde-ik-herken-hem-niet-meer.html,www.nu.nl
16,Video Grote windhoos waargenomen vlak bij Nederlandse grens ,Video Grote windhoos waargenomen vlak bij Nederlandse grens ,https://www.nu.nl/binnenland/6050359/grote-windhoos-waargenomen-vlak-bij-nederlandse-grens.html,www.nu.nl
17," Weerbericht: Week begint fris met harde windstoten, later weer volop zon "," Weerbericht: Week begint fris met harde windstoten, later weer volop zon ",https://www.nu.nl/binnenland/6050355/weerbericht-week-begint-fris-met-harde-windstoten-later-weer-volop-zon.html,www.nu.nl
18, Dit is wat BN'ers doen tijdens Moederdag , Dit is wat BN'ers doen tijdens Moederdag ,https://www.nu.nl/achterklap/6050354/dit-is-wat-bners-doen-tijdens-moederdag.html,www.nu.nl
19,Achtergrond Zo beveilig je je PayPal-account ,Achtergrond Zo beveilig je je PayPal-account ,https://www.nu.nl/tech/6050339/zo-beveilig-je-je-paypal-account.html,www.nu.nl
