,titles,descriptions,links,site_name
0,Celebrity-kapper Mari van de Ven zet stipt om 00.01 uur de schaar erin,De kapperszaken mogen weer open. Dus is het in de nacht van zondag op maandag om één over twaalf op de Kerkstraat al alle hens aan dek in het Haaratelier van celebrity-kapper Mari van de Ven. Eigenlijk had Van de Ven burgemeester Jack Mikkers graag als eerste in zijn stoel gehad. Maar die is compleet glad geschoren dus dat was ‘hooguit zemen geworden’.,https://www.ad.nl/binnenland/celebrity-kapper-mari-van-de-ven-zet-stipt-om-00-01-uur-de-schaar-erin~acb2fa32/,www.ad.nl
1,‘Belastingdienst erkent: toch sprake van etnisch profileren’,Ruim 11.000 mensen met een dubbele nationaliteit zijn door de Belastingdienst strenger gecontroleerd dan andere Nederlanders. De tweede nationaliteit was een officieel selectiecriterium om te bepalen of er een verhoogde kans was op fraude. De Belastingdienst bevestigt dit na onderzoek van RTL Nieuws en Trouw.,https://www.ad.nl/binnenland/belastingdienst-erkent-toch-sprake-van-etnisch-profileren~a7b2d988/,www.ad.nl
2,"Deze crisis laat ons zien dat mensen snakken naar buiten, naar de natuur",Nynke de Jong schrijft drie keer per week over wat haar bezighoudt.,https://www.ad.nl/binnenland/deze-crisis-laat-ons-zien-dat-mensen-snakken-naar-buiten-naar-de-natuur~abfb03f0/,www.ad.nl
3,Moeders voor Moeders: Tekort aan urine probleem voor vruchtbaarheidsmedicijn,"Sinds de coronacrisis doneren minder zwangeren hun urine aan de organisatie Moeders voor Moeders, die het gebruikt voor het maken van vruchtbaarheidsmedicatie.",https://www.ad.nl/binnenland/moeders-voor-moeders-tekort-aan-urine-probleem-voor-vruchtbaarheidsmedicijn~a8465b3a/,www.ad.nl
4,"Hotel, camping of blokhut: wat mag wel, wat mag niet?","Na de zoveelste week ophokplicht groeit de behoefte aan weekendjes weg - of langer. Maar waarheen? Wat mag en kan wel? Nu, of misschien komende zomer? Een overzicht.",https://www.ad.nl/nlblijftthuis/hotel-camping-of-blokhut-wat-mag-wel-wat-mag-niet~ac297cf4/,www.ad.nl
5,PvdA en SP dreigen Koolmees: geen steun voor tweede noodpakket als boete op ontslag sneuvelt,"Oppositiepartijen PvdA en SP zullen tegen het tweede noodpakket stemmen als bedrijven die met belastinggeld worden gesteund alsnog werknemers mogen ontslaan. Zij verzetten zich tegen minister van Sociale Zaken Wouter Koolmees, die van plan is de huidige ‘boete’ op ontslag te laten vervallen.",https://www.ad.nl/ad-werkt/pvda-en-sp-dreigen-koolmees-geen-steun-voor-tweede-noodpakket-als-boete-op-ontslag-sneuvelt~a83165d2/,www.ad.nl
6,Kitesurfer (28) overleden na ongeluk op strand Noord-Beveland,"Op het strand bij Kamperland (Zeeland) is vanmiddag een 28-jarige kitesurfer uit Den Bosch dodelijk verongelukt. Het slachtoffer werd na het ongeluk gereanimeerd, maar overleed op het strand. De surfer is waarschijnlijk gegrepen door een harde windvlaag en tegen iets op gebotst. De politie gaat uit van een noodlottig ongeval.",https://www.ad.nl/den-bosch/kitesurfer-28-overleden-na-ongeluk-op-strand-noord-beveland~a5a57fc9/,www.ad.nl
7,Moet olifant Buba deze keer écht weg uit het circus?,"Volgende maand loopt de vergunning af die circus Freiwald heeft voor olifant Buba. Hoogste tijd om haar naar een pensioenparadijs voor olifanten te brengen, stellen dierenactivisten. Nee, Buba hoort bij ons, vinden het circus en vrienden van het circus.",https://www.ad.nl/binnenland/moet-olifant-buba-deze-keer-echt-weg-uit-het-circus~afe6796b/,www.ad.nl
8,PO-Raad woedend op Felix Rottenberg: ‘Kritiek op scholen slaat nergens op’,"Basisschoolbesturen hebben geen goed woord over voor de felle kritiek die voorzitter Felix Rottenberg van Branchevereniging Kinderopvang uitte over het gebrek aan samenwerking tussen scholen en bso's. ,,Iedereen werkt zich het snot voor de ogen, krijg je dit. Waanzinnig.’’",https://www.ad.nl/binnenland/po-raad-woedend-op-felix-rottenberg-kritiek-op-scholen-slaat-nergens-op~ad26e356/,www.ad.nl
9,Ik voel de spanning tussen mijn zussen en daarom wil ik niet met ze op pad,"Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.",https://www.ad.nl/binnenland/ik-voel-de-spanning-tussen-mijn-zussen-en-daarom-wil-ik-niet-met-ze-op-pad~a149de4f/,www.ad.nl
