,titles,descriptions,links,site_name
0,Afbeeldingen van ASRock H410-moederborden verschijnen online - update,"Er zijn afbeeldingen van zeven ASRock-moederborden met de Intel H410-chipset opgedoken. Het lijkt hierbij te gaan om zes micro-atx-moederborden en een mini-itx-variant. Releasedata en adviesprijzen van de moederborden zijn nog onbekend.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/2G3bxen0opk"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166982,www.tweakers.nl
1,Text Editor Pro 9.2.0,"Versie 9.2.0 van Text Editor Pro is uitgekomen. Deze gratis en lichtgewichtteksteditor heeft uitgebreide mogelijkheden, die vooral voor softwareontwikkelaars interessant zijn. Zo zijn er syntax-highlighting voor meer dan vijftig script- en programmeertalen, macro's, verticale selectieblokken en kan het bestanden vergelijken. Het programma wordt actief ontwikkeld en met grote regelmaat verschijnen er nieuwe versies met kleine verbeteringen. Sinds versie 9.0.0 zijn de volgende veranderingen en verbeteringen aangebracht: Changes in version 9.2.0:<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/KuFbXHVCuX4"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51676,www.tweakers.nl
2,DRAM Calculator for Ryzen 1.7.1,"DRAM Calculator for Ryzen is een programma dat kan helpen bij het overklokken van een AMD Ryzen-processor. Het geeft aan wat de ideale instellingen zijn van bepaalde geheugenmodules zijn en zou daarmee hogere snelheden en een stabieler systeem mogelijk moeten maken. Ondersteuning is aanwezig voor alle processoren uit de AMD Ryzen Zen-serie van de eerste en tweede generatie. Zojuist is versie 1.7.1 van DRAM Calculator for Ryzen uitgekomen en hierin zijn de volgende veranderingen en verbeteringen aangebracht: Changes in version 1.7.1:<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/MmkyjadEyIU"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51674,www.tweakers.nl
3,Phison Electronics gaat samenwerking aan met Chinese geheugenfabrikant YMTC,"Phison Electronics heeft aangekondigd dat al zijn geheugencontrollers compatibel zijn met de geheugenchips van het Chinese Yangtze Memory Technology Company. De twee bedrijven zijn daarnaast van plan om gezamenlijk opslagproducten te produceren.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/E8YP7z6lCXs"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166978,www.tweakers.nl
4,Microsoft gaat scheurtjes in scherm Surface Laptop 3 gratis repareren,"Microsoft belooft gebruikers van de Surface Laptop 3 dat zij hun scherm gratis kunnen laten repareren als er kleine scheurtjes in zitten. Klanten kunnen contact met het bedrijf opnemen om een reparatie aan te vragen.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/7PWVRlZwX14"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166976,www.tweakers.nl
5,FreshTomato 2020.3,"FreshTomato is een van Tomato afgeleide firmware voor verschillende op ARM of MIPS gebaseerde routers van Asus, D-Link, Huawei, Linksys, Netgear, Tenda en Xiaomi. Het kan gezien worden als de voortzetting van 'Tomato by Shibby' sinds deze ontwikkelaar, Michał Rupental, zijn tijd aan andere projecten wil besteden. De FreshTomato-firmware voegt ten opzichte van de originele firmware van de fabrikant diverse extra opties toe, zoals een realtime-bandbreedtemonitor en uitgebreide instelmogelijkheden. De ontwikkelaars hebben kort geleden FreshTomato 2020.3 uitgebracht en deze is beschikbaar voor routers met een arm- of mips-cpu. FreshTomato-ARM Changelog<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/8t0JCx0j274"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51672,www.tweakers.nl
6,BitKassa gaat stoppen met zijn bitcoin-activiteiten,"BitKassa, een Nederlandse betalingsdienst voor bitcoin, heeft aangegeven dat zij hun dienstverlening zullen staken. Volgens het bedrijf heeft het te maken met eisen van de Nederlandse overheid om inschrijfgeld te betalen.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/HPkxaDdsL80"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166968,www.tweakers.nl
7,WHO brengt applicatie uit voor checken op symptomen coronavirus,"De Wereldgezondheidsorganisatie komt met een applicatie waarmee gebruikers hun symptomen kunnen checken, om er zo achter te komen of zij mogelijk besmet zijn met het coronavirus. De app is voornamelijk bedoeld voor landen die zelf niet de capaciteit hebben een app te ontwikkelen.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/GnwPhnLQmvQ"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166974,www.tweakers.nl
8,Conferenties Black Hat en Def Con worden dit jaar virtueel georganiseerd,"De beveiligingsconferenties Black Hat en Def Con gaan dit jaar niet door in fysieke verschijning. In plaats daarvan wordt een digitale variant georganiseerd. Daarmee volgen de beide conferenties de globale trend van het organiseren van digitale conferenties omwille van het coronavirus.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/J-1xiKBIXwI"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166970,www.tweakers.nl
9,Waymo gaat zelfrijdende auto's weer de weg op sturen,"Waymo gaat weer beginnen met het laten rijden van zijn zelfrijdende auto's, nadat het enige tijd geleden een stop inlaste vanwege de coronacrisis. Volgende week moeten de auto's weer gaan rijden in Phoenix, waarna gestaag wordt opgeschaald.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/OG_WYQersWU"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166972,www.tweakers.nl
10,Debian GNU/Linux 10.4,"Debian is een opensource-besturingssysteem, dat zowel voor desktops als servers gebruikt kan worden en waarbij de nadruk op stabiliteit en veiligheid ligt. Het wordt dan ook als basis voor diverse Linux-distributies gebruikt, waaronder Ubuntu en Linux Mint. Versie 10.x, die als codenaam 'Buster' meegekregen heeft, is een zogenaamde Long Term Support-uitgave en zal de komende vijf jaar van updates worden voorzien. De release notes voor deze update kunnen hieronder worden gevonden. Debian 10.4 buster released<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/5arluKbjr0A"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51670,www.tweakers.nl
11,MSI introduceert twee Z490 Unify-moederborden met volledig zwart ontwerp,"MSI heeft deze week een tweetal Unify Z490-moederborden aangekondigd. Het gaat hierbij om de MEG Z490 en Z490i Unify. De moederborden hebben respectievelijk een atx- en mini-itx-formfactor. Beide modellen zijn volledig zwart en bevatten geen ingebouwde rgb-leds.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/mW-OWlctgB4"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166964,www.tweakers.nl
12,Intel stapt in 2021 volledig over op 144-laags-nand voor ssd's,"Intel zal in 2021 volledig overstappen op 144-laags-nand voor zijn sdd's. Dat meldt het bedrijf in een presentatie. Ook kondigt de chipfabrikant zijn Alder Stream Optane-ssd's aan. Deze maken gebruik van tweede generatie 3D Xpoint-geheugen met vier lagen en ondersteuning voor pci-e 4.0.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/CWE5FUv2_js"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166966,www.tweakers.nl
13,Google brengt applicatie uit om kinderen te leren lezen,"Google heeft Read Along uitgebracht, een applicatie voor basisschoolkinderen. De applicatie is bedoeld om kinderen beter te leren lezen, en is beschikbaar in meerdere talen. Daar zit het Nederlands overigens nog niet bij, al geeft Google aan dat de software nog in ontwikkeling is.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/p9BBV4M-Eok"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166954,www.tweakers.nl
14,Studio van Halo-regisseur brengt Disintegration-shooter in juni uit,"Disintegration, een game van een van de oorspronkelijke makers van Halo, komt op 16 juni uit. De game is dan beschikbaar voor pc en voor consoles. De shooter kwam eerder al uit als bèta, na een aankondiging vorig jaar.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/ShQJXAr6ePE"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166960,www.tweakers.nl
15,Samsung werkt met start-up aan betaalkaart voor Samsung Pay,"Samsung is van plan om dit jaar een betaalkaart aan te gaan bieden via zijn betaaldienst Samsung Pay. Volgens het Koreaanse bedrijf moet Samsung Pay voor gebruikers meer worden dan alleen een betaalfunctie, maar wordt het ook een portemonnee om geld mee te beheren.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/O3OV5W0uobk"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166956,www.tweakers.nl
16,NS begint met pilot voor registratiesysteem treinreizen,"De NS is gestart met een pilot om treinreizigers vooraf hun reis te laten registreren, zodat de vervoerder beter de drukte kan inschatten. Een aantal klanten heeft een mail gekregen van de NS om mee te doen aan het testen van het registratiesysteem.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/6V74hs1FMGA"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166958,www.tweakers.nl
17,Zoom sluit overeenkomst met staat New York over beveiligingsbeleid,"Zoom heeft afspraken gemaakt met de openbaar aanklager van de staat New York, waardoor onder meer het onderwijs de videobeldienst weer mag gebruiken. Er is onder meer afgesproken dat Zoom een hoofd beveiliging aanstelt die zorgt dat persoonsgegevens veilig blijven.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/vJu9cyBsP8w"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/166952,www.tweakers.nl
18,Wine 5.8,"Er is met versienummer 5.8 een nieuwe ontwikkelbuild van Wine verschenen. Wine is een opensource-implementatie van de Windows-api en maakt het mogelijk om DOS- en Windows-programma's op Linux, FreeBSD, Solaris en macOS te draaien. Een grote groep ontwikkelaars draagt bij aan Wine en er is voor gekozen om elke twee weken een nieuwe zogeheten ontwikkelversie uit te brengen in plaats van te wachten tot er een aantal nieuwe functies klaar is. Een paar keer per jaar verschijnt er een stabiele uitgave. De database met applicaties die onder Wine werken, al dan niet met behulp van kleine aanpassingen, bevat op het moment van schrijven 27.073 titels. In deze uitgave zijn de volgende veranderingen en verbeteringen aangebracht: What's new in this release:<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/p-LUeTwwxvg"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51668,www.tweakers.nl
19,NVCleanstall 1.6.0,"NVCleanstall is een programma waarmee een aangepaste installatie van Nvidia-videokaartdrivers kan worden gemaakt. Zo kunnen componenten worden verwijderd die je niet nodig hebt of niet wilt hebben, maar die niet in de standaard installatiebestand uitgeschakeld kunnen worden. Het programma kan werken met een driver die reeds geïnstalleerd is, een installatiebestand wat al gedownload is, of het kan een driver naar keuze ophalen van de Nvidia-website. Daarna wordt de driver uitgepakt en worden de gewenste aanpassingen doorgevoerd. Het resultaat is een ongecomprimeerde map met bestanden die welliswaar groter is, maar veel minder installeert. De changelog sinds versie 1.4.0 ziet er als volgt uit: Changes in version 1.6.0:<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/eaeFjd-HVj0"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51666,www.tweakers.nl
20,Mozilla Firefox 76.0.1,"Mozilla heeft een update voor versie 76 van zijn webbrowser Firefox uitgebracht. In versie 76 is onder meer de ingebakken Lockwise password manager verbeterd. Zo laat het zien wanneer websites waarvan wachtwoorden zijn opgeslagen, zijn gehackt en of het wachtwoord van een gehackte website ook ergens anders wordt gebruikt. Verder worden opgeslagen wachtwoorden niet meer getoond zonder dat het Firefox- of Windows-wachtwoord wordt ingegeven. Verder zijn er diverse beveiligingsproblemen verholpen en zijn er enkele verbeteringen aangebracht in de zoekfunctie vanuit de adresbalk. In deze update zijn verder nog de volgende problemen verholpen: Fixed<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/w1Bvx8-s46U"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51664,www.tweakers.nl
21,Smartphone Best Buy Guide - Mei 2020,"Welke telefoon kun je het beste kopen of aanraden? Dat lees je in deze Smartphone Best Buy Guide.<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/G5hNXJHtdTo"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/reviews/7846,www.tweakers.nl
22,Ubiquiti UniFi UAP/USW 4.3.13.11253,"Ubiquiti heeft nieuwe firmware uitgebracht voor zijn wireless producten die in de UAP- en USW-series vallen. Hiermee worden weer verschillende punten aangepakt. Het versienummer is vastgezet op 4.3.13.11253, en voorzien van de volgende aankondiging en lijst met aanpassingen: Features<img src=""http://feeds.feedburner.com/~r/tweakers/mixed/~4/d39Ds499MFc"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51662,www.tweakers.nl
