,titles,descriptions,links,site_name
0,Hudson's Bay: ‘Nederlandse verhuurders vormden verboden kartel’,"Het omvallen van warenhuis Hudson’s Bay is een straatgevecht geworden. Terwijl eigenaren van de vijftien panden nog altijd tevergeefs proberen het Canadese moederbedrijf aan de afspraak te houden om tot 2027 zeker 280 miljoen euro huur door te betalen, betichten de Canadezen de verhuurders van verboden kartelvorming.",,www.parool.nl
1,‘Belastingdienst erkent dat sprake was van etnisch profileren’,Ruim 11.000 mensen met een dubbele nationaliteit zijn door de Belastingdienst strenger gecontroleerd dan andere Nederlanders. De tweede nationaliteit was een officieel selectiecriterium om te bepalen of er een verhoogde kans was op fraude. De Belastingdienst bevestigt dit na onderzoek van RTL Nieuws en Trouw.,,www.parool.nl
2,Öztürk stopt volgend jaar als Kamerlid Denk,Denk-voorzitter Selçuk Öztürk zal zich bij de volgende Tweede Kamerverkiezingen niet opnieuw kandidaat stellen voor de lijst.,,www.parool.nl
3,Roel Maalderink: 'Ik wil niemand voor gek zetten',"Roel Maalderink (1991) is online programmamaker. Voxpop, zijn serie straatinterviews met een twist, is net begonnen aan het vijfde seizoen.",,www.parool.nl
4,Hoe Nederland de kennis voor een coronavaccin uit handen gaf,"Een kansrijk coronavaccin waaraan een Amerikaanse farmaceut werkt, is gebaseerd op Nederlands onderzoek. Die kennis had hier kunnen blijven, maar de overheid bedankte ervoor. Wat rest, is afwachten wanneer het vaccin deze kant op komt.",,www.parool.nl
5,KNMI waarschuwt voor zware windstoten langs de kust,Het KNMI waarschuwt voor een fors toenemende wind zondagmiddag en heeft voor de kustprovincies code geel afgegeven. Die waarschuwing is tot maandagmiddag van kracht.,,www.parool.nl
6,Bedrijven mogen soms toch mensen ‘temperaturen’,"De Autoriteit Persoonsgegevens (AP) heeft een beetje bakzeil gehaald. De privacywaakhond meldde afgelopen week nog in Het Parool dat het temperaturen van kantoorpersoneel volgens de privacyregels niet is toegestaan, nu blijkt er toch een maas in de regels te zitten.",,www.parool.nl
7,Denk stond voor verbinding. Hoe de bom barstte,"Nu fractievoorzitter Azarkan is geroyeerd als lid, is de chaos binnen Denk compleet. De partij stond voor verbinding, maar de drie Kamerleden hadden al langer ruzie, blijkt uit een vertrouwelijk rapport.",,www.parool.nl
8,Nederland heeft er een vulkaan bij,Er is een vulkaan ontdekt in het Nederlandse deel van de Noordzee. De dode vulkaan ligt in een gebied 100 kilometer ten noordwesten van Texel en werd bij toeval ontdekt door de Geologische Dienst Nederland (GDN).,,www.parool.nl
9,Nederland miste kans op snelle toegang tot vaccin,"Nederland heeft een kans gemist op snelle toegang tot een potentieel coronavaccin. Dit zeggen de wetenschappers en ondernemers die hun vaccintechnologie in 2011 verkochten aan de Amerikaanse farmareus Johnson & Johnson, die werkt aan een vaccin dat begin volgend jaar klaar moet zijn.",,www.parool.nl
10,Grootste producent ter wereld: ‘Coronavaccin zal een paar euro kosten’,"Een coronavaccin zal slechts een paar euro kosten, dat zegt Adar Poonawalla, bestuursvoorzitter van het Serum Institute of India. Het bedrijf dat in 2012 het Nederlands Vaccininstituut kocht, is in volume de grootste vaccinproducent ter wereld. Serum staat open voor de productie van Nederlandse coronavaccins.",,www.parool.nl
11,Advocaat Korver: ‘Slachtoffers verworden tot toeschouwers in hun proces’,Vanwege de coronamaatregelen worden ze veelal geweerd uit rechtszalen.,,www.parool.nl
12,"Compensatie voor vuurwerkbranche na
verbod op rotjes en pijlen",De vuurwerkbranche krijgt vanwege het verbod op knalvuurwerk en sierpijlen in elk geval 1500 euro per verkooppunt vergoed voor al ingekochte voorraden. Dat schrijft staatssecretaris Van Veldhoven (Milieu) in een Kamerbrief.,,www.parool.nl
13,‘Theater open voor 30 mensen? Een belediging voor het vak’,Het klinkt mooi: vanaf juni kunnen we weer naar het theater. Reken er niet te veel op. De theaterwereld reageert met onbegrip op de aankondiging van het kabinet. ‘Dit is het domste wat ik in lange tijd gehoord heb.’,,www.parool.nl
14,"Seks voor singles in coronatijd: via webcam, solo of op 1,5 meter afstand","Singles die seks willen hebben in coronatijd, kunnen het best aan webcamseks doen met hun date. Als ze toch af willen spreken, is afstand houden en masturberen in het bijzijn van de ander de beste optie. Dat adviseert Soa Aids Nederland.",,www.parool.nl
15,Op bijna zestig procent van de basisscholen blijven maandag leraren thuis,Gemiddeld drie leraren per basisschool hervatten hun werk voor de klas niet.,,www.parool.nl
16,Op het Catshuis wordt de knoop doorgehakt: we gaan dit doen,"Terwijl premier Rutte vrijdag nog somberde over versoepeling van coronamaatregelen, lag intern al een strategie klaar. Een weekje geen Kamerdebat gaf tijd rustig na te denken.",,www.parool.nl
17,CBS: ‘Bijna helft bedrijven vreest crisis niet te overleven’,Bijna de helft van de Nederlandse bedrijven verwacht dat hun voortbestaan in gevaar komt als de coronacrisis langer dan een half jaar aanhoudt. In het lopende kwartaal zet een meerderheid van de ondernemers zich schrap voor een lagere omzet. Dat gaat bij de meeste ondernemingen waarschijnlijk gepaard met een verlies van banen.,,www.parool.nl
18,Partners mogen weer mee naar consult met de verloskundige,De afgelopen weken was het doorbijten voor veel zwangere vrouwen. De eerste beelden van hun ongeboren kind op de echo moesten zij noodgedwongen alleen bekijken.,,www.parool.nl
19,PBL: Nederland blijft aangewezen op import biomassa,Voor biomassa blijft Nederland aangewezen op import.,,www.parool.nl
