,titles,descriptions,links,site_name
0,LIVE | Eerste kappers al na middernacht open; ‘vicepresident VS werkt uit voorzorg thuis’,"Het aantal coronapatiënten dat op de intensive care ligt, bedraagt 507. Dat zijn er 34 minder dan de dag ervoor. Het officiële dodental door het coronavirus is met 18 gestegen. Het aantal ziekenhuisopnames steeg met 22 tot 11.307. Verder openen enkele kappers in Brabant al vlak na middernacht hun deuren weer en gaat Turkije vanaf begin juni stapsgewijs open voor buitenlandse toeristen. In dit liveblog houden we je op de  hoogte van de laatste ontwikkelingen rondom het coronavirus. De berichten van de afgelopen dagen lees je hier terug.",,www.gelderlander.nl
1,‘Belastingdienst erkent: toch sprake van etnisch profileren’,Ruim 11.000 mensen met een dubbele nationaliteit zijn door de Belastingdienst strenger gecontroleerd dan andere Nederlanders. De tweede nationaliteit was een officieel selectiecriterium om te bepalen of er een verhoogde kans was op fraude. De Belastingdienst bevestigt dit na onderzoek van RTL Nieuws en Trouw.,,www.gelderlander.nl
2,"Deze crisis laat ons zien dat mensen snakken naar buiten, naar de natuur",Nynke de Jong schrijft drie keer per week over wat haar bezighoudt.,,www.gelderlander.nl
3,Moeders voor Moeders: Tekort aan urine probleem voor vruchtbaarheidsmedicijn,"Sinds de coronacrisis doneren minder zwangeren hun urine aan de organisatie Moeders voor Moeders, die het gebruikt voor het maken van vruchtbaarheidsmedicatie.",,www.gelderlander.nl
4,Moet olifant Buba deze keer écht weg uit het circus?,"Volgende maand loopt de vergunning af die circus Freiwald heeft voor olifant Buba. Hoogste tijd om haar naar een pensioenparadijs voor olifanten te brengen, stellen dierenactivisten. Nee, Buba hoort bij ons, vinden het circus en vrienden van het circus.",,www.gelderlander.nl
5,Het coronanieuws van zondag 10 mei: bijlezen in één minuut,De stroom aan nieuwsberichten over het coronavirus is amper bij te benen. In dit artikel brengen we het belangrijkste nieuws van vandaag in een kort overzicht.,,www.gelderlander.nl
6,PO-Raad woedend op Felix Rottenberg: ‘Kritiek op scholen slaat nergens op’,"Basisschoolbesturen hebben geen goed woord over voor de felle kritiek die voorzitter Felix Rottenberg van Branchevereniging Kinderopvang uitte over het gebrek aan samenwerking tussen scholen en bso's. ,,Iedereen werkt zich het snot voor de ogen, krijg je dit. Waanzinnig.’’",,www.gelderlander.nl
7,Ik voel de spanning tussen mijn zussen en daarom wil ik niet met ze op pad,"Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.",,www.gelderlander.nl
8,Vierde arrestatie voor autobranden Arnhem: nieuwe verdachte is 42-jarige vrouw,Een 42-jarige vrouw uit Arnhem is zondagochtend aangehouden voor een reeks autobranden in haar stad. De politie verdenkt haar van betrokkenheid bij brandstichting. Het is al de vierde arrestatie in de zaak. Meer aanhoudingen worden niet uitgesloten.,,www.gelderlander.nl
9,Deze ouders wacht logistieke nachtmerrie nu scholen weer opengaan: ‘Ik sjees van de ene naar de andere’,"Na acht weken thuis buffelen gaan de scholen weer open. Ouders zijn blij, maar zien ook een logistieke puzzel. ‘Het wordt sjezen’.",,www.gelderlander.nl
10,"Daling coronapatiënten op ic zet door, bezetting weer op normale niveau",Het aantal coronapatiënten dat op de intensive care ligt is gedaald met 34 in de afgelopen 24 uur. Er liggen op dit moment nog 507 patiënten met het coronavirus op de intensive cares. Dat blijkt uit de nieuwste cijfers van het Landelijk Coördinatiecentrum Patiënten Spreiding (LCPS) die zondag bekend zijn gemaakt.,,www.gelderlander.nl
11,"RIVM: 18 nieuw gemelde sterfgevallen, flinke daling aantal ziekenhuisopnames","In de afgelopen 24 uur zijn er 18 nieuwe sterfgevallen als gevolg van het coronavirus gemeld bij het RIVM. 22 nieuwe patiënten zijn opgenomen in het ziekenhuis, Het totaal aantal Nederlanders dat is overleden aan het coronavirus komt hiermee op 5440. Sinds het begin van de coronacrisis in Nederland zijn nu 11.307 patiënten opgenomen (geweest) met het virus.",,www.gelderlander.nl
12,Frank zit in quarantaine: ‘Wij kiezen de langzame baan’,Net als veel Nederlanders blijft redacteur Frank Poorthuis thuis. Frank zit in de risicogroep. Verslag van dag 58. Lees de eerdere afleveringen hier terug.,,www.gelderlander.nl
13,Nederland kan vanaf vannacht 00.01 uur eindelijk weer naar de kapper: we zijn de uitgroei en matjes zat!,"Vanaf morgen mogen de kappers eindelijk weer aan de slag. Nederland staat te popelen. Volgens de branchevereniging voor kappers, de ANKO, loopt het storm qua boekingen. We zijn de uitgroei en matjes in onze nek zó zat dat sommige kappers besluiten er vanaf vannacht een over twaalf al de schaar in te zetten.",,www.gelderlander.nl
14,Jongens brengen buit (2 euro) terug na beroving 9-jarig meisje,"Vier jongens (tussen de 13 en 15 jaar) hebben zich bij een wijkagent gemeld nadat ze eerder een 9-jarig meisje uit Fijnaart hadden beroofd. Het meisje verkocht maandag 4 mei zelfgemaakte sieraden vanuit een kraampje. Toen ze even weg was geweest, bleek het geldbakje met de dagopbrengst uit haar ‘winkeltje’ verdwenen. De buit: twee euro.",,www.gelderlander.nl
15,Opnieuw man met mes aangehouden op Schiphol,De Koninklijke Marechaussee heeft zaterdag opnieuw iemand op Schiphol aangehouden vanwege het dragen van een mes. Het is al zeker de zesde keer in korte tijd dat op de luchthaven bij een persoon een mes wordt aangetroffen.,,www.gelderlander.nl
16,"Koen (28) werd beroofd van quad: ‘Toen ik een vuurwapen zag, wist ik dat ik de sjaak was’","Knettergek. Zo noemt Brabander Koen Bouwman (28) de twee mannen die hem onlangs op brute wijze beroofden van zijn quad. Het incident langs het kanaal bij Biest-Houtakker heeft grote impact op zijn leven. ,,Ik slaap slecht. Slachtofferhulp heeft me doorverwezen naar een psycholoog.”",,www.gelderlander.nl
17,Margot (57) is al jaren ongeneeslijk ziek: ‘Ik durfde niet verder te kijken dan paar weken’,"Annemarie Haverkamp praat met mensen over hun leven en het einde dat nadert. Margot Scholte (57) uit Den Dolder kreeg in 2008 borstkanker. Ze leek na een operatie en bestralingen genezen, maar vijf jaar later werd opnieuw kanker vastgesteld met uitzaaiingen naar haar botten en lever.",,www.gelderlander.nl
18,Kinderopvang boos: ‘Bezopen dat scholen niet samenwerken met opvang’,"Branchevereniging Kinderopvang is boos op een groot deel van de basisscholen. Maandag gaan de scholen weer open, maar tussen veel scholen en de kinderopvang is nog niets afgesproken, zei voorzitter Felix Rottenberg in het programma Op1.  Hij noemt het idee van sommige scholen om halve dagen open te gaan ‘een rampenplan’.",,www.gelderlander.nl
19,"Zware windstoten: schade aan vooral bomen, windhoos bij Zundert en ook voor morgen code geel","Zware windstoten hebben vanmiddag en vanavond met name schade aan bomen veroorzaakt. Die zitten net in blad en zijn daardoor kwetsbaar. Het KNMI gaf code geel af voor alle kustprovincies, het Waddengebied en het IJsselmeer en handhaaft die waarschuwing voor morgen.",,www.gelderlander.nl
