,titles,descriptions,links
0,Een drive-thru en kamperen in de tuin: tips om toch het paasgevoel te krijgen ,"Blijf thuis, luidt het advies voor dit paasweekend. Maar hoe kun je er alsnog speciale dagen van maken?",https://www.nos.nl/artikel/2330236-een-drive-thru-en-kamperen-in-de-tuin-tips-om-toch-het-paasgevoel-te-krijgen.html
1,Auto crasht en vliegt in brand na politie-achtervolging in Tilburg,"De auto vloog met hoge snelheid uit de bocht, botste tegen een lantaarnpaal en vloog in brand. ",https://www.nos.nl/artikel/2330229-auto-crasht-en-vliegt-in-brand-na-politie-achtervolging-in-tilburg.html
2,Mannen met doorgeladen vuurwapen hadden geen terreurplannen,"Gisteravond meldde een inzittende van de trein dat iemand een vuurwapen doorlaadde. Waarom de verdachte dat deed, is niet bekend.",https://www.nos.nl/artikel/2330224-mannen-met-doorgeladen-vuurwapen-hadden-geen-terreurplannen.html
3,Wekdienst 12/4: Urbi-et-orbi op leeg plein • Politiecontrole langs de grens,"Nieuws, weer, verkeer: met dit overzicht begin je geïnformeerd aan de dag.",https://www.nos.nl/artikel/2330210-wekdienst-12-4-urbi-et-orbi-op-leeg-plein-politiecontrole-langs-de-grens.html
4,Politie lost waarschuwingsschot in Groningen,Vier mannen werden opgepakt nadat ze er bij een controle vandoor waren gegaan.,https://www.nos.nl/artikel/2330208-politie-lost-waarschuwingsschot-in-groningen.html
5,Virtueel paasvuur op kerk stilgelegd om brandmeldingen,Er kwamen zoveel meldingen binnen over de lichtshow op de Sint-Petrusbasiliek dat de meldkamer van de brandweer overbelast dreigde te raken. ,https://www.nos.nl/artikel/2330199-virtueel-paasvuur-op-kerk-stilgelegd-om-brandmeldingen.html
6,Elizabeth spreekt weer Britten toe • Paus: Pasen biedt hoop,Lees hier al het coronanieuws van zaterdag 11 april.,https://www.nos.nl/liveblog/2330112-elizabeth-spreekt-weer-britten-toe-paus-pasen-biedt-hoop.html
7,Paaswake in bijna lege Sint-Pieter: 'Wees niet bang',In een bijna volledig lege Sint-Pieter sprak de leider van de Rooms-Katholieke Kerk over de hoopvolle boodschap van Pasen.,https://www.nos.nl/artikel/2330196-paaswake-in-bijna-lege-sint-pieter-wees-niet-bang.html
8,Marechaussee haalt mannen met doorgeladen vuurwapen uit trein op Schiphol,"De marechaussee kreeg vanuit de trein een melding via 112 dat ""iemand een vuurwapen doorlaadde"".",https://www.nos.nl/artikel/2330193-marechaussee-haalt-mannen-met-doorgeladen-vuurwapen-uit-trein-op-schiphol.html
9,Voortvluchtige gevangene gepakt na achtervolging door tuinen en woningen,De 32-jarige man knipte afgelopen zomer tijdens een proefverlof zijn enkelband door.,https://www.nos.nl/artikel/2330190-voortvluchtige-gevangene-gepakt-na-achtervolging-door-tuinen-en-woningen.html
