,titles,descriptions,links
0,Artsenfederatie vindt dat artsen niet mogen werken zonder bescherming,"Artsenfederatie KNMG vindt dat artsen en andere hulpverleners die patiënten met het coronavirus behandelen niet mogen werken zonder de juiste beschermingsmiddelen, zo staat vrijdag in een verklaring op hun website.",https://www.nu.nl/binnenland/6044154/artsenfederatie-vindt-dat-artsen-niet-mogen-werken-zonder-bescherming.html
1,Bekijk de coronacijfers van 10 april in vijf grafieken,Het Rijksinstituut voor Volksgezondheid en Milieu (RIVM) publiceert elke dag een overzicht van cijfers over de coronacrisis in Nederland. NU.nl brengt de meeste cijfers die nu (vrijdagavond 10 april) bekend zijn samen in vijf grafieken.,https://www.nu.nl/coronavirus/6044142/bekijk-de-coronacijfers-van-10-april-in-vijf-grafieken.html
2,Weekendweerbericht: Flink temperatuurverschil tussen de twee paasdagen,Het wordt een paasweekend met twee gezichten qua weer. Zaterdag en zondag is het warm met flink wat zon. Maandag daalt de temperatuur zeker tien graden en mag de winterjas zelfs weer uit de kast.,https://www.nu.nl/binnenland/6044107/weekendweerbericht-flink-temperatuurverschil-tussen-de-twee-paasdagen.html
3,"Aantal patiënten op ic daalt, maar het blijft 'onveranderd druk'","Het aantal Nederlandse coronapatiënten op de intensive care is met 33 licht gedaald, zo maakt Ernst Kuipers, voorzitter van het Landelijk Netwerk Acute Zorg (LNAZ), vrijdagmiddag bekend. Toch blijft het met in totaal 1.384 patiënten ""onveranderd druk"" op de intensivecareafdelingen in Nederland.",https://www.nu.nl/coronavirus/6043968/aantal-patienten-op-ic-daalt-maar-het-blijft-onveranderd-druk.html
4,"Zwaargewonden nadat paal auto doorboort, dronken automobilist zit vast","Bij een ongeluk op de A16 nabij het Brabantse Zevenbergschen Hoek zijn in de nacht van donderdag op vrijdag vijf personen gewond geraakt, van wie meerderen er erg slecht aan toe zijn.",https://www.nu.nl/binnenland/6043940/zwaargewonden-nadat-paal-auto-doorboort-dronken-automobilist-zit-vast.html
5,Goed nieuws: Start corona-onderzoeken | Steunpakket voor eurolanden,Ten tijde van de COVID-19-pandemie domineert slecht nieuws vaker dan gebruikelijk de voorpagina van NU.nl. Toch is er ook positief nieuws te melden. Daarom maken wij dagelijks een overzicht van goed nieuws.,https://www.nu.nl/binnenland/6044072/goed-nieuws-start-corona-onderzoeken-steunpakket-voor-eurolanden.html
6,Deze extra maatregelen neemt jouw veiligheidsregio dit paasweekend,Door de goede weersverwachting wordt het ook dit weekend weer spannend: kan Nederland de verleiding weerstaan om massaal naar buiten te gaan? NU.nl geeft een overzicht van de extra coronamaatregelen die de veiligheidsregio's dit paasweekend treffen.,https://www.nu.nl/algemeen/6044012/deze-extra-maatregelen-neemt-jouw-veiligheidsregio-dit-paasweekend.html
7,Erasmus MC geeft update over aantal ic-bedden,Het Erasmus MC in Rotterdam geeft elke werkdag om 16.00 een persconferentie waarin mededelingen worden gedaan over de ontwikkeling rondom het aantal ic-bedden in Nederland.,https://www.nu.nl/algemeen/6044096/erasmus-mc-geeft-update-over-aantal-ic-bedden.html
8,Artsen vrezen: meer mishandelde kinderen blijven onder radar door corona,Sinds het begin van de coronacrisis melden zich steeds minder kinderen op de spoedeisende hulp (SEH). Dit is deels verklaarbaar omdat zij nu niet naar school gaan en niet sporten. Maar ook kinderen in onveilige thuissituaties komen niet meer langs op de SEH.,https://www.nu.nl/coronavirus/6044055/artsen-vrezen-meer-mishandelde-kinderen-blijven-onder-radar-door-corona.html
9,Minder nieuwe coronadoden gemeld (115) dan vorige week vrijdag,"Het aantal nieuwe sterfgevallen als gevolg van het coronavirus is vrijdag met 115 kleiner dan een week eerder (148), zo blijkt uit de dagelijkse COVID-19-update van het Rijksinstituut voor Volksgezondheid en Milieu (RIVM). Het aantal nieuwe ziekenhuisopnames is vrijdag met 225 fors kleiner dan vorige week vrijdag (502).",https://www.nu.nl/coronavirus/6044023/minder-nieuwe-coronadoden-gemeld-115-dan-vorige-week-vrijdag.html
