,titles,descriptions,links
0,Dit weten we tot nu toe: al je vragen en antwoorden over het coronavirus,"Het coronavirus houdt de wereld nu ruim drie maanden in zijn greep. Elke dag komen onderzoekers wereldwijd meer en meer te weten over dit nieuwe virus, waardoor antwoorden op prangende vragen kunnen veranderen. Een nieuw overzicht met de belangrijkste informatie (dit was de stand van zaken op 12 april).",https://www.nu.nl/coronavirus/6044273/dit-weten-we-tot-nu-toe-al-je-vragen-en-antwoorden-over-het-coronavirus.html
1,"Weerbericht: Eerste Paasdag begint met zon, later regen","Eerste Paasdag zondag begint met veel zon en vrij hoge temperaturen, maar gedurende de dag wordt het meer bewolkt en kan er lokaal een bui vallen.",https://www.nu.nl/binnenland/6044309/weerbericht-eerste-paasdag-begint-met-zon-later-regen.html
2,"Minder doden gemeld (132) dan week eerder, veel minder opnames (189)","Het aantal nieuwe sterfgevallen als gevolg van het coronavirus is zaterdag met 132 kleiner dan een week eerder (164), zo blijkt uit de dagelijkse COVID-19-update van het Rijksinstituut voor Volksgezondheid en Milieu (RIVM). Het aantal nieuwe ziekenhuisopnames (189) is veel kleiner dan vorige week zaterdag (336).",https://www.nu.nl/coronavirus/6044211/minder-doden-gemeld-132-dan-week-eerder-veel-minder-opnames-189.html
3,Twee mannen met doorgeladen vuurwapen opgepakt in trein op Schiphol,"De Koninklijke Marechaussee heeft zaterdag een man gearresteerd die met een doorgeladen vuurwapen in zijn bezit met de trein naar Schiphol reisde. Zijn reisgenoot is ook aangehouden, meldt de Marechaussee op Facebook.",https://www.nu.nl/binnenland/6044302/twee-mannen-met-doorgeladen-vuurwapen-opgepakt-in-trein-op-schiphol.html
4,"Rustig in natuurgebieden, veiligheidsregio's bezorgd over jongeren","De veiligheidsregio's zijn ""over het algemeen"" tevreden over hoe de maatregelen tegen het coronavirus zaterdag zijn nageleefd. Ook de natuurgebieden waren rustig. Wel zijn er nog zorgen over sommige jongeren, die nog regelmatig in groepen bijeenkomen.",https://www.nu.nl/binnenland/6044297/rustig-in-natuurgebieden-veiligheidsregios-bezorgd-over-jongeren.html
5,Waarom juist nu steeds meer winkels weer opengaan,"Sinds de maatregelen tegen de verspreiding van het coronavirus van kracht werden, besloten veel winkels vrijwillig hun deuren te sluiten. Een paar weken later zijn de maatregelen nog steeds van kracht. Waarom besluiten steeds meer ketens hun zaken juist nu weer te openen?",https://www.nu.nl/coronavirus/6044286/waarom-juist-nu-steeds-meer-winkels-weer-opengaan.html
6,"Toch te druk in treinen, conducteurs heffen ritten op","Conducteurs hebben zaterdag twee treinen op het traject van Rotterdam naar Amsterdam opgeheven omdat het te druk werd in de treinen, bevestigt een woordvoerder van de NS aan NU.nl na berichtgeving van De Telegraaf.",https://www.nu.nl/coronavirus/6044274/toch-te-druk-in-treinen-conducteurs-heffen-ritten-op.html
7,Droogste lucht ooit gemeten op aprildag in Nederland,In De Bilt is de relatieve luchtvochtigheid zaterdagmiddag gedaald naar slechts 13 procent. Zo laag was volgens Weerplaza de relatieve luchtvochtigheid in april ergens in Nederland nog niet eerder sinds het begin van de metingen in 1901.,https://www.nu.nl/binnenland/6044266/droogste-lucht-ooit-gemeten-op-aprildag-in-nederland.html
8,Vrijwel evenveel coronapatiënten op intensive care als vrijdag: 1.391,"Het aantal Nederlandse coronapatiënten op de intensive care is met zeven licht gestegen, maakt Ernst Kuipers, voorzitter van het Landelijk Netwerk Acute Zorg (LNAZ), zaterdagmiddag bekend. In totaal liggen er 1.391 patiënten op de intensivecareafdelingen in Nederland.",https://www.nu.nl/coronavirus/6044257/vrijwel-evenveel-coronapatienten-op-intensive-care-als-vrijdag-1391.html
9,Bekijk de coronacijfers van 11 april in vijf grafieken,Het Rijksinstituut voor Volksgezondheid en Milieu (RIVM) publiceert elke dag een overzicht van cijfers over de coronacrisis in Nederland. NU.nl brengt de meeste cijfers die nu (zaterdagmiddag 11 april) bekend zijn samen in vijf grafieken.,https://www.nu.nl/coronavirus/6044246/bekijk-de-coronacijfers-van-11-april-in-vijf-grafieken.html
10,Boswachter ziet kentering: 'Mensen houden zich beter aan de regels',"Het niet verboden om in bossen en andere natuurgebieden te wandelen, maar mensen worden nog steeds opgeroepen om zoveel mogelijk thuis te blijven. Waar het eerder nog weleens misging, ziet boswachter Tim Hogenbosch dat mensen zich nu beter aan de coronamaatregelen houden.",https://www.nu.nl/algemeen/6044215/boswachter-ziet-kentering-mensen-houden-zich-beter-aan-de-regels.html
11,'China ontving in februari miljoenen medische hulpmiddelen uit Nederland',"De Nederlandse overheid heeft op 10 februari ondersteuning geboden bij de organisatie van een vlucht die mondkapjes, medische overalls en beademingsmachines naar de Chinese stad Wuhan bracht, blijkt zaterdag uit een reconstructie van de Volkskrant. Dat is opmerkelijk, aangezien de wereldgezondheidsorganisatie (WHO) een paar dagen daarvoor nog waarschuwde voor een dreigend tekort aan medische hulpmiddelen.",https://www.nu.nl/coronavirus/6044195/china-ontving-in-februari-miljoenen-medische-hulpmiddelen-uit-nederland.html
12,Brandweer moet opnieuw uitrukken om zendmasten te blussen,"De brandweer is vrijdagavond en in de nacht naar zaterdag druk geweest met het blussen van brandende zendmasten. Vrijdagavond stak iemand een zendmast in Groningen in brand en in de Brabantse plaats Oudenbosch vlogen twee masten in brand. De brandweer heeft die geblust en doet nog onderzoek naar de toedracht, maar een verband met andere incidenten is zeer aannemelijk.",https://www.nu.nl/binnenland/6044174/brandweer-moet-opnieuw-uitrukken-om-zendmasten-te-blussen.html
