,titles,descriptions,links
0,Wéér incident bij mast: verzet 5G wordt militant,Vereniging Monet heeft afgelopen week vier keer aangifte gedaan van brandstichtingen in zendmasten voor de mobiele netwerken. Vrijdagavond was er opnieuw een incident bij een zendmast.,https://www.telegraaf.nl/nieuws/715118123/weer-incident-bij-mast-verzet-5-g-wordt-militant
1,’Strafzaken straks ook in avonden en misschien zelfs weekenden’,’Strafzaken straks ook in avonden en misschien zelfs weekenden’,https://www.telegraaf.nl/nieuws/1378164568/strafzaken-straks-ook-in-avonden-en-misschien-zelfs-weekenden
2,‘Eenzaamheid treft Nederland als mokerslag’,‘Eenzaamheid treft Nederland als mokerslag’,https://www.telegraaf.nl/nieuws/1735984635/eenzaamheid-treft-nederland-als-mokerslag
3,"Gezond, dan geen lockdown voor jou: zó doet Chili het",Als uitweg uit de lock-down wil Chili een gezondheidscertificaat invoeren voor mensen die al zijn genezen van corona. Voor hen zouden dan geen beperkende sociale regels meer gelden. Een goed plan ook voor Nederland? Het voorstel stuit op de nodige bedenkingen.,https://www.telegraaf.nl/nieuws/1528840896/gezond-dan-geen-lockdown-voor-jou-zo-doet-chili-het
4,Eenzame ouderen swingen mee met Ali B,Ali B is aangekomen in Tilburg en deelt daar bloemen uit aan eenzame ouderen in een verzorgingstehuis. Volgens de rapper hebben de ouderen een beetje aandacht nodig en daar kan iedereen een steentje aan bijdragen.,https://www.telegraaf.nl/video/1648024778/eenzame-ouderen-swingen-mee-met-ali-b
5,Google en Apple willen ’derde van wereldbevolking monitoren’,Google en Apple gaan samenwerken in de strijd tegen het coronavirus. De techbedrijven willen op die manier nationale overheden en gezondheidsinstanties helpen het virus in te dammen.,https://www.telegraaf.nl/nieuws/1573529559/google-en-apple-willen-derde-van-wereldbevolking-monitoren
6,"’Alles waar Mark Rutte goed in is, zie je nu maximaal’","’Alles waar Mark Rutte goed in is, zie je nu maximaal’",https://www.telegraaf.nl/nieuws/854188908/alles-waar-mark-rutte-goed-in-is-zie-je-nu-maximaal
7,Jetten speelt met vuur: brand kan naar binnen slaan,"De coalitie begint genoeg te krijgen van de profileringsdrang van Rob Jetten. De D66-fractieleider koos er deze week voor om, midden in de strijd om een Europees coronanoodpakket, het kabinet onder vuur te nemen, en dan specifiek minister Hoekstra (Financiën). Het heeft kwaad bloed gezet, melden ing...",https://www.telegraaf.nl/nieuws/857475467/jetten-speelt-met-vuur-brand-kan-naar-binnen-slaan
8,André Hazes: Mijn libido in deze periode lager,De zanger is het thuis zitten helemaal zat en is daarom een online programma gestart. Gisteren was zanger Rolf Sanchez te gast. Ze bespraken samen deze periode en de gevolgen voor hun agenda.,https://www.telegraaf.nl/video/2072275912/andre-hazes-mijn-libido-in-deze-periode-lager
9,’Den Haag werkt aan flexibiliseren lockdown’,Achter de schermen zijn ministeries druk bezig met het bedenken hoe sectoren geleidelijk weer geopend kunnen worden als de situatie het toelaat.,https://www.telegraaf.nl/nieuws/1551690107/den-haag-werkt-aan-flexibiliseren-lockdown
10,"LIVE | Ankara, Istanbul en 29 andere Turkse steden op slot","Wereldwijd zijn ruim 95.000 mensen overleden aan de gevolgen van een besmetting met het coronavirus. Ruim 1,6 miljoen mensen zijn besmet. Volg de laatste mondiale ontwikkelingen over het coronavirus in dit liveblog, dat voortdurend wordt aangevuld.",https://www.telegraaf.nl/nieuws/2128915454/live-ankara-istanbul-en-29-andere-turkse-steden-op-slot
11,Schokkend! Zo lang blijft virus in supermarkt hangen,In een huiveringwekkende simulatie laten Finse onderzoekers zien hoe lang een wolk van minuscule druppels in de lucht blijft hangen na één keer hoesten of niezen. Een virus kan in een dichte ruimte zo makkelijk worden overgedragen aan iemand die verderop s,https://www.telegraaf.nl/video/913074445/schokkend-zo-lang-blijft-virus-in-supermarkt-hangen
