,titles,descriptions,links
0,Na twee weken achter elkaar zon begint de nieuwe week koud,Niet eerder was het twee weken achtereen zo zonovergoten vanaf de start van de lente als afgelopen weken. Dit jaar heeft zelfs het record in handen! Maar daar gaat verandering in komen. De warmte maakt aan het begin van de nieuwe week plaats voor koude lucht van zee.,https://www.ad.nl/binnenland/na-twee-weken-achter-elkaar-zon-begint-de-nieuwe-week-koud~ab74ee7b/
1,Vermiste 13-jarige jongen uit Geldermalsen is terecht,"De 13-jarige jongen uit Geldermalsen die al sinds donderdag werd vermist, is in goede gezondheid aangetroffen. Dat laat zijn familie via Kind Vermist weten.",https://www.ad.nl/binnenland/vermiste-13-jarige-jongen-uit-geldermalsen-is-terecht~ac5bc9cb/
2,"‘Ondernemers, houd je hand op! Dit zijn geen tijden om gêne te voelen’","Naar schatting 240.000 zelfstandigen hebben inmiddels inkomensondersteuning aangevraagd bij hun gemeente. Toch zijn er volgens Tamara van Ark ook gedupeerde ondernemers die schroom voelen ‘hun hand op te houden’. Onzin, stelt de staatssecretaris van Sociale Zaken. ,,Dit zijn geen tijden om gêne te voelen.”",https://www.ad.nl/ad-werkt/ondernemers-houd-je-hand-op-dit-zijn-geen-tijden-om-gene-te-voelen~a3ee128e/
3,Door de corona-stilte horen en zien we ineens de natuur veel beter,Zonder ons heeft de natuur het prima naar de zin. Vooral de stilte zorgt voor verandering. Zelfs ín de stad zien we een haas of een ree. Het roodborstje geniet zo van de rust dat het uitslaapt alsof het vakantie is.,https://www.ad.nl/binnenland/door-de-corona-stilte-horen-en-zien-we-ineens-de-natuur-veel-beter~ae20ab0b/
4,Na de intensive care begint herstel pas echt: ‘Sommige patiënten worden nooit meer de oude’,"Na weken van beademing wordt de eerste golf coronapatiënten ontslagen van de intensive care. Maar wat dan? Het herstel gaat jaren duren, zeggen experts. In het Máxima Medisch Centrum in Veldhoven is een speciale revalidatie-afdeling geopend. Onderaan dit artikel kun je klikken op een van de portretten om erachter te komen wie wat betekent voor de patiënt.",https://www.ad.nl/binnenland/na-de-intensive-care-begint-herstel-pas-echt-sommige-patienten-worden-nooit-meer-de-oude~a6303d16/
5,René heeft al 14 jaar kanker: ‘Het leven is goed voor mij geweest’,"Annemarie Haverkamp praat met mensen over hun leven en het einde dat nadert. René heeft al veertien jaar prostaatkanker, maar hij dacht er geen seconde aan de handdoek in de ring te gooien. Nog steeds geeft René Legerstee niet op. In april zijn een dochter en kleinzoon jarig, hijzelf in mei. Die dag hoopt hij te halen, op wilskracht.",https://www.ad.nl/binnenland/rene-heeft-al-14-jaar-kanker-het-leven-is-goed-voor-mij-geweest~af52f684/
6,Jonge Fries vindt buit van woningoverval tijdens rondje zwemmen,"Een jongen die afgelopen vrijdag aan het zwemmen was, heeft in een water bij Drachten een geldkistje gevonden. Het kistje met persoonlijke papieren bleek in oktober te zijn ontvreemd bij een 93-jarige vrouw.",https://www.ad.nl/binnenland/jonge-fries-vindt-buit-van-woningoverval-tijdens-rondje-zwemmen~aff67ce1/
7,Zie jij ze ook vliegen? Vijf feiten over vogels,"Hebben vogelvrouwtjes een menopauze? Kan een vogel door de bliksem worden getroffen? Nu we thuiszitten en ineens de vogels om ons heen ontdekken, komen vragen op. Monica Wesseling beantwoordt er honderd in haar nieuwe boek. Vijf bijzondere feiten.",https://www.ad.nl/nlblijftthuis/zie-jij-ze-ook-vliegen-vijf-feiten-over-vogels~af0e4310/
8,Geen terroristisch oogmerk bij gewapende mannen in trein Schiphol,"De marechaussee laat weten nog onderzoek te doen naar twee mannen die gisteravond met een doorgeladen vuurwapen op zak zijn aangehouden in een trein op Schiphol. Er wordt onderzoek gedaan naar het motief van de mannen, waarbij niet wordt uitgegaan van een terroristisch oogmerk.",https://www.ad.nl/binnenland/geen-terroristisch-oogmerk-bij-gewapende-mannen-in-trein-schiphol~a49e408a/
9,Meten is weten: dit zijn de beste smartwatches om actief mee te sporten,"Je hebt smartwatches, activity trackers, sporthorloges én apparaten die al deze functies combineren. De experts van Hardware Info bekeken de afgelopen tijd zeven smartwatches die specifiek op sport gericht zijn en dus niet alleen standaard smartwatch-functies bieden, maar ook al je sportactiviteiten bijhouden én vertellen hoe je leeft en slaapt. De winnaars van de test vind je hieronder.",https://www.ad.nl/tech/meten-is-weten-dit-zijn-de-beste-smartwatches-om-actief-mee-te-sporten~a0c812d8/
10,Hoe modelabel Daily Paper de wereld verovert,"Jongeren lopen weg met streetwearmerk Daily Paper. Ook internationaal. Daarom openen de drie Afrikaans-Nederlandse eigenaren een winkel in New York, al is de opening uitgesteld. Hussein Suleiman (30) blijft een rasondernemer: ,,Erger dan je geld kwijtraken is nooit iets proberen.’’",https://www.ad.nl/binnenland/hoe-modelabel-daily-paper-de-wereld-verovert~aad236df/
11,"Auto crasht in Tilburg na achtervolging en vliegt in brand, agenten halen inzittenden uit voertuig",Politieagenten hebben vannacht twee mannen (beiden 34 jaar oud) uit een brandende auto gered. Hun voertuig was gecrasht in Tilburg na een korte achtervolging.,https://www.ad.nl/binnenland/auto-crasht-in-tilburg-na-achtervolging-en-vliegt-in-brand-agenten-halen-inzittenden-uit-voertuig~afdc509f/
12,Lezers sturen paasgroetjes: zit er eentje voor jou bij?,"Geen paaseieren zoeken bij oma in de tuin, geen wedstrijdjes eieren eten, geen familiebrunches of borrel met vrienden. In deze tijd van corona wordt Pasen een feestdag vanachter het glas of via een videoverbinding. Lezers doen hun familieleden, vrienden en kennissen de groeten via een lief bericht op deze site. Blader hieronder door een selectie van de hartverwarmende paasgroeten.",https://www.ad.nl/nlblijftthuis/lezers-sturen-paasgroetjes-zit-er-eentje-voor-jou-bij~a295cb89/
13,Achtervolging in Den Haag eindigt in aanrijding,Een politieachtervolging in Den Haag is vannacht geeindigd na een aanrijding. De vluchtende bestuurder van de auto negeerde een stopteken en verloor later op de Neherkade de macht over het stuur.,https://www.ad.nl/den-haag/achtervolging-in-den-haag-eindigt-in-aanrijding~ad9057e8/
14,Oirschots paasvuur te realistisch: initiatief eerder gestopt door vele brandmeldingen uit omgeving,Het paasvuur dat vanavond te zien was op de St. Petrusbasiliek in Oirschot is noodgedwongen afgebroken. Het simulatievuur boven op de kerktoren oogde dusdanig echt dat er vanuit de verre omgeving brandmeldingen kwamen. De meldkamer van de hulpdiensten werd daardoor dusdanig belast dat het vuur een half uur eerder dan gepland werd ‘gedoofd’.,https://www.ad.nl/binnenland/oirschots-paasvuur-te-realistisch-initiatief-eerder-gestopt-door-vele-brandmeldingen-uit-omgeving~a0813214/
15,13-jarige jongen uit Gelderland terecht,Een 13-jarige jongen uit Geldermalsen wordt sinds donderdag vermist. Dat meldt de politie. De jongen verliet zijn ouderlijke woning per fiets. Zijn rijwiel werd aangetroffen bij station Geldermalsen.,https://www.ad.nl/binnenland/13-jarige-jongen-uit-gelderland-terecht~a9ead7d8/
16,Mannen met doorgeladen vuurwapen op Schiphol uit trein gehaald,De Koninklijke Marechaussee (KMAR) heeft vanavond in een trein op station Schiphol twee mannen aangehouden. Dit omdat een van hen een doorgeladen vuurwapen bij zich had.,https://www.ad.nl/binnenland/mannen-met-doorgeladen-vuurwapen-op-schiphol-uit-trein-gehaald~ab071a2c/
17,Complotdenkers slaan toe: ‘Er is een link tussen 5G en corona’,"Een groeiend aantal mensen gelooft dat er een link is tussen het snelle 5G-internet en corona. Ook al is daar geen enkel bewijs voor. Deze week zijn al zeven zendmasten in brand gestoken. Waar komt dit vandaan, en waarom geloven deze mensen dit?",https://www.ad.nl/binnenland/complotdenkers-slaan-toe-er-is-een-link-tussen-5g-en-corona~a4dbfa06/
18,"Nederlanders moeten echt even naar buiten, maar te druk was het (bijna) nergens","Na vier weken ‘thuis quarantaine’ houden veel mensen zich nog steeds goed aan de oproep om er niet massaal op uit te trekken. In natuurgebieden en op de stranden bleef het rustig. Zelfs bij bouwmarkten, meubelboulevards en tuincentra, die normaal gesproken met Pasen worden overspoeld, was de situatie nu beheersbaar. Wel was het in de bollenstreek veel te druk, laten de burgemeesters van Hillegom, Lisse en Teylingen weten.",https://www.ad.nl/binnenland/nederlanders-moeten-echt-even-naar-buiten-maar-te-druk-was-het-bijna-nergens~a3074f5f/
19,Het coronanieuws van zaterdag 11 april: bijlezen in één minuut,De stroom aan nieuwsberichten over het coronavirus is amper bij te benen. In dit artikel brengen we het belangrijkste nieuws van vandaag in een kort overzicht.,https://www.ad.nl/binnenland/het-coronanieuws-van-zaterdag-11-april-bijlezen-in-een-minuut~a3adcd77/
20,Twee generaties over erotiek: ‘Vroeger was seks voor mij veelal een ietwat verkrampte race naar de finish’,"Schrijver en journalist Nils Elzenga (39) verloor zijn maagdelijkheid rijkelijk laat. Vindt hij. In openhartige gesprekken met zijn vader (69) vertellen ze elkaar over hun seksleven. Op welke leeftijd ze fatsoenlijk hebben leren vrijen, bijvoorbeeld. Twee generaties over erotiek.",https://www.ad.nl/binnenland/twee-generaties-over-erotiek-vroeger-was-seks-voor-mij-veelal-een-ietwat-verkrampte-race-naar-de-finish~a5c8e077/
21,Wat doe je als je een collega bent tegengekomen op een seksfeest?,"Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.",https://www.ad.nl/binnenland/wat-doe-je-als-je-een-collega-bent-tegengekomen-op-een-seksfeest~a0bcebbb/
22,Bang voor een ‘coupe corona’? Zo houd je je kapsel in model,"Nu kapperszaken voorlopig nog wel even dicht zijn, zitten veel mensen met de handen in het haar. Hoe kun je je kapsel in model houden? En is het een goed idee om zelf je haar te verven?",https://www.ad.nl/nlblijftthuis/bang-voor-een-coupe-corona-zo-houd-je-je-kapsel-in-model~a42d810b/
23,"Als de horeca straks weer open mag, staan deze zaken strak in de lak","Koks die geen hamburgers bakken maar schuren en verven. Nu de horeca tot zeker eind deze maand op slot blijft, storten heel wat uitbaters zich op de ‘grote corona-schoonmaak’ van hun etablissementen. Ze krijgen van alle kanten hulp, want niets doen en toch uitbetaald krijgen zit veel medewerkers niet lekker, merken eigenaren in onder meer Utrecht.",https://www.ad.nl/koken-en-eten/als-de-horeca-straks-weer-open-mag-staan-deze-zaken-strak-in-de-lak~a1b9a656/
24,Zorgpersoneel amper getest op corona: ‘Verpleegkundigen werken weer met verschijnselen’,Het testen van zorgpersoneel op het coronavirus komt nog onvoldoende op gang. Ruim 60 procent van de verpleegkundigen en verzorgenden geeft aan dat er niet actief getest wordt als er verdenkingen zijn van het virus bij zorgmedewerkers.,https://www.ad.nl/binnenland/zorgpersoneel-amper-getest-op-corona-verpleegkundigen-werken-weer-met-verschijnselen~a02ecf06/
25,Heel Nederland wacht op de uitslag van dit lab: ‘Zoiets hebben we nog nooit meegemaakt’,"Hoeveel Nederlanders al immuun zijn voor het coronavirus, is nog onbekend. Om antwoord te krijgen op die vraag is deze week het bloed van duizenden donoren onderzocht. ,,Begin jaren 80 was er commotie om hiv, maar zoiets als dit hebben we nog nooit meegemaakt.’’",https://www.ad.nl/binnenland/heel-nederland-wacht-op-de-uitslag-van-dit-lab-zoiets-hebben-we-nog-nooit-meegemaakt~af886657/
26,"RIVM: opnieuw daling ziekenhuisopnames, huidige maatregelen lijken effectief","De afgelopen 24 uur zijn er 189 Covid-19-patiënten opgenomen in een ziekenhuis, meldt het RIVM. Het is voor het eerst sinds bijna drie weken dat de ziekenhuisopnames onder de tweehonderd liggen. Die aanhoudende daling lijkt te laten zien dat de huidige beperkende maatregelen effectief zijn.",https://www.ad.nl/binnenland/rivm-opnieuw-daling-ziekenhuisopnames-huidige-maatregelen-lijken-effectief~a75878e4/
27,"‘Maar mama, op school mag je gewoon stoppen als het niet lukt’: de ervaringen van een thuisjuf",Thuisjuf Francine Wildenborg (37) deelt vandaag haar ervaringen. ‘Ik liet mijn kind natuurlijk graag zien dat zijn moeder niet helemaal achterlijk is.’,https://www.ad.nl/nlblijftthuis/maar-mama-op-school-mag-je-gewoon-stoppen-als-het-niet-lukt-de-ervaringen-van-een-thuisjuf~abf021a6b/
28,De man die 8000 euro terug krijgt van de Staatsloterij: ‘Ik wilde gewoon m’n geld terug’,De Staatsloterij misleidde tussen 2000 en 2008 miljoenen deelnemers over de winkansen. Een geruchtmakende zaak waarbij uiteindelijk geen enkele deelnemer z'n volledige inleg terugkreeg. Op één na: Limburger Clemens Meerts. Waarom hij wel en waarom hield hij zó lang vol?,https://www.ad.nl/binnenland/de-man-die-8000-euro-terug-krijgt-van-de-staatsloterij-ik-wilde-gewoon-m-n-geld-terug~a53bc04f/
29,"Vrouw vliegt met auto over de kop en knalt tegen boom, berm vol flessen drank","Een vrouw is vrijdagavond in De Bult, in Steenwijkerland, met haar auto over de kop geslagen, nadat ze tegen een boom was geknald. Het slachtoffer is daarbij niet gewond geraakt. Politieagenten vonden flessen drank in de berm.",https://www.ad.nl/auto/vrouw-vliegt-met-auto-over-de-kop-en-knalt-tegen-boom-berm-vol-flessen-drank~a1e0999c/
