,titles,descriptions,links,site_name
0,‘Koeman vandaag weer ontslagen uit ziekenhuis’,Het was flink schrikken toen bondscoach Ronald Koeman zondagavond met spoed moest worden opgenomen in het ziekenhuis wegens hartklachten. Chef Telesport Marcel van der Kraan vertelt hoe het nu met hem gaat.,https://www.telegraaf.nl/video/1724294093/koeman-vandaag-weer-ontslagen-uit-ziekenhuis,www.telegraaf.nl
1,"Veiligheidsberaad: ’Politieagentje spelen zinloos, beboeten alleen bij grote groep'","Veiligheidsberaad: ’Politieagentje spelen zinloos, beboeten alleen bij grote groep'",https://www.telegraaf.nl/nieuws/267751048/veiligheidsberaad-politieagentje-spelen-zinloos-beboeten-alleen-bij-grote-groep,www.telegraaf.nl
2,Oproep minister Grapperhaus: hang de vlag uit,Oproep minister Grapperhaus: hang de vlag uit,https://www.telegraaf.nl/nieuws/709652379/oproep-minister-grapperhaus-hang-de-vlag-uit,www.telegraaf.nl
3,Oorlogsfotograaf Chas Gerretsen vast op zeilschip,Het Nederlands Fotomuseum in Rotterdam bereidt een groot overzicht voor van het werk van Chas Gerretsen (76) voor de zomer van 2021.,https://www.telegraaf.nl/entertainment/1125072048/oorlogsfotograaf-chas-gerretsen-vast-op-zeilschip,www.telegraaf.nl
4,Uitgebreide reisgids voor de herdenkingstoerist,In het voorwoord van de lijvige reisgids Bevrijdingsroute Europa vertelt ANWB-directeur Frits van Bruggen hoe hij jaren geleden met zijn gezin de stranden van Normandië bezocht en danig onder de indruk was. Vorig jaar juni startte daar de 75-jarige jubileumviering van de bevrijding van Nederland. De...,https://www.telegraaf.nl/entertainment/850856895/uitgebreide-reisgids-voor-de-herdenkingstoerist,www.telegraaf.nl
5,Marcouch: ‘Vrijheid is onze zuurstof’,Burgemeester Ahmed Marcouch van Arnhem heeft speciaal voor de dodenherdenking een indrukwekkende speech voorgedragen. De video is opgenomen op het monumentale begraafpark Moscowa.,https://www.telegraaf.nl/video/1584220554/marcouch-vrijheid-is-onze-zuurstof,www.telegraaf.nl
6,Politiemol krijgt ook in hoger beroep vijf jaar cel,Politiemol krijgt ook in hoger beroep vijf jaar cel,https://www.telegraaf.nl/nieuws/2123049999/politiemol-krijgt-ook-in-hoger-beroep-vijf-jaar-cel,www.telegraaf.nl
7,Gewonde bij woningoverval Den Haag,"Bij een woningoverval aan de Paviljoensgracht in het centrum van Den Haag is maandagochtend geschoten en een gewonde gevallen, meldt de politie. Het slachtoffer is naar het ziekenhuis gebracht voor behandeling.",https://www.telegraaf.nl/nieuws/1865904350/gewonde-bij-woningoverval-den-haag,www.telegraaf.nl
8,"’Ik kan verleden niet loslaten, ik herleef het steeds weer’",Deze week precies 75 jaar geleden kwam een einde aan de Tweede Wereldoorlog. Heel Nederland had naar dit moment toegeleefd. Na de eerste euforie moest iedereen zijn leven weer oppakken. Hoe was dat en op wat voor manier bleef het oorlogsverleden een rol spelen in het bestaan? Vandaag in de laatste a...,https://www.telegraaf.nl/nieuws/1721176594/ik-kan-verleden-niet-loslaten-ik-herleef-het-steeds-weer,www.telegraaf.nl
9,Arib deelt komische anekdotes videobellende Kamerleden,Ook de leden van de Tweede Kamer moeten een deel van hun vergaderingen digitaal beleggen. Voorzitter Khadija Arib deelt in Op1 een aantal komische anekdotes.,https://www.telegraaf.nl/video/1699929112/arib-deelt-komische-anekdotes-videobellende-kamerleden,www.telegraaf.nl
10,Maakt de auto een wedergeboorte?,"Hoe zal het met de auto gaan na de coronacrisis? Zal onze heilige koe een wedergeboorte doormaken, als veilig transportmiddel waarin de kans op besmetting met het virus wel heel klein is, zoals verkeersexpert Henk van Zuylen afgelopen vrijdag in De Telegraaf voorspelde? Of krijgen de verkeersoptimis...",https://www.telegraaf.nl/nieuws/1054003785/maakt-de-auto-een-wedergeboorte,www.telegraaf.nl
11,Halsema: ’Leg regie versoepeling ook bij burger’,"Niet alleen het kabinet, maar vooral ook de burger zelf zou een deel van de regie moeten krijgen bij een versoepeling van de coronamaatregelen, vindt de Amsterdamse burgemeester Femke Halsema. In het tv-programma Op1 deed ze een oproep om de anderhalvemetersamenleving op te starten.",https://www.telegraaf.nl/nieuws/529322080/halsema-leg-regie-versoepeling-ook-bij-burger,www.telegraaf.nl
