,titles,descriptions,links,site_name
0,"
                Politie pakt 24 verdachten van 'vriend-in-noodfraude' op
                            ",Rond Deventer,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5110931/geldezels-fraude-whatsapp-vriend-noodfraude-politie-deventer,www.rtlnieuws.nl
1,"
                Politiemol Mark M. moet alsnog de cel in, mogelijk in Oekraïne
                            ",Witwassen en fraude,https://www.rtlnieuws.nl/nieuws/artikel/5110836/politie-mol-politieagent-mark-m-rechtszaak-rechtbank-hoger-beroep-straf,www.rtlnieuws.nl
2,"
                Pims oom zat in het verzet: 'Altijd een inspiratiebron'
                            ",Dodenherdenking,https://www.rtlnieuws.nl/nieuws/video/video/5110871/4-5-mei-dodenherdenking-tweede-wereldoorlog-oorlog-verzet,www.rtlnieuws.nl
3,"
                Kinke en Sybe leggen als enige scouts een krans op De Dam
                            ",Dodenherdenking,https://www.rtlnieuws.nl/nieuws/video/video/5110736/kinke-en-sybe-leggen-als-enige-scouts-een-krans-op-de-dam,www.rtlnieuws.nl
4,"
                'Binnen 2 weken was er van die sterke man niets meer over'
                            ",Zij stierven door corona,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5107911/eerbetoon-piet-van-orsouw-oss-overleden-coronavirus,www.rtlnieuws.nl
5,"
                'Winkeliers zijn er klaar voor, winkelstraten niet'
                            ",Liveblog,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5110691/coronavirus-covid-19-coronacrisis-liveblog-immuniteit-mondkapje,www.rtlnieuws.nl
6,"
                Opnieuw was het raak: twee zendmasten in Den Haag in brand
                            ",Veel schade,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5110676/brand-zendmast-den-haag-5g-doelwit-politie-onderzoek-brandweer,www.rtlnieuws.nl
7,"
                'Heroïnegebruikers komen door coronacrisis moeilijker aan drugs'
                            ",Drugsgebruikers,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5110646/heroineverslaafden-coronacrisis-drugsgebruik-methadon,www.rtlnieuws.nl
8,"
                Anders dan anders: de vlag mag nu al halfstok
                            ",Dodenherdenking,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5110636/vlaginstructie-halfstok-zonsopkomst-zonsondergang-4-mei,www.rtlnieuws.nl
9,"
                'Amsterdamse' dolfijn weer vrij na flinke operatie
                            ",Nederland,https://www.rtlnieuws.nl/nieuws/nederland/video/5110616/amsterdamse-dolfijn-weer-vrij-na-flinke-operatie,www.rtlnieuws.nl
10,"
                Onderzoek naar explosie woning Groningen afgerond
                            ",Bewoners terug naar huis,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5110606/groningen-explosie-materiaal-pand-aangehouden-afgerond-naar-huis,www.rtlnieuws.nl
11,"
                Talloze clubs en spelers wensen bondscoach Koeman beterschap
                            ",Voetbal,https://www.rtlnieuws.nl/sport/voetbal/artikel/5110591/clubs-en-spelers-wensen-bondscoach-koeman-beterschap,www.rtlnieuws.nl
